Date,EMERGING MARKETS HORIZON
2003-05,1000.0
2003-06,1066.2028157849402
2003-07,1107.0021405090283
2003-08,1192.7032233479028
2003-09,1169.441825983246
2003-10,1265.885314945026
2003-11,1214.1792195434632
2003-12,1268.1942708517106
2004-01,1310.8291603412647
2004-02,1374.8322408013782
2004-03,1396.5772596639863
2004-04,1381.7157372298743
2004-05,1322.3882112667045
2004-06,1366.1603612682409
2004-07,1373.9540550804004
2004-08,1366.6296560163335
2004-09,1412.1287809576172
2004-10,1423.7787988726177
2004-11,1478.7417504296561
2004-12,1527.2042750275111
2005-01,1628.8115402578183
2005-02,1719.6426080197825
2005-03,1655.9804637539141
2005-04,1624.9673283342267
2005-05,1740.5546533832467
2005-06,1826.1146388482844
2005-07,1946.8218604134886
2005-08,1947.9630491212617
2005-09,2107.135438862586
2005-10,2028.5386115626513
2005-11,2157.274154902374
2005-12,2232.8656370324925
2006-01,2356.673887315305
2006-02,2415.4271937081735
2006-03,2360.22667994754
2006-04,2422.8901985666134
2006-05,2119.50824600635
2006-06,2083.423989037665
2006-07,2211.444102326259
2006-08,2255.83006852098
2006-09,2320.930317769245
2006-10,2455.280704155505
2006-11,2488.0781372697174
2006-12,2591.359243610509
2007-01,2712.3094929564886
2007-02,2642.379022914996
2007-03,2765.91380569034
2007-04,2858.894209242385
2007-05,3076.75758346539
2007-06,3117.7992206767567
2007-07,3143.7886070203663
2007-08,3022.6794235288826
2007-09,3095.888522164175
2007-10,3290.680076143855
2007-11,3088.2712636770675
2007-12,3145.3703626571314
2008-01,2936.321576386809
2008-02,2990.6644614030406
2008-03,2809.885123616305
2008-04,2906.50289079239
2008-05,2973.4692394622853
2008-06,2733.021327215037
2008-07,2742.8569099075967
2008-08,2724.6224838838225
2008-09,2491.1305823369007
2008-10,1962.0743068901415
2008-11,1856.0034619322073
2008-12,1804.0942173369288
2009-01,1789.5382134023532
2009-02,1705.1478009629245
2009-03,1760.5875284489985
2009-04,2034.8478897845923
2009-05,2154.869733574253
2009-06,2244.57354021916
2009-07,2503.589397592225
2009-08,2529.2226783065726
2009-09,2598.223662338226
2009-10,2576.460904815618
2009-11,2634.406034575755
2009-12,2870.380858223666
2010-01,2923.816308937149
2010-02,2982.3354012141963
2010-03,3277.3458729522176
2010-04,3374.3683665780413
2010-05,3400.4374318655705
2010-06,3411.6554512117386
2010-07,3490.8944083264405
2010-08,3611.315585451486
2010-09,3745.6585235630623
2010-10,3849.3508451195844
2010-11,3941.157223505391
2010-12,4006.6331965137233
2011-01,3730.6378897344775
2011-02,3730.0760782587527
2011-03,3810.9827602726627
2011-04,3826.357729674596
2011-05,3853.0485152694923
2011-06,3808.9269326258864
2011-07,3868.9252151608516
2011-08,3599.396767538952
2011-09,3355.115185130074
2011-10,3587.045288271214
2011-11,3532.7022157273714
2011-12,3650.8829448897477
2012-01,3919.8347608942004
2012-02,4020.625541786121
2012-03,4079.749143374641
2012-04,4105.7983344622035
2012-05,3943.862458163247
2012-06,4121.452976745782
2012-07,4341.978082662072
2012-08,4236.156814390416
2012-09,4344.895710141026
2012-10,4379.4967953907335
2012-11,4344.681449925873
2012-12,4490.199396000702
2013-01,4464.630474187489
2013-02,4641.512870499502
2013-03,4789.925248804522
2013-04,4685.023789992087
2013-05,4591.341585550371
2013-06,4337.575453361453
2013-07,4187.092546779209
2013-08,3924.401312774297
2013-09,3996.147472791345
2013-10,4193.347106342435
2013-11,4032.9805053855107
2013-12,3892.3293281881834
2014-01,3760.1269726720666
2014-02,3813.401224556113
2014-03,3997.8258857382716
2014-04,4056.136877990606
2014-05,4193.495987559206
2014-06,4183.323912275203
2014-07,4330.947199668344
2014-08,4486.296660484247
2014-09,4515.542346672385
2014-10,4516.166920215657
2014-11,4472.133597288152
2014-12,4321.369137910752
2015-01,4494.342251083286
2015-02,4656.182899454246
2015-03,4747.250783429575
2015-04,4644.38425855572
2015-05,4620.995369184025
2015-06,4435.820533828676
2015-07,4320.690266627399
2015-08,3898.759333799955
2015-09,3735.683350040328
2015-10,3998.772587098832
2015-11,3987.7710643009195
2015-12,3830.1440469576305
2016-01,3771.6657222553304
2016-02,3843.987296483591
2016-03,4073.4608299222946
2016-04,4053.453515662505
2016-05,3936.0731747370664
2016-06,4059.553706388781
2016-07,4134.3624852719595
2016-08,4204.012951766916
2016-09,4081.5859694506757
2016-10,4226.129101035094
2016-11,3991.3089334931306
2016-12,4128.124572914537
2017-01,4152.953299027256
2017-02,4316.566919287014
2017-03,4464.987168091845
2017-04,4516.570275159079
2017-05,4457.227504722907
2017-06,4465.642190800873
2017-07,4472.094934118153
2017-08,4517.257542940579
2017-09,4471.054219220131
2017-10,4509.4089246656895
2017-11,4340.963865202337
2017-12,4564.84144780882
2018-01,4687.889509697541
2018-02,4603.011093514497
2018-03,4475.363753664561
2018-04,4557.994168110707
2018-05,4343.311947650772
2018-06,4219.187963439568
2018-07,4435.378919639624
2018-08,4273.361273295904
2018-09,4267.200746061998
2018-10,4016.7206315201533
2018-11,4163.124375364184
2018-12,4113.880023175112
2019-01,4463.922346982118
2019-02,4376.942076984613
2019-03,4380.3465656010485
2019-04,4533.31527004285
2019-05,4331.2362431032125
2019-06,4467.041278476987
2019-07,4501.202600541699
2019-08,4272.086738016374
2019-09,4323.4005228947535
2019-10,4266.934229587991
2019-11,4266.618533807619
2019-12,4416.25518544948
2020-01,4249.408184695207
2020-02,3838.209256134644
2020-03,3029.7843955408543
2020-04,3338.0542814355504
2020-05,3383.6479036055603
2020-06,3497.0700369354686
2020-07,3425.846729465606
2020-08,3399.2159903300826
2020-09,3369.3435718335604
2020-10,3370.334652823253
2020-11,3745.6206242773364
2020-12,3867.674214044308
2021-01,3871.7933458429407
2021-02,3960.3727618275734
2021-03,4218.2718181086975
2021-04,4178.774125919727
2021-05,4253.858354082302
2021-06,4269.35317753898
2021-07,4213.361529258871
2021-08,4468.837468038086
2021-09,4442.947586264193
2021-10,4557.984071690053
2021-11,4457.456876165115
2021-12,4606.344984737338
2022-01,4836.877419669357
2022-02,4983.423252197064
2022-03,5301.871250562491
2022-04,5363.630927547267
2022-05,5202.197714940149
2022-06,4766.968940358643
2022-07,5019.796226304262
2022-08,5097.571496296758
2022-09,4876.408814336441
2022-10,5063.308089414218
2022-11,5133.05543960046
2022-12,4826.632019580573
2023-01,4958.749815092724
2023-02,4857.953258966341
2023-03,4841.8859021917015
2023-04,4901.586338134237
2023-05,4827.1149396293895
2023-06,4890.237178173099
2023-07,5147.825032061444
