Date,EM 50
2008-05,1000.0
2008-06,889.348427872085
2008-07,847.3880030835948
2008-08,824.6490386632147
2008-09,722.1328219999314
2008-10,581.944187797854
2008-11,532.166730848479
2008-12,513.6342533373711
2009-01,515.678149750681
2009-02,496.30751884785366
2009-03,547.4004450670336
2009-04,628.1353848859966
2009-05,683.7948258883571
2009-06,677.322859468824
2009-07,742.9255375983857
2009-08,728.1586517046017
2009-09,782.9690412676097
2009-10,782.1238160846676
2009-11,801.467352468076
2009-12,867.3980967059067
2010-01,824.125644601602
2010-02,841.8902070319446
2010-03,913.108106887191
2010-04,944.1831919848082
2010-05,924.9731704423172
2010-06,911.2602435197329
2010-07,930.4014334218665
2010-08,918.9699446574721
2010-09,937.725224365498
2010-10,949.4399801193
2010-11,1003.5442752051832
2010-12,1050.5565976378755
2011-01,1013.3082305022382
2011-02,1009.1837666910944
2011-03,1033.6064463093157
2011-04,1011.6187849233419
2011-05,1012.3672295062479
2011-06,982.1782790801782
2011-07,976.5927035138951
2011-08,889.9709171954904
2011-09,832.1394002089412
2011-10,908.9988671579806
2011-11,890.7817481273432
2011-12,916.715089586396
2012-01,1002.4240717627382
2012-02,1033.720583515227
2012-03,1004.497997787035
2012-04,1005.9810321539381
2012-05,949.5448469751984
2012-06,954.7524758049773
2012-07,1008.0560956251907
2012-08,975.289479908315
2012-09,1017.7882199260752
2012-10,1004.4489666474515
2012-11,1012.2146295007968
2012-12,1048.815941220125
2013-01,1027.0792726243333
2013-02,1048.0141231401294
2013-03,1036.7743969760706
2013-04,1011.5154592067464
2013-05,1010.2902472943954
2013-06,949.5092227129597
2013-07,951.6117411632658
2013-08,964.2965724808893
2013-09,1003.8546884246466
2013-10,1041.648536606229
2013-11,1045.1333295531763
2013-12,1016.7858160833142
2014-01,967.037034058801
2014-02,977.002154941662
2014-03,994.8068170517071
2014-04,983.4938909513431
2014-05,1051.6374266746125
2014-06,1080.9772901398217
2014-07,1137.5658005507228
2014-08,1181.8122062992902
2014-09,1125.8707464582296
2014-10,1158.9412958608364
2014-11,1149.7749548739048
2014-12,1141.7866397544867
2015-01,1233.3604891968846
2015-02,1284.4626450140827
2015-03,1323.8817535724206
2015-04,1391.1168457174538
2015-05,1350.5699840107698
2015-06,1305.1771527148164
2015-07,1205.045353842315
2015-08,1075.4982240028316
2015-09,1043.762584689265
2015-10,1148.6898762729356
2015-11,1166.698811780432
2015-12,1095.5961135504963
2016-01,1020.9653935107193
2016-02,1009.3880243507936
2016-03,1095.1838603325803
2016-04,1090.9353119645616
2016-05,1100.4026273749687
2016-06,1146.909848437719
2016-07,1191.8448566420436
2016-08,1257.4629451080884
2016-09,1283.2002674863772
2016-10,1316.7053600085515
2016-11,1307.0170819445852
2016-12,1311.3895668144812
2017-01,1364.7066971420606
2017-02,1425.73171177798
2017-03,1455.884141461815
2017-04,1470.639171892975
2017-05,1478.8455231288806
2017-06,1487.852611316941
2017-07,1549.3878604993163
2017-08,1577.892003614624
2017-09,1591.4861790135944
2017-10,1696.0569918052413
2017-11,1669.2855978812306
2017-12,1694.9343019569824
2018-01,1800.168116212324
2018-02,1744.9249990534595
2018-03,1694.6569331167402
2018-04,1701.9424241181543
2018-05,1716.0416482296303
2018-06,1655.5849918895985
2018-07,1675.3488679423278
2018-08,1633.481226579178
2018-09,1634.533415792755
2018-10,1505.8032630515956
2018-11,1565.574509558377
2018-12,1489.3325254883628
2019-01,1653.4638787039446
2019-02,1669.2271554675424
2019-03,1714.0856813594864
2019-04,1776.8430819568518
2019-05,1606.3465607184676
2019-06,1703.3400118861819
2019-07,1737.8019522576096
2019-08,1665.2723967465274
2019-09,1727.7023046797544
2019-10,1758.4690200578752
2019-11,1809.1936743231593
2019-12,1949.4602090328788
2020-01,1885.5912164385502
2020-02,1831.085970864436
2020-03,1626.6029096245413
2020-04,1743.9932555558446
2020-05,1723.7232437767839
2020-06,1865.3440811672142
2020-07,1973.12203701828
2020-08,2031.9173600491822
2020-09,2055.5182514095554
2020-10,2159.091318534103
2020-11,2227.0109126595958
2020-12,2322.607284051609
2021-01,2508.9767699056188
2021-02,2502.5104904976215
2021-03,2476.836404217258
2021-04,2464.325820170763
2021-05,2431.496029263333
2021-06,2529.508952915336
2021-07,2283.68358698044
2021-08,2291.9145920592896
2021-09,2205.2179352951266
2021-10,2275.6175212124162
2021-11,2217.150564237612
2021-12,2227.9562956133796
2022-01,2234.522753095516
2022-02,2043.257597074196
2022-03,1985.8018607757367
2022-04,1961.2771790325144
2022-05,1965.270613020913
2022-06,1882.71636129434
2022-07,1896.2569300098532
2022-08,1926.8621457685674
2022-09,1685.603442638141
2022-10,1527.9893424686795
2022-11,1789.4537570907462
2022-12,1720.3035882023269
2023-01,1915.9436725876853
2023-02,1789.804434051195
2023-03,1841.5177097096387
2023-04,1713.761656671757
2023-05,1771.0454012455928
2023-06,1802.5495861354893
2023-07,1900.762505671063
