Date,WORLD ex ISRAEL
2010-05,1021.7691006613585
2010-06,988.765078068771
2010-07,1005.5900491765129
2010-08,992.4929820748416
2010-09,1010.4681809912847
2010-10,1029.8860450283205
2010-11,1076.3875559736173
2010-12,1121.6065907732411
2011-01,1122.7678284454214
2011-02,1154.2182155358446
2011-03,1112.6928116189008
2011-04,1110.469261286206
2011-05,1123.2315764476268
2011-06,1096.6588841615517
2011-07,1086.7076813996289
2011-08,1008.8200701509636
2011-09,989.6493391707124
2011-10,1050.636704352616
2011-11,1062.8026909540315
2011-12,1101.9100336367578
2012-01,1147.7709509594772
2012-02,1178.903954106735
2012-03,1200.0749194577825
2012-04,1194.5158651607817
2012-05,1169.626217106562
2012-06,1198.4580355146836
2012-07,1251.0853885178387
2012-08,1254.0990536685097
2012-09,1263.013472530744
2012-10,1245.7849867550574
2012-11,1257.7422636628314
2012-12,1265.0163751184282
2013-01,1291.7680870223287
2013-02,1344.0419267587397
2013-03,1401.0858803792946
2013-04,1408.7263078571204
2013-05,1434.9276022175402
2013-06,1395.969174830895
2013-07,1438.9877099388584
2013-08,1418.8718618244952
2013-09,1451.8263890136081
2013-10,1502.608420067555
2013-11,1527.582777957361
2013-12,1541.9745727475722
2014-01,1517.364677261942
2014-02,1556.4372188568416
2014-03,1562.6608319666216
2014-04,1570.1756033370607
2014-05,1628.420621778654
2014-06,1652.6300861532886
2014-07,1664.432256017342
2014-08,1728.8455473435813
2014-09,1754.3158075634547
2014-10,1780.7428438898967
2014-11,1826.352790990675
2014-12,1851.9801949404437
2015-01,1950.3550457982917
2015-02,2078.3672901142154
2015-03,2137.474283890732
2015-04,2097.9405393773923
2015-05,2153.4632151829046
2015-06,2070.476146350631
2015-07,2125.6246843577624
2015-08,1958.1670704071933
2015-09,1894.2929539649174
2015-10,2066.463913869642
2015-11,2151.6705060001455
2015-12,2055.7862139562094
2016-01,1941.0187608491672
2016-02,1919.8660387391324
2016-03,1956.5034805209477
2016-04,1978.5884549063592
2016-05,2049.227093699509
2016-06,2031.4686417116561
2016-07,2103.9284903660805
2016-08,2115.4709471876313
2016-09,2108.8949843903147
2016-10,2120.994524335703
2016-11,2224.821703543
2016-12,2292.0849812715082
2017-01,2291.6475950645327
2017-02,2396.4090630258233
2017-03,2407.9421702780364
2017-04,2401.286030766371
2017-05,2376.970864823845
2017-06,2353.0817658163996
2017-07,2331.775796038726
2017-08,2317.600118058365
2017-09,2383.892062160387
2017-10,2465.728152896307
2017-11,2462.646607673671
2017-12,2478.8581841104933
2018-01,2516.1576406436843
2018-02,2464.609279748166
2018-03,2392.6168655085435
2018-04,2464.9920860195
2018-05,2569.48416301039
2018-06,2568.5235254051545
2018-07,2643.690043457973
2018-08,2692.620494519476
2018-09,2713.5415543022245
2018-10,2578.014788539331
2018-11,2610.3373662102745
2018-12,2390.100561458154
2019-01,2567.026211126917
2019-02,2666.0316239150984
2019-03,2741.134791351389
2019-04,2845.389190288266
2019-05,2699.298983733883
2019-06,2816.6387269178144
2019-07,2895.895901369765
2019-08,2869.602326380354
2019-09,2961.8308093443275
2019-10,2968.645748250436
2019-11,3088.7360168697355
2019-12,3126.318292296619
2020-01,3147.962258439738
2020-02,2908.7115481927576
2020-03,2528.6122392411135
2020-04,2811.2535960029254
2020-05,2903.493801076994
2020-06,2953.0278827630927
2020-07,2939.8405600429714
2020-08,3102.4824676124294
2020-09,3056.524010927974
2020-10,2983.227898900411
2020-11,3277.864009655433
2020-12,3341.3277374825743
2021-01,3332.306020007819
2021-02,3422.096668719113
2021-03,3654.1721831841105
2021-04,3735.2161441107537
2021-05,3733.0102037029696
2021-06,3907.3400725105735
2021-07,3978.4004882698423
2021-08,4097.265980420692
2021-09,4001.7221771984932
2021-10,4235.720005226199
2021-11,4260.859230998312
2021-12,4398.902748404105
2022-01,4227.545325619498
2022-02,4113.574221791
2022-03,4269.352688820664
2022-04,4130.57790535536
2022-05,4074.3753183414096
2022-06,3814.7385310441596
2022-07,4223.068219960225
2022-08,4104.097557803504
2022-09,3822.994519618008
2022-10,4062.365832640648
2022-11,4173.316259195485
2022-12,3856.9102782227883
2023-01,4059.5660910090414
2023-02,4059.214738458407
2023-03,4087.7213349668714
2023-04,4095.5962357039825
2023-05,4202.328549755984
2023-06,4356.623794893021
2023-07,4456.54736134133
