Date,EUROPE & MIDDLE EAST
2010-05,1030.64055987221
2010-06,1025.0338602219747
2010-07,1074.4598289456867
2010-08,1061.8607339892033
2010-09,1097.148294131345
2010-10,1123.781163938332
2010-11,1110.0495531471925
2010-12,1167.4045241820452
2011-01,1186.633296591768
2011-02,1216.1318132636775
2011-03,1174.7860989772846
2011-04,1213.9121799419459
2011-05,1214.881082554551
2011-06,1181.571086804438
2011-07,1152.1796327215795
2011-08,1034.568124766596
2011-09,988.3951320022986
2011-10,1066.011072108047
2011-11,1054.7992180652045
2011-12,1077.174086789308
2012-01,1119.0396999089055
2012-02,1163.8956258818557
2012-03,1163.3052802641803
2012-04,1146.1350750786212
2012-05,1078.8924559641644
2012-06,1133.9200075485692
2012-07,1182.1343948620263
2012-08,1205.3486881451565
2012-09,1216.33366333761
2012-10,1225.2290624100526
2012-11,1252.45892890996
2012-12,1269.4844752427312
2013-01,1304.8725819083818
2013-02,1318.3440402678198
2013-03,1340.7257714213358
2013-04,1364.2624570933021
2013-05,1392.6294666525264
2013-06,1322.2197876827113
2013-07,1389.1924561625958
2013-08,1381.088780464491
2013-09,1441.9645185400627
2013-10,1496.9057812569852
2013-11,1513.1703302154729
2013-12,1528.5769796550853
2014-01,1502.5453533549105
2014-02,1574.6995195970312
2014-03,1563.7432267526578
2014-04,1594.5214063470032
2014-05,1637.7548937674212
2014-06,1631.5179614378983
2014-07,1607.1037123883898
2014-08,1639.0845111971214
2014-09,1645.948204088698
2014-10,1616.0668689882252
2014-11,1667.6158608120243
2014-12,1645.1637618334735
2015-01,1764.1194398492125
2015-02,1885.4843680864576
2015-03,1920.7825729768729
2015-04,1922.2557645803904
2015-05,1953.0516743572114
2015-06,1863.7484953145754
2015-07,1940.0557191633482
2015-08,1776.805241514495
2015-09,1699.7497297338211
2015-10,1840.7196738594835
2015-11,1890.439740772149
2015-12,1791.941259746999
2016-01,1680.4262517600775
2016-02,1644.1484093267713
2016-03,1666.1077029103255
2016-04,1700.9292242944286
2016-05,1742.2745272732361
2016-06,1669.65248397826
2016-07,1728.7065040273544
2016-08,1740.2623651628571
2016-09,1739.0472483439576
2016-10,1724.2426231449745
2016-11,1742.9012399927603
2016-12,1843.9341720522984
2017-01,1836.953810195502
2017-02,1891.518721555095
2017-03,1956.353462337614
2017-04,1990.976347170007
2017-05,2024.4848658706537
2017-06,1976.2792186002644
2017-07,1968.0565057912384
2017-08,1950.2738384401143
2017-09,2026.458654040426
2017-10,2065.867085292044
2017-11,2022.9908298676069
2017-12,2040.3612699111068
2018-01,2073.029574172242
2018-02,1993.6263695347016
2018-03,1954.6479040251827
2018-04,2047.8298645601012
2018-05,2055.929372712774
2018-06,2042.9036100974442
2018-07,2106.7284432795136
2018-08,2060.7706020265264
2018-09,2071.5920134553926
2018-10,1962.0404586305845
2018-11,1946.4070348415657
2018-12,1837.6788461530057
2019-01,1952.6997801888117
2019-02,2033.3409151939163
2019-03,2076.519409193266
2019-04,2157.9967861847213
2019-05,2055.3098736698807
2019-06,2146.4988211619616
2019-07,2154.042250316076
2019-08,2122.6243987519374
2019-09,2202.487774197272
2019-10,2221.787358461194
2019-11,2282.9272557205027
2019-12,2329.08162352001
2020-01,2301.639524578242
2020-02,2107.641076769906
2020-03,1806.7735292952232
2020-04,1920.5194981686086
2020-05,1979.9172951078342
2020-06,2040.6402872179704
2020-07,2013.8845810667458
2020-08,2072.8634246106712
2020-09,2042.7899479483058
2020-10,1941.8809145162745
2020-11,2211.6457760951826
2020-12,2265.0976792178494
2021-01,2249.1581749558563
2021-02,2306.0110706775135
2021-03,2456.362742639472
2021-04,2510.761370714631
2021-05,2577.0389939336146
2021-06,2622.210985920426
2021-07,2672.0276766507623
2021-08,2724.7060222577065
2021-09,2645.0911556883275
2021-10,2769.453862102483
2021-11,2701.739544410841
2021-12,2850.2423013594384
2022-01,2758.2126550111057
2022-02,2676.6795556392453
2022-03,2702.525089591568
2022-04,2689.3957370847174
2022-05,2672.232138188967
2022-06,2466.922037869892
2022-07,2655.2743299969384
2022-08,2528.6771613790065
2022-09,2369.137870149237
2022-10,2517.3813503357396
2022-11,2686.7628581250765
2022-12,2591.6137536710594
2023-01,2766.9086047143905
2023-02,2815.223512955291
2023-03,2816.409800444374
2023-04,2889.392902244099
2023-05,2822.7760606350057
2023-06,2890.571173743962
2023-07,2949.8393378018686
