Date,BRIC WITH BRAZIL ADR
2003-05,1000.0
2003-06,1114.6610151563061
2003-07,1173.272418696418
2003-08,1329.7355841499168
2003-09,1308.5435092192638
2003-10,1402.8869248317467
2003-11,1399.8679281423333
2003-12,1507.8331317797106
2004-01,1539.1174654670472
2004-02,1611.5769463528256
2004-03,1630.6062937666327
2004-04,1494.1021629567454
2004-05,1414.8401283467965
2004-06,1415.4057841352933
2004-07,1431.9264343907403
2004-08,1451.546022492966
2004-09,1530.522102050423
2004-10,1509.7270433220658
2004-11,1540.7315862841406
2004-12,1517.0708223172637
2005-01,1566.8002675435691
2005-02,1641.4828754818834
2005-03,1590.0183804915544
2005-04,1578.9516820117933
2005-05,1710.643731603724
2005-06,1839.8942816579752
2005-07,1973.210300545215
2005-08,2052.116018282529
2005-09,2351.2629803508894
2005-10,2182.6114659030686
2005-11,2399.049168743518
2005-12,2489.5413182063808
2006-01,2836.0454718092833
2006-02,2956.8331964579115
2006-03,2971.5808487796885
2006-04,3066.9373374517345
2006-05,2672.3952380477563
2006-06,2763.1980204219085
2006-07,2823.6809673210864
2006-08,2903.233968842568
2006-09,2927.405385226388
2006-10,3082.39117173506
2006-11,3228.698065291038
2006-12,3488.9542397367854
2007-01,3470.9881370056846
2007-02,3291.6312025973352
2007-03,3418.6970794005083
2007-04,3478.636946338071
2007-05,3695.5756341709243
2007-06,3937.4226968498783
2007-07,4154.504895123116
2007-08,4189.289112945561
2007-09,4704.150030097393
2007-10,5332.6394190541405
2007-11,4920.179369162058
2007-12,5011.970090199763
2008-01,4193.3061786610815
2008-02,4385.232643236995
2008-03,3832.784238785993
2008-04,4367.401116808869
2008-05,4499.839520834482
2008-06,3961.9937051518546
2008-07,3765.5441026447374
2008-08,3645.6697893618043
2008-09,3037.7942304318753
2008-10,2369.798989228576
2008-11,2223.2367995872964
2008-12,2153.0338955194393
2009-01,2220.926397471969
2009-02,2152.164882651859
2009-03,2331.9059941044184
2009-04,2709.931797375361
2009-05,3147.314142740301
2009-06,3108.7710153372495
2009-07,3363.517052430472
2009-08,3224.4401943195703
2009-09,3498.125398498522
2009-10,3584.636531397598
2009-11,3723.138155718903
2009-12,3948.554584435108
2010-01,3760.355053069831
2010-02,3897.0565979674097
2010-03,4221.077832113317
2010-04,4276.2691418805525
2010-05,4227.494500089136
2010-06,4230.0299277012455
2010-07,4247.338285079844
2010-08,4223.401893592284
2010-09,4355.019236117453
2010-10,4397.312914526279
2010-11,4545.768808008235
2010-12,4634.651178264381
2011-01,4405.272724714171
2011-02,4399.784777536811
2011-03,4525.671850868121
2011-04,4344.41327843153
2011-05,4371.1080681720405
2011-06,4278.064493754455
2011-07,4258.1083369245025
2011-08,3818.506557050662
2011-09,3422.841198128799
2011-10,3797.336821746977
2011-11,3636.2253500410634
2011-12,3690.1984875136527
2012-01,4156.558994082295
2012-02,4311.547111430883
2012-03,4065.0313845020482
2012-04,4032.678634888193
2012-05,3766.318568300638
2012-06,3810.9564574879178
2012-07,3971.525234026803
2012-08,3836.588521540477
2012-09,4020.350917026039
2012-10,4031.5616558409492
2012-11,4048.0087001403353
2012-12,4199.2433174734415
2013-01,4241.721578822464
2013-02,4190.854746321002
2013-03,4153.112110625843
2013-04,4106.250000997466
2013-05,4056.3980181273414
2013-06,3733.334643415652
2013-07,3723.54429728262
2013-08,3717.509450579434
2013-09,3913.0976297563384
2013-10,4068.5396104740844
2013-11,4060.545327656887
2013-12,3943.447174553708
2014-01,3715.99562911302
2014-02,3705.7082832706947
2014-03,3774.92125821787
2014-04,3704.8227051882845
2014-05,3965.870804142062
2014-06,4107.744041058215
2014-07,4369.927675760104
2014-08,4535.653893281915
2014-09,4361.262443919944
2014-10,4496.777606468323
2014-11,4480.277003311967
2014-12,4389.3740587589655
2015-01,4788.251438598239
2015-02,5050.123940676661
2015-03,5200.302143317894
2015-04,5607.297518794687
2015-05,5509.4513974800675
2015-06,5237.238387352538
2015-07,4854.004800580673
2015-08,4277.82475964101
2015-09,4178.740594981044
2015-10,4502.216356668279
2015-11,4554.743740584469
2015-12,4348.54499625977
2016-01,3923.715916528766
2016-02,3805.283316201172
2016-03,4137.157464830581
2016-04,4201.645969820348
2016-05,4216.788926733094
2016-06,4349.000936560725
2016-07,4517.183937591783
2016-08,4772.138985673432
2016-09,4816.365371244648
2016-10,4955.107455150251
2016-11,4977.273739699394
2016-12,4924.67248476601
2017-01,5113.364355941916
2017-02,5355.375914417524
2017-03,5437.831535666636
2017-04,5437.257092666246
2017-05,5395.914627761296
2017-06,5368.639329794161
2017-07,5637.37243509083
2017-08,5799.16537647163
2017-09,5868.606645604316
2017-10,6166.067630299699
2017-11,6069.92202254474
2017-12,6209.298176028728
2018-01,6654.92625949975
2018-02,6436.536920221091
2018-03,6181.818438721993
2018-04,6279.290932570841
2018-05,6438.119608106399
2018-06,6152.171985129931
2018-07,6192.866300658003
2018-08,6002.207358217987
2018-09,5920.013575026893
2018-10,5599.926759709236
2018-11,5949.73041057674
2018-12,5630.6347560842905
2019-01,6124.6884575242275
2019-02,6270.493707466725
2019-03,6552.4857717429095
2019-04,6684.295635661837
2019-05,6157.832617430774
2019-06,6411.340881488877
2019-07,6469.235678731519
2019-08,6238.997726611718
2019-09,6367.997368378449
2019-10,6512.289695700632
2019-11,6621.9836537637075
2019-12,6991.061864975981
2020-01,6760.027476171326
2020-02,6631.769474860963
2020-03,5785.688410610972
2020-04,6251.264288899434
2020-05,6166.913790573191
2020-06,6590.729612963462
2020-07,6841.168580742996
2020-08,7057.378299357996
2020-09,7009.703527344545
2020-10,7312.8807724944745
2020-11,7522.699510752345
2020-12,7721.54209651484
2021-01,8106.090631528282
2021-02,8107.45794830131
2021-03,8073.264908439671
2021-04,7976.0772449855085
2021-05,8109.305306093006
2021-06,8411.227848556722
2021-07,7577.11167778359
2021-08,7792.910538031688
2021-09,7668.176419965396
2021-10,7817.73787009943
2021-11,7603.351020187738
2021-12,7452.658985921622
2022-01,7399.0966753080975
2022-02,6904.7992378749905
2022-03,6498.955256236105
2022-04,6582.377856429146
2022-05,6466.22277747117
2022-06,6706.403474764241
2022-07,6610.1158254572165
2022-08,6817.415490861388
2022-09,6198.407827998383
2022-10,5571.852528969638
2022-11,6369.049988174349
2022-12,6223.745727980463
2023-01,6560.130425753105
2023-02,6130.9828654792145
2023-03,6179.464295915997
2023-04,5943.118017188733
2023-05,5867.615179230773
2023-06,6020.642295177007
2023-07,6435.908164921365
