Date,AC ASIA ex JAPAN WITH PARTIAL A SHARES
2008-11,1095.7341119605458
2008-12,1098.41140877676
2009-01,1128.0430483041832
2009-02,1064.9664651991534
2009-03,1159.233597693503
2009-04,1355.1169010966341
2009-05,1471.926589039578
2009-06,1480.7100194033897
2009-07,1657.1705016265662
2009-08,1581.2254121397036
2009-09,1689.7751255365567
2009-10,1666.410406352557
2009-11,1682.4433690244502
2009-12,1836.7795356180748
2010-01,1781.3839964181177
2010-02,1824.9762931929365
2010-03,1973.7279143011285
2010-04,2049.45385472653
2010-05,2034.3496116393756
2010-06,2072.315198147926
2010-07,2064.0847444467972
2010-08,2092.3785738380816
2010-09,2167.6080619656605
2010-10,2186.7513665477727
2010-11,2300.9866501368147
2010-12,2355.171085043495
2011-01,2282.265129858494
2011-02,2179.00134651728
2011-03,2253.1282243426112
2011-04,2236.782552509641
2011-05,2278.1990606812988
2011-06,2208.3069519047513
2011-07,2255.320741207756
2011-08,2029.9922796049443
2011-09,1892.3023776346072
2011-10,2037.8347614951285
2011-11,1936.4877497765672
2011-12,2019.5644309827637
2012-01,2217.279030296751
2012-02,2300.205698401118
2012-03,2237.7341370738386
2012-04,2253.3708488067937
2012-05,2182.919602757778
2012-06,2190.938477446632
2012-07,2317.3558459172136
2012-08,2252.5798466249375
2012-09,2362.3724971901597
2012-10,2339.285669583193
2012-11,2394.0128542660877
2012-12,2439.091498515969
2013-01,2410.1487050993487
2013-02,2499.6962976154477
2013-03,2493.6593437848414
2013-04,2471.3324848059924
2013-05,2485.2510567724303
2013-06,2334.68154533321
2013-07,2328.6508967457717
2013-08,2312.671567544097
2013-09,2374.8655458190524
2013-10,2467.2501383702365
2013-11,2469.379620338646
2013-12,2413.4532334730616
2014-01,2343.902969934435
2014-02,2366.406860658401
2014-03,2393.56477211958
2014-04,2395.4570303443584
2014-05,2532.1705187765833
2014-06,2584.006257970908
2014-07,2748.2124602843573
2014-08,2811.945186561156
2014-09,2762.8017267652463
2014-10,2840.4793119002156
2014-11,2866.2805996715197
2014-12,2899.493317671143
2015-01,3184.0452163982773
2015-02,3264.665174237222
2015-03,3433.773897382936
2015-04,3545.288723114683
2015-05,3534.6191618784674
2015-06,3345.340986328713
2015-07,3154.027118872392
2015-08,2801.571584806818
2015-09,2762.995034018602
2015-10,3016.6564075397814
2015-11,3050.161500049304
2015-12,2950.889819956304
2016-01,2719.9061038606696
2016-02,2684.557527855171
2016-03,2848.783121603091
2016-04,2810.342406795984
2016-05,2855.4582380441952
2016-06,2938.860872805562
2016-07,3061.0003404706895
2016-08,3181.160820888745
2016-09,3203.194924868154
2016-10,3234.804292635456
2018-03,3925.7129187198952
2018-04,4022.8837160818007
2018-05,4113.442339900878
