Date,HONG KONG-LISTED SOUTHBOUND
1999-05,1000.0
1999-06,1114.1466556835771
1999-07,1035.9657165812043
1999-08,1073.6266409988093
1999-09,1008.5451610243296
1999-10,1071.3949997140999
1999-11,1253.2761768493776
1999-12,1352.7944000517637
2000-01,1243.829987949642
2000-02,1296.2136868757864
2000-03,1337.0144547906766
2000-04,1296.3645410773108
2000-05,1173.3766135041242
2000-06,1224.3600572210312
2000-07,1354.2544827180866
2000-08,1442.358891614738
2000-09,1351.9958679700164
2000-10,1347.2571803606195
2000-11,1241.1908344357146
2000-12,1248.3049800741558
2001-01,1331.4120574449607
2001-02,1246.4413914688882
2001-03,1147.8068967120546
2001-04,1192.1935820662284
2001-05,1237.8210829171646
2001-06,1194.804559262169
2001-07,1110.4314368693026
2001-08,1006.6121891658817
2001-09,885.3774338797444
2001-10,924.5665084720389
2001-11,1042.823346315361
2001-12,1058.0863291651826
2002-01,1049.565614739845
2002-02,1025.7128090559493
2002-03,1079.1421044547476
2002-04,1091.404466833752
2002-05,1043.7961566117758
2002-06,933.9459898981448
2002-07,914.1683275248442
2002-08,900.7416659364587
2002-09,820.0498929530742
2002-10,852.5394812134035
2002-11,904.5963336664265
2002-12,800.6758769654408
2003-01,777.3901474635965
2003-02,772.8206038646322
2003-03,740.313646476347
2003-04,745.9081707836776
2003-05,774.6194404272146
2003-06,802.6940495764316
2003-07,864.1231464681562
2003-08,968.1996321822082
2003-09,946.2911489883254
2003-10,1040.500603713701
2003-11,1021.1743812688075
2003-12,1016.4683579974703
2004-01,1058.685874556812
2004-02,1108.4244726063862
2004-03,1036.4954154626591
2004-04,1002.3234396031124
2004-05,1016.161696453513
2004-06,1018.2207540899182
2004-07,1024.473556535352
2004-08,1064.1071835150717
2004-09,1074.7472813060667
2004-10,1051.251198909858
2004-11,1087.666327871922
2004-12,1068.7242410285817
2005-01,1076.5015111319683
2005-02,1101.9663549037646
2005-03,1064.9558177481235
2005-04,1092.9917530028176
2005-05,1147.3104255931537
2005-06,1200.8031053756902
2005-07,1246.9805827231496
2005-08,1225.3227465750133
2005-09,1289.884974519428
2005-10,1216.9006926439681
2005-11,1287.4007258964043
2005-12,1302.0098265693555
2006-01,1355.9383699617474
2006-02,1409.5052832998138
2006-03,1403.0327697377675
2006-04,1403.326202587448
2006-05,1345.1679708540341
2006-06,1362.4358899898787
2006-07,1398.483319928477
2006-08,1427.7390729328338
2006-09,1466.4108669826462
