Date,ACWI ex TAIWAN
2015-12,234.47417904890324
2016-01,221.21412094206568
2016-02,218.78016513191915
2016-03,224.18185679769064
2016-04,226.66670142475715
2016-05,233.6504357885686
2016-06,232.68433720229547
2016-07,241.1210318341013
2016-08,242.9749919061643
2016-09,242.3092855722247
2016-10,244.14897283194676
2016-11,254.44736995181418
2016-12,261.6559671739516
2017-01,262.3376542897896
2017-02,274.3453363748998
2017-03,276.06153215005287
2017-04,275.47775339763166
2017-05,272.89129637147704
2017-06,270.24448474211755
2017-07,268.8211388047311
2017-08,267.6868797530336
2017-09,274.70843953756884
2017-10,284.46967376712996
2017-11,283.6475831671503
2017-12,286.3046833469325
2018-01,291.5286808609984
2018-02,285.33011785208134
2018-03,276.9420777342694
2018-04,284.98487930298376
2018-05,295.6079417238318
2018-06,294.09939916381944
2018-07,302.31768354462304
2018-08,306.5300035323315
2018-09,308.52605896238487
2018-10,292.82996412469356
2018-11,297.5481752656321
2018-12,273.859996472539
2019-01,294.69238427888854
2019-02,304.9565322989567
2019-03,313.30308917821253
2019-04,324.6466686415651
2019-05,307.4882784902442
2019-06,320.773675012798
2019-07,329.0255495748658
2019-08,324.90532912024236
2019-09,335.16294406556057
2019-10,336.32996791624925
2019-11,348.8094753662839
2019-12,354.64589633375016
2020-01,355.5332080980326
2020-02,329.5475219228187
2020-03,285.56639738017765
2020-04,316.7212289201719
2020-05,325.95370064837226
2020-06,332.99651130897024
2020-07,332.60048142121497
2020-08,349.5371655646767
2020-09,344.83134400188055
2020-10,338.57901041038485
2020-11,370.59699425907485
2020-12,378.92152081409307
2021-01,379.5171723804165
2021-02,388.61455318077054
2021-03,412.5167972011341
2021-04,420.2819131063541
2021-05,420.6838131824686
2021-06,439.63225767598936
2021-07,443.0479836843606
2021-08,456.17011257529697
2021-09,445.63543658593346
2021-10,469.5439034115148
2021-11,470.88906198829756
2021-12,484.7577778917209
2022-01,467.4397157279
2022-02,454.6144501897112
2022-03,469.51879080190685
2022-04,455.91310644919696
2022-05,449.54489814677913
2022-06,422.47452623923107
2022-07,463.8443048559299
2022-08,453.0276025790389
2022-09,421.1742223355447
2022-10,443.4954531971875
2022-11,458.0632825628944
2022-12,424.8177939676088
2023-01,447.1305757031435
2023-02,444.81108541251433
2023-03,447.88160623991837
2023-04,447.73360767866205
2023-05,458.3948087674899
2023-06,474.4419591102526
2023-07,487.0106873073176
