Date,EM WITH BRAZIL ADR
2003-05,1000.0
2003-06,1087.619057985442
2003-07,1179.857981589062
2003-08,1287.3155305833468
2003-09,1222.3450816071538
2003-10,1326.1717287762583
2003-11,1295.5927807564765
2003-12,1308.639552006169
2004-01,1385.9173664983816
2004-02,1450.7039614308974
2004-03,1486.3482319769428
2004-04,1408.0839297473537
2004-05,1354.6833026443835
2004-06,1360.828956460806
2004-07,1339.7272512161467
2004-08,1380.0416230891235
2004-09,1423.22660014078
2004-10,1423.7899394876733
2004-11,1487.3897176669675
2004-12,1517.222960701828
2005-01,1591.587834403301
2005-02,1686.2917729718276
2005-03,1612.5915507892812
2005-04,1582.7587059201699
2005-05,1705.5879633262662
2005-06,1798.7556537865944
2005-07,1925.5074980624831
2005-08,1908.1791582137766
2005-09,2121.896068260947
2005-10,1999.0271615104382
2005-11,2197.1270323638337
2005-12,2331.3103401170565
2006-01,2515.698569371722
2006-02,2550.977150580706
2006-03,2542.3683633270707
2006-04,2614.3879262147625
2006-05,2301.1322299004396
2006-06,2301.5650875968786
2006-07,2341.2774330107377
2006-08,2394.2480654000296
2006-09,2441.383460606544
2006-10,2537.9915686965073
2006-11,2626.0784302284496
2006-12,2755.9453571083322
2007-01,2768.6154809780924
2007-02,2705.4520509258546
2007-03,2788.8466517798265
2007-04,2850.3357998262763
2007-05,3030.33106074109
2007-06,3158.7486955875147
2007-07,3285.90786867198
2007-08,3234.7000123442926
2007-09,3443.3083258756237
2007-10,3763.080564193576
2007-11,3444.6146007560747
2007-12,3470.0615144435665
2008-01,3005.960352091376
2008-02,3136.4254525632496
2008-03,2848.6931263937145
2008-04,3130.764786896743
2008-05,3178.2945071579334
2008-06,2819.995960034065
2008-07,2746.595121577936
2008-08,2687.153591480999
2008-09,2343.2099260727914
2008-10,1881.8620873886412
2008-11,1738.3660484737356
2008-12,1720.1875636186585
2009-01,1736.9071566849561
2009-02,1652.6502292971493
2009-03,1806.801767115071
2009-04,2107.274805283429
2009-05,2309.7367936814785
2009-06,2299.80140988884
2009-07,2532.3750373059597
2009-08,2487.158633000527
2009-09,2663.928263460342
2009-10,2641.296440154506
2009-11,2711.3445187866564
2009-12,2947.886028204947
2010-01,2872.7771788144937
2010-02,2934.5999739005074
2010-03,3201.6845081955466
2010-04,3296.8706302740206
2010-05,3251.1424115793984
2010-06,3244.2488096214547
2010-07,3296.4081291944894
2010-08,3313.684830411848
2010-09,3435.4296835641608
2010-10,3472.5832127043304
2010-11,3618.5470693755847
2010-12,3772.0507580360577
2011-01,3598.682900248426
2011-02,3530.9985632881594
2011-03,3639.302482281396
2011-04,3595.891402058841
2011-05,3614.3069938894164
2011-06,3527.359072837527
2011-07,3554.7842005360794
2011-08,3222.9126464802557
2011-09,2959.6068256042445
2011-10,3212.6118088891467
2011-11,3114.8392577165455
2011-12,3193.645999430672
2012-01,3514.0427260823685
2012-02,3639.435311784948
2012-03,3542.8431196014053
2012-04,3529.226393631892
2012-05,3364.986999113959
2012-06,3411.5415110363165
2012-07,3584.470326583889
2012-08,3489.240629311507
2012-09,3631.3311592815517
2012-10,3582.23338915065
2012-11,3617.815064931512
2012-12,3745.1029416906717
2013-01,3680.3876643338863
2013-02,3770.402380000485
2013-03,3776.3379828389207
2013-04,3708.236112234329
2013-05,3682.7576362511863
2013-06,3448.3611345403074
2013-07,3418.9781043521803
2013-08,3388.183713708896
2013-09,3509.1482627455216
2013-10,3659.05195281917
2013-11,3611.603350634838
2013-12,3523.9317821500927
2014-01,3369.1499884039504
2014-02,3398.964791683993
2014-03,3495.410713270334
2014-04,3486.3251793893787
2014-05,3674.7911990687157
2014-06,3754.056322782845
2014-07,3926.943227050281
2014-08,4062.26694990307
2014-09,3948.693835237795
2014-10,4020.9543002302144
2014-11,4005.2804843155714
2014-12,3945.4496957971423
2015-01,4265.052135620805
2015-02,4429.082389492822
2015-03,4570.942482894198
2015-04,4711.022662322607
2015-05,4633.627343933165
2015-06,4432.833833438319
2015-07,4169.727761856338
2015-08,3749.998768946225
2015-09,3660.837451391367
2015-10,3962.8410606501393
2015-11,3982.6599810251746
2015-12,3787.8638046092588
2016-01,3556.8612831726205
2016-02,3529.7034865509186
2016-03,3798.1497472745064
2016-04,3795.0559566253396
