Date,JORDAN + EGYPT + MOROCCO
2005-05,744.8179796072119
2005-06,834.7689705758683
2005-07,851.4566952000699
2005-08,858.7151881178639
2005-09,944.8661518176294
2005-10,960.0822046742306
2005-11,1000.0
2005-12,1044.3847356212125
2006-01,1224.9687696328472
2006-02,1157.5427250383718
2006-03,1107.9734621963596
2006-04,1090.609211491605
2006-05,933.4885196598889
2006-06,860.6026945576515
2006-07,941.6617617756563
2006-08,1027.556538862864
2006-09,1059.505556988329
2006-10,1070.2025699540134
2006-11,1028.4859057223493
2006-12,1090.3595704806685
2007-01,1117.9960947650418
2007-02,1168.7902948091967
2007-03,1175.8787446267202
2007-04,1195.5160214873997
2007-05,1246.686485287856
2007-06,1232.0030876978635
2007-07,1265.1387517100043
2007-08,1228.1301087187026
2007-09,1295.7808680463152
2007-10,1371.767700161341
2007-11,1383.0916833832907
2007-12,1489.7643263482585
2008-01,1491.8651135791852
2008-02,1587.5371417359768
2008-03,1556.1896359242912
2008-04,1626.3278740507972
2008-05,1575.316220146723
2008-06,1470.765640762474
2008-07,1436.0047107478233
2008-08,1403.6460815476307
2008-09,1243.1632045646243
2008-10,1046.8871634887073
2008-11,922.4478352857892
2008-12,929.350064868989
2009-01,861.8584394534987
2009-02,872.4393107588961
2009-03,878.0231878448517
2009-04,1004.3328636010862
2009-05,1019.8474125012593
2009-06,1045.4174456272747
2009-07,1063.1148170139836
2009-08,1109.7917669583117
2009-09,1096.93969548767
2009-10,1113.8600408138113
2009-11,967.7590555625873
2009-12,1054.8490269689976
2010-01,1151.1349408971832
2010-02,1174.8573839182307
2010-03,1217.4008231295124
2010-04,1331.2491222222943
2010-05,1287.4602260935146
2010-06,1207.4669992968093
2010-07,1191.3125213919682
2010-08,1216.6970919420423
2010-09,1182.8246462622274
2010-10,1167.6505423203587
2010-11,1219.9629921183043
2010-12,1258.8278721586598
2011-01,1056.6129593055518
2011-02,1054.5787534924566
2011-03,1001.5532925767935
2011-04,914.7844983075489
2011-05,1017.4345993893177
2011-06,968.3249709298477
2011-07,926.2735610565688
2011-08,893.5055883023844
2011-09,873.7010959342686
2011-10,894.4347163658733
2011-11,846.017658461247
2011-12,808.694624586478
2012-01,951.0312596838002
2012-02,1030.2636325155188
2012-03,998.7023329172814
2012-04,983.8867092941396
2012-05,1001.7659951024957
2012-06,974.3312268803498
2012-07,1025.1294358048162
2012-08,1080.3850997742745
