Date,ACWI
1998-12,100.0
1999-01,105.51225891366668
1999-02,106.41150278305766
1999-03,113.06718967973423
1999-04,120.36594414350864
1999-05,117.79400388576029
1999-06,125.04938026119471
1999-07,120.00016587968656
1999-08,121.44497266555257
1999-09,119.15410531626584
1999-10,126.84453381381755
1999-11,136.52020312967736
1999-12,148.56479282519243
2000-01,143.9988039616834
2000-02,146.8289574328288
2000-03,157.4379361716795
2000-04,157.90919242262584
2000-05,151.13264153612542
2000-06,151.1776719848061
2000-07,151.79691565304014
2000-08,163.12644565611168
2000-09,155.3199580551446
2000-10,158.54235202740017
2000-11,144.80805190358126
2000-12,136.50845401152893
2001-01,141.29950633859318
2001-02,130.86699434117233
2001-03,126.97337545579362
2001-04,135.82972174034637
2001-05,140.48805243202918
2001-06,136.35265800142244
2001-07,129.8475854744271
2001-08,119.32505347064158
2001-09,108.14549614982506
2001-10,111.66999077774662
2001-11,119.24600587703905
2001-12,121.0326172499241
2002-01,121.74992495474162
2002-02,120.28282055164281
2002-03,124.64847081002388
2002-04,116.856362613924
2002-05,112.8689135784268
2002-06,100.25605084082866
2002-07,92.52280811928085
2002-08,92.73359491320592
2002-09,81.93157233002076
2002-10,87.78279004811304
2002-11,92.17046973361384
2002-12,83.20495310593763
2003-01,78.9629894869808
2003-02,77.26972331250118
2003-03,76.03236199676053
2003-04,80.98168604544725
2003-05,81.31192401355919
2003-06,84.87975131552119
2003-07,88.52081527314806
2003-08,92.90443756923149
2003-09,88.1466522224093
2003-10,93.65886210321575
2003-11,92.22217873489218
2003-12,93.19885734726225
2004-01,96.24946946996084
2004-02,98.00983908129578
2004-03,98.56680504552155
2004-04,98.72651155423485
2004-05,97.73307964544512
2004-06,100.07702933971096
2004-07,97.92465201087026
2004-08,97.63993500431584
2004-09,97.55394756543862
2004-10,97.59988224140686
2004-11,98.54517750140772
2004-12,100.11148283007837
2005-01,102.1973923972141
2005-02,103.88859631489515
2005-03,103.80738366123889
2005-04,102.27165829058674
2005-05,109.00336169058576
2005-06,112.34615832589566
2005-07,116.14664277756098
2005-08,115.63555907483659
2005-09,121.53863516681413
2005-10,119.06780697079154
2005-11,125.43363439665825
2005-12,128.48404862185797
2006-01,130.97880301103635
2006-02,133.25942980918705
2006-03,134.10655917387098
2006-04,133.1901061801887
2006-05,125.57930033036716
2006-06,126.14581574782613
2006-07,127.28682482251278
2006-08,130.2530876097224
2006-09,133.1903565214555
2006-10,137.17258103241338
2006-11,135.8801844229672
2006-12,139.67378668484756
2007-01,143.17842376765188
2007-02,140.161402407375
2007-03,141.9355976582173
2007-04,144.66342372113678
2007-05,151.21520440089762
2007-06,150.2775470253709
2007-07,146.03869511868834
2007-08,146.29510419900782
2007-09,147.80845121852832
2007-10,150.99299973088623
2007-11,142.30334208663095
2007-12,141.3241167488455
2008-01,128.15552298059765
2008-02,125.40202749360768
2008-03,118.43390812180088
2008-04,127.34982605584224
2008-05,129.72235988235184
2008-06,117.48819072380111
2008-07,115.5966533861375
2008-08,119.91923174490496
2008-09,110.03166785070171
2008-10,97.76309462300443
2008-11,91.3411228298061
2008-12,86.44326580768733
2009-01,85.78309830993062
2009-02,78.13502463284736
2009-03,80.94011809489864
2009-04,90.74648083260927
2009-05,93.51967401907562
2009-06,93.8818635955948
2009-07,101.09068773078957
2009-08,103.48576133033787
2009-09,106.29267130431138
2009-10,103.69620886328254
2009-11,106.14399022485877
2009-12,113.4039783492552
2010-01,112.02297449249225
2010-02,115.59142553900185
2010-03,124.13977453768716
2010-04,126.60757554351784
2010-05,124.30775887446222
2010-06,120.7334184083731
2010-07,122.78670879327268
2010-08,121.51404038763644
2010-09,123.98714145590081
2010-10,126.2098230810766
2010-11,131.8135384013546
2010-12,137.30722378397468
2011-01,136.4968665769195
2011-02,139.48964843418537
2011-03,135.6852583790844
2011-04,135.17088197449903
2011-05,136.6279325381224
2011-06,133.39154003901095
2011-07,132.43661137416382
2011-08,122.57772618746763
2011-09,119.1690442972206
2011-10,126.94475414307063
2011-11,127.66066502918797
2011-12,132.15908343507772
2012-01,138.71583955424072
2012-02,142.64305077738283
2012-03,144.3076383792959
2012-04,143.62956373194922
2012-05,140.1003636684315
2012-06,143.310911300768
2012-07,149.74506225258463
