Date,ACWI WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1073.6207689880553
2010-04,1094.8093268529003
2010-05,1074.3874930936747
2010-06,1043.074258720276
2010-07,1061.1411521621799
2010-08,1049.868826724274
2010-09,1070.979085432697
2010-10,1090.280308143557
2010-11,1139.724847405815
2010-12,1187.506935282058
2011-01,1182.3585366915938
2011-02,1208.7270833089913
2011-03,1174.4000395738976
2011-04,1170.7203320176868
2011-05,1183.3797824510484
2011-06,1154.9256328410834
2011-07,1146.8361064278001
2011-08,1061.806223704746
2011-09,1032.8589089413124
2011-10,1099.6162924080731
2011-11,1107.4489869299664
2011-12,1147.0826961607788
2012-01,1201.9664855189317
2012-02,1235.7084415006827
2012-03,1251.3853199934836
2012-04,1246.1189201135428
2012-05,1216.015745492136
2012-06,1244.0886133965464
2012-07,1299.8084595303476
2012-08,1298.583331935016
2012-09,1312.2500131420702
2012-10,1294.6607399472362
2012-11,1306.9106758659725
2012-12,1319.2411924676846
2013-01,1340.5839233278875
2013-02,1393.0678679202613
2013-03,1445.4711895496719
2013-04,1448.9401454950198
2013-05,1471.7864200702002
2013-06,1426.2359110701111
2013-07,1464.6839332631723
2013-08,1445.600391286323
2013-09,1480.79347108969
2013-10,1533.395944944013
2013-11,1554.718348215705
2013-12,1563.7320836328715
2014-01,1534.4550599026597
2014-02,1571.8148300722473
2014-03,1581.2893275924414
2014-04,1587.9140956643341
2014-05,1648.716019048535
2014-06,1674.2192410518926
2014-07,1692.7168273460054
2014-08,1757.539019778069
2014-09,1775.2635468140522
2014-10,1802.447098856633
2014-11,1843.190480302081
2014-12,1864.6110009878641
2015-01,1967.290542415077
2015-02,2091.12593978905
2015-03,2152.020115124846
2015-04,2124.121162933404
2015-05,2170.290790836371
2015-06,2085.04521612671
2015-07,2122.4558162535163
2015-08,1951.0119532241308
2015-09,1888.003185116856
2015-10,2059.120065086424
2015-11,2137.6151075433477
2015-12,2040.8702623086328
2016-01,1926.0104058308843
2016-02,1906.3096973191225
2016-03,1952.1300815384598
2016-04,1971.993780482649
2016-05,2033.5732185895388
2016-06,2025.0568817623741
2016-07,2098.3278551735593
2016-08,2114.95428424602
2016-09,2110.1351249855516
2016-10,2126.018503220252
2016-11,2217.397728974126
2016-12,2279.178169706054
2017-01,2285.074242835916
2017-02,2389.4568502861366
2017-03,2404.1848991287666
2017-04,2398.842993185121
2017-05,2377.263339610176
2017-06,2355.975627250216
2017-07,2342.08194630613
2017-08,2332.3691383519126
2017-09,2392.6440506400377
2017-10,2478.5693683365184
2017-11,2470.504898593691
2017-12,2492.9568205653504
2018-01,2538.9061055826874
2018-02,2485.9146400592786
2018-03,2414.336753433977
2018-04,2482.150244573091
2018-05,2576.629532117399
2018-06,2563.787372027173
2018-07,2635.070699406677
2018-08,2673.13542583817
2018-09,2692.4285540740866
2018-10,2552.003357893927
2018-11,2590.6480804605776
2018-12,2384.015803292729
2019-01,2564.8750882836734
2019-02,2656.0470893540937
2019-03,2727.9624172807016
2019-04,2828.113916489214
2019-05,2674.968743061868
2019-06,2792.1609717842116
2019-07,2866.0257711904123
2019-08,2830.947092037401
2019-09,2920.8404993288386
2019-10,2931.8269712186748
2019-11,3041.895047349976
2019-12,3094.231658241882
2020-01,3100.5149206895894
2020-02,2877.0316273228054
2020-03,2498.9149049062235
2020-04,2771.802321154982
2020-05,2851.020147962163
2020-06,2913.988279880223
2020-07,2913.13425558329
2020-08,3060.0622463548307
2020-09,3021.103343411826
2020-10,2967.525379866731
2020-11,3247.8026634875782
2020-12,3321.444174106557
2021-01,3332.435047178756
2021-02,3413.6124636909935
2021-03,3622.1213344240923
2021-04,3694.5329523743494
2021-05,3693.012613859649
2021-06,3859.8340347439657
2021-07,3888.6239344944443
2021-08,4001.6895779351544
2021-09,3907.604582986238
2021-10,4118.908712541346
2021-11,4134.124006627413
2021-12,4258.764048425178
2022-01,4106.016513137787
2022-02,3991.587471840256
2022-03,4120.974203630563
2022-04,3996.676897269537
2022-05,3946.1448637581857
2022-06,3704.7945315389416
2022-07,4064.0308578330023
2022-08,3965.1932141896277
2022-09,3679.7056226544387
2022-10,3869.992620805363
2022-11,4008.168907698452
2022-12,3716.515092039784
2023-01,3920.5472211758856
2023-02,3903.0165531202606
2023-03,3931.0000316472847
2023-04,3923.711634694047
2023-05,4020.1279488900836
2023-06,4157.657672170484
2023-07,4266.357121208012
