Date,ACWI ex IRELAND
2015-12,2345.267680780969
2016-01,2213.084279502317
2016-02,2189.9974753217157
2016-03,2244.4298880345254
2016-04,2267.418532261386
2016-05,2337.629333835576
2016-06,2329.961644697995
2016-07,2415.2172302847484
2016-08,2434.125806271243
2016-09,2428.292770709015
2016-10,2447.9163180726396
2016-11,2550.053854071072
2016-12,2621.01484103607
2017-01,2628.6615136831642
2017-02,2749.754981170242
2017-03,2767.0284332006195
2017-04,2761.2627340240297
2017-05,2735.3965140493865
2017-06,2710.3735506185276
2017-07,2696.3018857891507
2017-08,2685.449600579457
2017-09,2753.6808566723935
2017-10,2853.1950753370656
2017-11,2843.0176717255736
2017-12,2869.3411970954817
2018-01,2922.556096938519
2018-02,2861.018681196781
2018-03,2778.214573311487
2018-04,2856.536921584797
2018-05,2962.7275597149574
2018-06,2947.39778615894
2018-07,3030.912859144052
2018-08,3073.426978061562
2018-09,3093.5826042138788
2018-10,2934.3407075440837
2018-11,2981.0907667277643
2018-12,2745.7940312743553
2019-01,2952.466451620724
2019-02,3055.9306983081337
2019-03,3140.0257810537464
2019-04,3253.78405595903
2019-05,3080.9222754456246
2019-06,3213.705864168969
2019-07,3297.8806236118785
2019-08,3256.685352857311
2019-09,3360.36082793116
2019-10,3374.190721959295
2019-11,3498.741050302316
2019-12,3559.115196483498
2020-01,3566.3351680751553
2020-02,3308.723277985917
2020-03,2867.3149663797694
2020-04,3181.6844047018267
2020-05,3270.906046949161
2020-06,3344.397768192201
2020-07,3345.6201198920016
2020-08,3511.6929647505312
2020-09,3467.1673413425806
2020-10,3406.2811966721347
2020-11,3727.251800627793
2020-12,3814.5442784528523
2021-01,3825.3923671956254
2021-02,3918.8080744053937
2021-03,4156.98623537259
2021-04,4237.961239104082
2021-05,4239.73957816513
2021-06,4430.352875822038
2021-07,4462.448448982902
2021-08,4595.991765745598
2021-09,4490.148924451856
2021-10,4727.729721811222
2021-11,4745.687554604209
2021-12,4886.269383731863
2022-01,4714.558788969155
2022-02,4585.3972234164485
2022-03,4732.730542433986
2022-04,4593.635506653245
2022-05,4532.216413840273
2022-06,4255.074422177374
2022-07,4668.9372445165445
2022-08,4561.596756312584
2022-09,4236.196866750622
2022-10,4453.0766890565865
2022-11,4607.927282058558
2022-12,4272.061619838062
2023-01,4499.6356324145345
2023-02,4477.19058035204
2023-03,4507.828941565201
2023-04,4501.907448726319
2023-05,4615.637925354299
2023-06,4774.164172988334
2023-07,4898.164070703811
