Date,ACWI ex CHILE
2015-12,2340.0415515865025
2016-01,2207.9145315822634
2016-02,2184.806100040193
2016-03,2238.933137711682
2016-04,2261.7562619037803
2016-05,2332.0717417573405
2016-06,2323.7911850124
2016-07,2408.8524884294693
2016-08,2428.038205021591
2016-09,2422.149550800949
2016-10,2441.286872773636
2016-11,2543.358634632528
2016-12,2614.303768190582
2017-01,2621.7795265381646
2017-02,2742.419423615864
2017-03,2759.5221770412795
2017-04,2753.947587450452
2017-05,2728.190515960018
2017-06,2703.2076565547377
2017-07,2688.8777670986606
2017-08,2677.823099458773
2017-09,2746.03788078637
2017-10,2845.08982020991
2017-11,2835.364640078344
2017-12,2861.2296775081527
2018-01,2914.0911360724062
2018-02,2852.5815596389043
2018-03,2770.0404083854364
2018-04,2848.164670597116
2018-05,2954.5333564900257
2018-06,2939.2626602532123
2018-07,3022.3299619599197
2018-08,3064.9734332947432
2018-09,3084.7779054395587
2018-10,2925.989539810809
2018-11,2972.203195504231
2018-12,2737.576877770134
2019-01,2943.351729636413
2019-02,3046.8681403039122
2019-03,3130.8835605738213
2019-04,3244.669035453182
2019-05,3072.4040773960915
2019-06,3204.731841502732
2019-07,3288.7670537148824
2019-08,3247.8325424750765
2019-09,3351.2155321418195
2019-10,3365.590343823016
2019-11,3490.486417935929
2019-12,3550.556635481449
2020-01,3557.7610434190215
2020-02,3300.945641908521
2020-03,2860.5463547961544
2020-04,3173.953657237514
2020-05,3263.355103013095
2020-06,3336.5870235636166
2020-07,3337.8776322970616
2020-08,3503.9754086840558
2020-09,3459.71628071545
2020-10,3399.018586832175
2020-11,3719.105628322976
2020-12,3805.9520917834834
2021-01,3816.5304100363546
2021-02,3909.467264773959
2021-03,4147.354746236948
2021-04,4228.27623964354
2021-05,4230.247889576097
2021-06,4420.335565671622
2021-07,4452.605937688668
2021-08,4586.078471397038
2021-09,4480.249228081536
2021-10,4717.270041180525
2021-11,4734.41213972302
2021-12,4875.344184227763
2022-01,4703.4677159773
2022-02,4574.280447672376
2022-03,4720.171417057344
2022-04,4581.8329527518345
2022-05,4520.161953567942
2022-06,4243.495675947719
2022-07,4656.102061326776
2022-08,4549.225542595244
2022-09,4224.482689781172
2022-10,4441.143454477456
2022-11,4595.660952546158
2022-12,4260.986316883283
2023-01,4488.320922120698
2023-02,4466.372852892418
2023-03,4497.231200775501
2023-04,4491.545248789834
2023-05,4604.737549031046
2023-06,4762.827577503484
2023-07,4886.806842467734
