Date,AC FAR EAST ex JAPAN ex HK
1998-12,100.0
1999-01,102.35573938128924
1999-02,102.19551389108348
1999-03,114.33052264686047
1999-04,144.2285979807069
1999-05,143.06426367384938
1999-06,176.0595463235811
1999-07,162.6296843370284
1999-08,168.0659709253989
1999-09,150.06638592996026
1999-10,159.077301093199
1999-11,180.09188091723414
1999-12,192.56430709641316
2000-01,198.67406022945727
2000-02,180.61023947027545
2000-03,192.44172588929365
2000-04,186.95799852083067
2000-05,171.9754042539595
2000-06,172.74052449370035
2000-07,166.39988381088827
2000-08,169.87273740391092
2000-09,149.24314438464575
2000-10,142.587631450927
2000-11,131.15410089846026
2000-12,116.86203078595153
2001-01,138.97840900075207
2001-02,132.41813104738276
2001-03,123.05777303408706
2001-04,123.37412000283383
2001-05,128.5821176652219
2001-06,127.59490780670257
2001-07,117.19483084223155
2001-08,113.29866599348684
2001-09,94.8444957325848
2001-10,101.36862920510755
2001-11,116.25947395836032
2001-12,129.06563337607267
2002-01,141.50571939247573
2002-02,142.978014376312
2002-03,152.61563754856743
2002-04,148.1345051603805
2002-05,141.0022778112019
2002-06,126.48049393902039
2002-07,122.9387340020927
2002-08,121.09684678613398
2002-09,105.13796374410659
2002-10,111.05313676708404
2002-11,115.764682444123
2002-12,102.38750259906092
2003-01,101.44474070644966
2003-02,95.73212670106776
2003-03,90.40681960775744
2003-04,92.58514331314478
2003-05,95.50423929901199
2003-06,104.71917337903885
2003-07,116.67138659576453
2003-08,126.87913432526828
2003-09,118.53874303454455
2003-10,130.2062504010451
2003-11,124.04945781117226
2003-12,125.07675088840712
2004-01,134.64031585365746
2004-02,139.81814715385988
2004-03,140.10390714434885
2004-04,134.92695964174203
2004-05,128.48714818301727
2004-06,127.43054545231347
2004-07,124.07074091429625
2004-08,128.77866736024578
2004-09,131.05977254967684
2004-10,128.76083619003722
2004-11,133.68751838698947
2004-12,134.40272511764337
2005-01,143.15984072971284
2005-02,149.6902021731322
2005-03,145.24492170291816
2005-04,143.0345561554803
2005-05,153.92164243324808
2005-06,160.2678542355446
2005-07,170.6501720316155
2005-08,162.37961118868392
2005-09,174.74619151306618
2005-10,164.96764067857674
2005-11,181.14368568380468
2005-12,193.4573879977918
2006-01,202.26350674720143
2006-02,205.3618201804788
2006-03,204.42643952646605
2006-04,211.01556406075142
2006-05,192.59892620512258
2006-06,192.0231965968107
2006-07,192.17933545519847
2006-08,197.10981285036934
2006-09,205.99510352118452
2006-10,210.09941239229875
2006-11,219.22449131694225
2006-12,229.39111367550296
2007-01,227.85412536460433
2007-02,227.38015096086687
2007-03,230.94851986465724
2007-04,234.08910724926346
2007-05,252.42084900612863
2007-06,267.0876924639848
2007-07,283.2482452487405
2007-08,280.7161781746571
2007-09,299.09497710237497
2007-10,322.8859663750473
2007-11,285.56110245943404
2007-12,281.8362640711494
2008-01,238.87687192611043
2008-02,253.34859941577238
2008-03,230.26087585259086
2008-04,252.5712183621387
2008-05,246.10750004498408
2008-06,215.8066883207606
2008-07,214.5766790173908
2008-08,209.6025629905778
2008-09,184.14541603436817
2008-10,155.07564296576527
2008-11,145.2832605403501
2008-12,147.51532309873224
2009-01,149.1628212916051
2009-02,141.0104001862949
2009-03,156.10874973688408
2009-04,182.11051882203688
2009-05,193.2394752784853
2009-06,194.95665166692422
2009-07,219.04946613091963
2009-08,210.08474801708175
2009-09,224.08803750123167
2009-10,220.86780871456327
2009-11,222.49042196637214
2009-12,243.9772783867638
2010-01,236.62405503009708
2010-02,240.87053999510786
2010-03,260.43366540608224
2010-04,272.26411314566934
2010-05,269.41832960568416
2010-06,273.021141303395
2010-07,273.7906930676395
2010-08,276.86934996473394
2010-09,284.2003050533526
2010-10,287.08008075883066
2010-11,302.84983104020347
2010-12,311.4628912460147
2011-01,306.03177471029227
2011-02,291.01081637909533
2011-03,301.4414928463889
2011-04,301.68840577314825
2011-05,307.5488553647223
2011-06,297.16653419338377
2011-07,304.5783148428174
2011-08,273.3823832571516
2011-09,253.7495141618485
2011-10,274.3333247504961
2011-11,263.01506549015903
2011-12,275.88379163065594
2012-01,300.6047460908964
2012-02,311.22706381944874
2012-03,304.27163354850217
2012-04,307.6107164365608
2012-05,298.64070504220444
2012-06,297.95776151211345
2012-07,315.99217694646285
2012-08,306.1897843795604
2012-09,318.2711647554761
2012-10,315.6327067331566
2012-11,322.32930579696324
2012-12,330.203931742254
2013-01,322.8962808154986
2013-02,338.08063912733627
2013-03,336.4278138344393
2013-04,332.16350004128094
2013-05,334.5719551507614
2013-06,314.8696111303047
2013-07,314.52582518745317
2013-08,315.0260429799949
2013-09,322.3050166696534
2013-10,334.29489702695827
2013-11,335.05460322913615
2013-12,325.3893435458318
2014-01,315.8401099954381
2014-02,318.5319018877372
2014-03,321.6079759311601
2014-04,321.7237047009352
2014-05,337.8648068364638
2014-06,345.00234540950004
2014-07,366.36497681107596
2014-08,375.08672490526186
2014-09,367.1770656050513
2014-10,373.8139192459041
2014-11,376.0464828511248
2014-12,382.52881449101636
2015-01,416.0555523071646
2015-02,428.1944583073173
2015-03,451.1790478821706
2015-04,469.2293407098478
2015-05,462.94407058709425
2015-06,436.3540238140326
2015-07,404.90742773258233
2015-08,361.7639927560905
2015-09,356.00732037098726
2015-10,391.1743300851089
2015-11,395.88202855662354
2015-12,381.15185148180154
2016-01,354.09395335363666
2016-02,351.8809299393568
2016-03,373.30712825584607
2016-04,366.37553443783764
2016-05,370.16881133769675
2016-06,383.00832646009746
2016-07,397.5794409686393
2016-08,415.42109500277843
2016-09,418.6046493181555
2016-10,421.84024984202546
2016-11,425.05684605148963
2016-12,421.006401837394
2017-01,436.3889840247326
