Date,MSCI EAFE Expanded ADR Index
2016-02,1000.0
2016-03,1002.7626219794621
2016-04,1032.7421558611018
2016-05,1063.446346801981
2016-06,1044.427517024723
2016-07,1086.0260453330459
2016-08,1093.267187517702
2016-09,1085.4424834957804
2016-10,1074.1693728412004
2016-11,1101.141388758173
2016-12,1146.3572035073687
2017-01,1146.2890190153828
2017-02,1185.7165500262495
2017-03,1217.8778828102584
2017-04,1228.4648542107534
2017-05,1229.8486880373748
2017-06,1211.020799103896
2017-07,1203.2598036082197
2017-08,1190.1924206104181
2017-09,1227.8331468700526
2017-10,1266.5205573450023
2017-11,1242.6333323084507
2017-12,1248.4805435120793
2018-01,1270.2551649430793
2018-02,1228.3378961526664
2018-03,1209.8702951821856
2018-04,1251.3838528184783
2018-05,1265.2803020219521
2018-06,1248.5106778840584
2018-07,1285.2071096848179
2018-08,1258.0022094408214
2018-09,1271.2822133013283
2018-10,1201.806169122713
2018-11,1206.4140902335016
2018-12,1133.917108648643
2019-01,1207.2183093180338
2019-02,1249.83413032349
2019-03,1278.5144610871953
2019-04,1325.4986913368937
2019-05,1266.6004607686455
2019-06,1314.4708278193514
2019-07,1319.005040544672
2019-08,1307.6079635028918
2019-09,1358.8269638774614
2019-10,1371.3446319866798
2019-11,1404.7896378251403
2019-12,1423.4316008888725
2020-01,1407.7439099141127
2020-02,1309.9523431005439
2020-03,1131.6944046744823
2020-04,1201.1573479850592
2020-05,1245.6389892715983
2020-06,1280.8810149752287
2020-07,1236.6700253441481
2020-08,1279.9145797118556
2020-09,1275.2027044559256
2020-10,1226.2356631359617
2020-11,1370.141327676243
2020-12,1410.0789555128754
2021-01,1401.9248719778145
2021-02,1440.8809971074634
2021-03,1525.839333694582
2021-04,1533.8907436499826
2021-05,1572.4250219365183
2021-06,1598.3658068492573
2021-07,1607.9145086092344
2021-08,1639.6637512004647
2021-09,1616.0707894296993
2021-10,1670.3095542941462
2021-11,1637.5277936999332
2021-12,1703.5826942750944
2022-01,1668.0835995875918
2022-02,1605.657917987415
2022-03,1622.6473920085662
2022-04,1602.8586837744942
2022-05,1616.4254139823154
2022-06,1505.3955006221188
2022-07,1616.3961096253463
2022-08,1545.94105663173
2022-09,1439.1692297847235
2022-10,1515.887076852269
2022-11,1649.7614344063359
2022-12,1565.111821561036
2023-01,1667.184600079911
2023-02,1658.1204063363998
2023-03,1672.2965371986238
2023-04,1693.973480167374
2023-05,1688.1667378970762
2023-06,1731.2378830908876
2023-07,1754.163443896575
