Date,KUKJE INDEX (ACWI ex Korea)
1998-12,1000.0
1999-01,1054.4403996384654
1999-02,1063.5170762534801
1999-03,1130.5204338013955
1999-04,1202.2516900499882
1999-05,1177.417033595124
1999-06,1248.800349829285
1999-07,1197.4261636291908
1999-08,1211.9353660211366
1999-09,1190.3790185891942
1999-10,1266.7701935469897
1999-11,1361.5532616155062
1999-12,1482.4615847932944
2000-01,1435.3131900112228
2000-02,1464.943488279531
2000-03,1571.050467783787
2000-04,1576.6888639841593
2000-05,1510.2979986370701
2000-06,1509.5432490835983
2000-07,1516.7551845127023
2000-08,1631.2835703171702
2000-09,1553.7110523690542
2000-10,1586.8997104899465
2000-11,1449.3345854504853
2000-12,1366.0790209903644
2001-01,1412.4957017692736
2001-02,1308.227743137936
2001-03,1269.8949676337795
2001-04,1358.0322094422497
2001-05,1403.937216165933
2001-06,1362.4641979785404
2001-07,1298.2819664967544
2001-08,1192.5231099340526
2001-09,1081.348826147274
2001-10,1115.732467174725
2001-11,1190.0152843673134
2001-12,1207.2828771910836
2002-01,1213.4581006509393
2002-02,1197.7282355752602
2002-03,1240.7065839547686
2002-04,1162.7660525907872
2002-05,1123.0744730818772
2002-06,997.3602477176498
2002-07,919.9346499800238
2002-08,922.01832121633
2002-09,814.9008121538478
2002-10,873.2687808856663
2002-11,916.3572279554495
2002-12,827.8722535624686
2003-01,785.7423247056443
2003-02,769.0923744698105
2003-03,757.3433042314074
2003-04,806.3510235801709
2003-05,809.6217774378623
2003-06,844.7787717767184
2003-07,880.4271988827817
2003-08,923.7638408104982
2003-09,877.0355479145632
2003-10,931.488373039668
2003-11,917.3077559238319
2003-12,927.3339721951332
2004-01,956.9967980156915
2004-02,974.3379366659356
2004-03,979.4773997396106
2004-04,981.4472979024774
2004-05,972.2323402601697
2004-06,995.9340241868389
2004-07,974.9359470852962
2004-08,971.4153451764013
2004-09,970.4359007243702
2004-10,970.9302002794608
2004-11,979.9045725709389
2004-12,995.5801177178338
2005-01,1015.4006695894151
2005-02,1031.4956974148342
2005-03,1031.0745991705205
2005-04,1016.1117985180703
2005-05,1082.6742860957822
2005-06,1115.9574532836436
2005-07,1152.7584653898325
2005-08,1148.17563791583
