Date,FRONTIER EMERGING MARKETS
2002-11,1000.0
2002-12,934.2239392312173
2003-01,933.6785302920755
2003-02,924.2060934124019
2003-03,901.0484218657198
2003-04,985.1196551979576
2003-05,1005.1714247380191
2003-06,1063.3322471379156
2003-07,1101.8466823276158
2003-08,1185.9482784109186
2003-09,1225.6901307566222
2003-10,1293.0170965236284
2003-11,1271.7807615932643
2003-12,1389.5437525517962
2004-01,1410.802584079928
2004-02,1438.0538463100895
2004-03,1427.979976153516
2004-04,1444.9299633027113
2004-05,1377.2547739898932
2004-06,1406.6619440192442
2004-07,1463.6824519277602
2004-08,1455.6275521468185
2004-09,1511.4152722577944
2004-10,1512.7938464250724
2004-11,1565.4825007109835
2004-12,1613.5886500893898
2005-01,1803.6879291152218
2005-02,1941.6537099371744
2005-03,1938.936871162975
2005-04,1970.901245063173
2005-05,2068.9819275131704
2005-06,2310.640918408051
2005-07,2335.6403963661146
2005-08,2410.6238051004116
2005-09,2642.466529952255
2005-10,2607.3397537717397
2005-11,2743.249332062003
2005-12,2780.434288433515
2006-01,2920.8576513686917
2006-02,2908.3194953951224
2006-03,2803.281220773042
2006-04,2811.5411923073057
2006-05,2415.1905285026337
2006-06,2356.9464735062406
2006-07,2452.502400667474
2006-08,2568.785302084613
2006-09,2626.0385343454527
2006-10,2766.372181355719
2006-11,2645.256495229065
2006-12,2765.1516810351277
2007-01,2861.0478229615537
2007-02,2870.221023633653
2007-03,2929.1015093473807
2007-04,3009.242960058681
2007-05,3275.6632783095556
2007-06,3348.5675312299795
2007-07,3500.987866330533
2007-08,3360.1480635696803
2007-09,3480.3085268171394
2007-10,3706.420538765993
2007-11,3527.8285946697165
2007-12,3661.557272243803
2008-01,3424.9388880017063
2008-02,3554.6153464461227
2008-03,3205.2577459242357
2008-04,3366.455511090689
2008-05,3379.530533384992
2008-06,3186.256863094177
2008-07,3164.7775355483336
2008-08,3122.5697994580655
2008-09,2791.9710692431267
2008-10,2180.3268218961434
2008-11,1962.420117740209
2008-12,1709.9399388752374
2009-01,1568.8550927453464
2009-02,1505.2474605609748
2009-03,1568.314467744719
2009-04,1745.182273294077
2009-05,1906.604222853188
2009-06,1963.656867256096
2009-07,2038.1975370697305
2009-08,2117.721227269173
2009-09,2181.2115642619297
2009-10,2104.2464081739768
2009-11,1997.4426042168961
2009-12,2084.8495305495458
2010-01,2115.5816083734235
2010-02,2263.8642118295625
2010-03,2424.0200829135024
2010-04,2503.338099354236
2010-05,2520.2125584418927
2010-06,2514.713617169495
2010-07,2524.865018093779
2010-08,2649.6341694442845
2010-09,2674.1928438373766
2010-10,2761.140938793213
2010-11,2825.142340325581
2010-12,2877.769638670227
2011-01,2698.541095280028
2011-02,2571.038309528666
2011-03,2545.107683638933
2011-04,2506.3037182631
2011-05,2550.515852658558
2011-06,2477.7129526857275
2011-07,2477.2549522335385
2011-08,2401.1080202230632
2011-09,2372.524892005743
2011-10,2405.740030416159
2011-11,2385.577149270828
2011-12,2460.809523858
2012-01,2581.0420703936356
2012-02,2627.842636851203
2012-03,2687.9482568547583
2012-04,2745.4961999771576
2012-05,2771.5218994088923
2012-06,2719.917471012765
2012-07,2828.593452563488
2012-08,2779.039803181393
2012-09,2845.1084280060704
2012-10,2855.9377096555686
2012-11,2863.0859294550364
2012-12,2937.33224191995
2013-01,2992.440700554287
2013-02,3090.1401840047224
2013-03,3150.3427612630394
2013-04,3081.641517691173
2013-05,3139.744479337414
2013-06,2936.680394436157
2013-07,2995.461495171229
2013-08,2917.829364679552
2013-09,2945.8411092361603
2013-10,3035.161152699707
2013-11,2959.13015510357
2013-12,2939.284862427534
2014-01,2963.393873970039
2014-02,3021.424773556801
2014-03,3156.4657845832253
2014-04,3299.9710103558914
2014-05,3480.9325803370207
2014-06,3516.7788910444638
2014-07,3649.83304074049
2014-08,3754.7501520020583
2014-09,3847.277374123037
2014-10,3752.032829539947
2014-11,3621.602264439595
2014-12,3598.9144975857394
2015-01,3789.384577716266
2015-02,3862.1979533227327
2015-03,3963.059804903037
2015-04,3943.8075309569103
2015-05,3858.884039721928
2015-06,3778.8111751143083
2015-07,3667.0680864259966
2015-08,3341.7476262054865
2015-09,3285.68355132956
2015-10,3441.850246710828
2015-11,3376.185056162483
2015-12,3287.868726637753
2016-01,3111.746843711358
2016-02,3189.557758356133
2016-03,3297.3033345005974
2016-04,3370.5392714265845
2016-05,3462.916289472221
2016-06,3509.6377782076806
2016-07,3550.1880349074318
2016-08,3547.056730520688
2016-09,3498.8760647497393
2016-10,3556.2247838081826
2016-11,3458.4930094159718
2016-12,3569.5590904154265
2017-01,3695.429144712696
2017-02,3736.512040830534
2017-03,3785.865784970462
2017-04,3782.463566399633
2017-05,3818.1869487950316
2017-06,3759.371340816135
2017-07,3720.1981539967724
2017-08,3760.962676438438
2017-09,3855.358796197782
2017-10,3917.6484240761492
2017-11,3871.8945006754343
2017-12,3987.9770874620835
2018-01,4023.6597605375564
2018-02,3992.888452191411
2018-03,3958.7653302838007
2018-04,4000.7083581326633
2018-05,3837.1699644012047
2018-06,3714.5109931385655
2018-07,3837.039914238481
2018-08,3734.6561450191543
2018-09,3676.1750761526578
