Date,AC ASIA WITH PARTIAL A SHARES
2008-11,1056.0298465900692
2008-12,1048.5928940620122
2009-01,1066.5246968140352
2009-02,967.6518900610764
2009-03,989.2983186226217
2009-04,1116.830540482321
2009-05,1180.0123597511795
2009-06,1200.1325688030056
2009-07,1286.6791454106499
2009-08,1276.2577017818348
2009-09,1293.1820477276412
2009-10,1261.9336981601907
2009-11,1250.5053894127586
2009-12,1342.1231019866852
2010-01,1355.2729275303077
2010-02,1392.2013521332542
2010-03,1490.046217687393
2010-04,1530.509332187708
2010-05,1522.0018214881115
2010-06,1522.4505589975502
2010-07,1499.816141384477
2010-08,1511.6134725382863
2010-09,1520.9506991621226
2010-10,1529.740306280084
2010-11,1636.2730984617417
2010-12,1690.4814103024016
2011-01,1646.6131339406127
2011-02,1636.536029232464
2011-03,1572.499101099235
2011-04,1538.0473808392794
2011-05,1564.267798681457
2011-06,1541.370763889461
2011-07,1590.2693207636703
2011-08,1443.5048799035694
2011-09,1427.3832083691527
2011-10,1455.8045642965958
2011-11,1410.1147153973054
2011-12,1472.4119189880869
2012-01,1574.4847743177602
2012-02,1626.6880398276253
2012-03,1616.028530024975
2012-04,1602.903746937159
2012-05,1557.261000851298
2012-06,1577.5862636102422
2012-07,1631.2747513409022
2012-08,1584.169058625406
2012-09,1629.5603593299998
2012-10,1602.4131795952296
2012-11,1637.5632959490713
2012-12,1682.2600377650922
2013-01,1675.8362215171005
2013-02,1758.9926372885195
2013-03,1809.4878852961906
2013-04,1849.50325572983
2013-05,1819.8374419676236
2013-06,1772.2901253379682
2013-07,1756.8630033219301
2013-08,1738.2517596870125
2013-09,1809.1231237497975
2013-10,1841.7720618855005
2013-11,1854.271223261591
2013-12,1828.7836567786649
2014-01,1785.9045647675034
2014-02,1769.9174240185134
2014-03,1772.6786285417904
2014-04,1747.2579264187189
2014-05,1847.234085308448
2014-06,1909.1150569298275
2014-07,1999.8113404035385
2014-08,2019.1220913394945
2014-09,2033.0503136951922
2014-10,2059.088153055882
2014-11,2077.016018674239
2014-12,2104.919655906485
2015-01,2310.7540631865304
2015-02,2413.022923207842
2015-03,2549.060257723604
2015-04,2584.6686837679904
2015-05,2621.946032853316
2015-06,2506.490286045141
2015-07,2445.07993143749
2015-08,2219.673305844445
2015-09,2134.854354848669
2015-10,2352.043062011609
2015-11,2405.9962775413605
2015-12,2336.921538236504
2016-01,2153.5893163058236
2016-02,2106.8233489868776
2016-03,2175.686415358542
2016-04,2200.060895456203
2016-05,2237.499392517346
2016-06,2248.960373903714
2016-07,2359.1768012388593
2016-08,2417.824060152543
2016-09,2436.059266802457
2016-10,2491.731952340224
2018-03,2899.5346187108153
2018-04,2971.2465516819657
2018-05,3041.2336874906346
