Date,EAFE VOTING RIGHTS-ADJUSTED
2021-05,1283.7851820193441
2021-06,1307.1556601948123
2021-07,1315.8439662169667
2021-08,1345.3226385925511
2021-09,1333.8959256224102
2021-10,1367.1353999099194
2021-11,1339.2025137963665
2021-12,1392.9625998534452
2022-01,1347.518208977142
2022-02,1321.9358954195336
2022-03,1343.7618015343196
2022-04,1326.5788558416582
2022-05,1320.6819702250732
2022-06,1225.9074723752653
2022-07,1319.711305276396
2022-08,1275.4545105316247
2022-09,1185.68089860801
2022-10,1239.6038021754232
2022-11,1325.3323300364648
2022-12,1279.485190072206
2023-01,1360.9274794864439
2023-02,1364.5409640878531
2023-03,1364.5200805249851
2023-04,1381.4273890950305
2023-05,1372.210556740213
2023-06,1403.9948918934888
2023-07,1435.4565288067756
