Date,ACWI ex MALAYSIA
2015-12,2339.850017551023
2016-01,2207.2908026486057
2016-02,2184.3529573738983
2016-03,2238.172358364779
2016-04,2261.3497528499524
2016-05,2332.0658284990695
2016-06,2323.647146703243
2016-07,2409.032558739661
2016-08,2427.9399766379734
2016-09,2422.2809316026523
2016-10,2441.6042049545085
2016-11,2544.2079060683277
2016-12,2615.21237722083
2017-01,2622.730214845184
2017-02,2743.4957261491313
2017-03,2760.6920098588253
2017-04,2754.855313562373
2017-05,2729.094866249584
2017-06,2704.0949757227604
2017-07,2690.155917135863
2017-08,2679.2318236109386
2017-09,2747.580598807991
2017-10,2846.9784880549673
2017-11,2836.6883654519424
2017-12,2862.7394871116526
2018-01,2915.532984178922
2018-02,2853.7766478570607
2018-03,2770.871041977221
2018-04,2849.2137532403567
2018-05,2956.013886664949
2018-06,2940.740044617136
2018-07,3023.7700889951275
2018-08,3066.054373828311
2018-09,3086.1333871926745
2018-10,2927.1485593052007
2018-11,2973.6464090191985
2018-12,2738.361205864521
2019-01,2944.8675566648612
2019-02,3048.2863463125645
2019-03,3132.460690735694
2019-04,3246.462851498402
2019-05,3073.5897471442754
2019-06,3206.232857468378
2019-07,3290.3171887097415
2019-08,3249.338572149945
2019-09,3353.061158462542
2019-10,3367.2189264306394
2019-11,3492.054622272333
2019-12,3552.331987634355
2020-01,3559.5569617763035
2020-02,3302.3540528388535
2020-03,2861.413633537613
2020-04,3175.377129769682
2020-05,3264.5521942042287
2020-06,3337.9127968617217
2020-07,3339.1223220625748
2020-08,3505.607182109644
2020-09,3461.1915926187507
2020-10,3400.4517748275193
2020-11,3721.078141169372
2020-12,3808.1887802097594
2021-01,3819.0701819844244
2021-02,3912.3731227128005
2021-03,4150.956198565578
2021-04,4231.619269763683
2021-05,4233.716826907316
2021-06,4424.262628751275
2021-07,4456.730211464967
2021-08,4589.978508625877
2021-09,4483.973253389693
2021-10,4721.111164746355
2021-11,4738.629553398058
2021-12,4879.396430400625
2022-01,4707.634396141129
2022-02,4577.878878747713
2022-03,4724.259519379576
2022-04,4585.2617768254395
2022-05,4524.18163241097
2022-06,4246.945135315054
2022-07,4660.367014964134
2022-08,4553.256864433865
2022-09,4228.213149637315
2022-10,4445.201605220204
2022-11,4599.741961666387
2022-12,4264.406265599372
2023-01,4492.32993639565
2023-02,4470.669798124437
2023-03,4501.615631472333
2023-04,4496.027891414428
2023-05,4609.630628170025
2023-06,4768.476619090635
2023-07,4892.260896637917
