Date,EM LATIN AMERICA ex BRAZIL
1998-12,1000.0
1999-01,998.703466497338
1999-02,1096.4350182563392
1999-03,1280.8624515580689
1999-04,1508.495575434615
1999-05,1486.1464968721762
1999-06,1577.5616300202012
1999-07,1416.9846267609414
1999-08,1397.5337721061078
1999-09,1388.9971592040438
1999-10,1431.9814627552441
1999-11,1644.706098894225
1999-12,1835.4215379562004
2000-01,1799.3806923017476
2000-02,2002.7108155793323
2000-03,2002.5496243971663
2000-04,1906.2064285233566
2000-05,1746.9597564959256
2000-06,1810.8476742411697
2000-07,1823.005807563087
2000-08,1953.140480076105
2000-09,1849.3826895002464
2000-10,1913.6856782984519
2000-11,1715.830642862212
2000-12,1577.8112942380108
2001-01,1838.3373281237336
2001-02,1711.1361638707333
2001-03,1728.5974767636774
2001-04,1847.6751231337312
2001-05,2082.780303082954
2001-06,2068.7503564226804
2001-07,1904.7951374268123
2001-08,1819.320382432496
2001-09,1532.3630788661808
2001-10,1598.6423528381458
2001-11,1671.9162320461064
2001-12,1838.733231248617
2002-01,1974.4881909013343
2002-02,1912.2827888394916
2002-03,2041.3079002284423
2002-04,1943.2332823669362
2002-05,1728.3339752189383
2002-06,1477.0897976087535
2002-07,1398.1399638776447
2002-08,1424.7467126945098
2002-09,1266.3275922787145
2002-10,1347.139162431043
2002-11,1408.2296891592357
2002-12,1309.4244720540703
2003-01,1231.2049442152613
2003-02,1213.6886844790233
2003-03,1215.6012770137013
2003-04,1365.5196493790593
2003-05,1343.4290657872282
2003-06,1432.818100099909
2003-07,1526.4788821295842
2003-08,1563.1303950218476
2003-09,1539.0107337348636
2003-10,1622.048319989798
2003-11,1601.1052615601564
2003-12,1602.9499765164248
2004-01,1712.823328143364
2004-02,1808.887863980706
2004-03,1877.9077924445044
2004-04,1792.4007565069362
2004-05,1762.1281569952735
2004-06,1806.212960625415
2004-07,1820.31668491156
2004-08,1855.7200624709292
2004-09,1933.729892257474
2004-10,1972.7513274442854
2004-11,2016.2941115889414
2004-12,2101.896087579808
2005-01,2166.961972099625
2005-02,2314.809220140538
2005-03,2192.313551871281
2005-04,2167.3319575680803
2005-05,2421.233403968588
2005-06,2609.4662857523804
2005-07,2844.2386885801375
2005-08,2817.6846718358543
2005-09,3221.1813720186105
2005-10,3098.5900314069845
2005-11,3375.785466902038
2005-12,3485.4648226172403
2006-01,3694.839426163937
2006-02,3749.204536687554
2006-03,3717.674105591066
2006-04,3786.8287415700224
2006-05,3301.2165561447755
2006-06,3381.0265620384776
2006-07,3566.2360559098793
2006-08,3655.197137288919
2006-09,3836.148498594852
2006-10,4076.661403354451
2006-11,4139.9364660198835
2006-12,4397.772558127924
2007-01,4575.692879734647
2007-02,4385.021748659639
2007-03,4614.750365186215
2007-04,4700.257352782969
2007-05,5210.74245702795
2007-06,5238.53273462971
2007-07,5067.901717533466
2007-08,4981.974119943368
2007-09,4900.3248938674515
2007-10,5122.910127076679
2007-11,4691.905090269548
2007-12,4639.182774334342
2008-01,4475.0874762281965
2008-02,4495.162459957331
2008-03,4518.60810976331
2008-04,4611.1639768366485
2008-05,4855.733890652967
2008-06,4450.640197756136
2008-07,4288.217509964166
2008-08,4322.919139387228
2008-09,3962.2994767698647
2008-10,3037.9273244976903
2008-11,2985.9467664364497
2008-12,2874.5005300204716
2009-01,2868.1547443171476
2009-02,2618.9975079825026
2009-03,2790.902268443509
2009-04,3134.7233650238013
2009-05,3455.9500338602265
2009-06,3542.16557393322
2009-07,3835.758097952837
2009-08,3904.8827333617646
2009-09,4042.912678975117
2009-10,3972.7985365293025
2009-11,4251.927364528775
2009-12,4587.99314637275
2010-01,4554.395094888628
2010-02,4796.103522378435
2010-03,5153.695593492361
2010-04,5294.137083017082
2010-05,5486.691770192649
2010-06,5439.504137932057
2010-07,5530.969492241522
2010-08,5672.906681024809
2010-09,5825.4931883424315
2010-10,6129.708921538993
2010-11,6509.176115756661
2010-12,6616.082235013567
2011-01,6152.261265160861
2011-02,6097.63176329563
2011-03,6092.784979171988
