Date,ACWI ex NORWAY
2015-12,2337.4488774167417
2016-01,2205.6248759008217
2016-02,2182.5016251610223
2016-03,2236.720826937843
2016-04,2259.2847959946034
2016-05,2329.455489201501
2016-06,2321.447728238214
2016-07,2406.6161918547705
2016-08,2425.54335218292
2016-09,2419.445341026333
2016-10,2438.8046837086868
2016-11,2540.624670970788
2016-12,2611.345819884737
2017-01,2618.6636538380303
2017-02,2739.4874469920546
2017-03,2757.005253036573
2017-04,2751.418361146128
2017-05,2725.4636446809036
2017-06,2700.515025485786
2017-07,2685.9195920443394
2017-08,2674.9439343356503
2017-09,2742.95925206633
2017-10,2842.0894145309235
2017-11,2832.038573652884
2017-12,2858.310760576038
2018-01,2911.1679094869337
2018-02,2849.584405293107
2018-03,2767.122018243058
2018-04,2845.086605477218
2018-05,2951.0852546682186
2018-06,2935.516975672687
2018-07,3018.6845195918086
2018-08,3061.00565904482
2018-09,3080.43359840778
2018-10,2921.8602658207233
2018-11,2968.5413734965455
2018-12,2734.2780380164977
2019-01,2940.0508823060654
2019-02,3043.246791398604
2019-03,3127.147516062406
2019-04,3240.6871438077096
2019-05,3068.4023039286258
2019-06,3200.628318556957
2019-07,3284.5956006101164
2019-08,3243.65018616286
2019-09,3346.8859097618856
2019-10,3361.099337058205
2019-11,3485.615221306246
2019-12,3545.616849217964
2020-01,3552.957766070883
2020-02,3296.553947162917
2020-03,2856.9674549166684
2020-04,3170.1038604590512
2020-05,3259.107987533157
2020-06,3332.5365755430803
2020-07,3333.7544792865465
2020-08,3499.1885622576397
2020-09,3455.2427608707353
2020-10,3394.918936037446
2020-11,3714.2389152223386
2020-12,3801.093480187311
2021-01,3811.6391996914763
2021-02,3904.475385667599
2021-03,4141.977498573965
2021-04,4222.4396273926595
2021-05,4224.143203414397
2021-06,4414.12019269283
2021-07,4446.363096069483
2021-08,4579.666385858249
2021-09,4473.324976963142
2021-10,4709.829270137704
2021-11,4727.616145220942
2021-12,4867.960960494651
2022-01,4696.313372288192
2022-02,4566.922382661393
2022-03,4712.4946065397535
2022-04,4574.157512688687
2022-05,4512.676844903555
2022-06,4236.467700334915
2022-07,4648.615243888584
2022-08,4541.866316195279
2022-09,4218.535953191691
2022-10,4434.376715197666
2022-11,4588.702539829125
2022-12,4254.388228891039
2023-01,4482.230729365786
2023-02,4460.052328923124
2023-03,4491.400096189664
2023-04,4485.618410321996
2023-05,4599.137952893702
2023-06,4757.049362696106
2023-07,4880.568703626215
