Date,HONG KONG-LISTED SOUTHBOUND + CHINA A
2004-11,1000.0
2004-12,973.3162434196682
2005-01,978.6995324935966
2005-02,1008.1307396106308
2005-03,968.1501381229292
2005-04,989.6502579930749
2005-05,1026.3980369107478
2005-06,1073.8219780839654
2005-07,1114.1970088634605
2005-08,1103.3129938568736
2005-09,1154.9082473092121
2005-10,1091.8043921984624
2005-11,1148.3815736358347
2005-12,1169.0605339262397
2006-01,1220.4812498797003
2006-02,1273.103070703654
2006-03,1267.6467506127706
2006-04,1279.7532236554316
2006-05,1262.0276470503727
2006-06,1283.8948910428392
2006-07,1298.3293572844802
2006-08,1327.9142819057595
2006-09,1372.6053959079252
2006-10,1419.6675488421033
2006-11,1468.059600600052
2006-12,1612.6553740289744
2007-01,1675.2628324024643
2007-02,1644.264522101798
2007-03,1701.8516678588292
2007-04,1839.0736599555266
2007-05,1985.6637880216495
2007-06,2015.2720653043264
2007-07,2208.6611933742997
2007-08,2395.9643843801477
2007-09,2550.971141606971
2007-10,2728.9198699439457
2007-11,2355.052809572509
2007-12,2445.1660932775476
2008-01,2067.6992900117957
2008-02,2105.5300577602743
2008-03,1793.059702676843
2008-04,1983.722908204461
2008-05,1894.9139600939764
2008-06,1600.309469637924
2008-07,1652.1062161553714
2008-08,1587.5684435721394
2008-09,1455.39579737694
2008-10,1232.9273901517201
2008-11,1278.1396288737847
2008-12,1193.21835575695
2009-01,1278.6798216246896
2009-02,1286.5091290523183
2009-03,1360.405284941328
2009-04,1513.0930057135643
2009-05,1606.3564151352807
2009-06,1720.57037553705
2009-07,1951.2551569518243
2009-08,1691.3455108409908
2009-09,1765.2465188131937
2009-10,1848.6815035997436
2009-11,1893.874219686363
2009-12,1998.1423011575464
2010-01,1887.2514013562702
2010-02,1974.6094616932285
2010-03,2041.3835455665057
2010-04,2002.3788144355788
2010-05,2002.6167342711142
2010-06,1962.790049530293
2010-07,2003.5924848388406
2010-08,2052.3866782208706
2010-09,2040.7731877133838
2010-10,2156.973214774528
2010-11,2238.266520115668
2010-12,2171.217767630397
2011-01,2107.7003778254684
2011-02,2144.7422186267304
2011-03,2102.548874975568
2011-04,2029.944322363672
2011-05,2039.3922093454069
2011-06,2000.4464483264665
2011-07,2008.7571315775585
2011-08,1875.5144994219734
2011-09,1747.1675540595595
2011-10,1845.3944766770755
2011-11,1758.5353899293852
2011-12,1789.4559278099712
2012-01,1908.909462606983
2012-02,2008.8982269724074
2012-03,1895.699676344832
2012-04,1990.4967664685287
2012-05,2004.062374386872
2012-06,1950.2757397525502
2012-07,1973.693684868596
2012-08,1879.156524012597
2012-09,1957.651162555805
2012-10,1989.6357544747952
2012-11,1965.9587366081516
2012-12,2107.2322359439327
2013-01,2165.3253181642012
2013-02,2210.404375518292
2013-03,2146.7932426399007
2013-04,2104.9787402403954
2013-05,2204.1888122294004
2013-06,1985.4838859878757
2013-07,2011.2745019142935
2013-08,2073.9974114563856
2013-09,2117.7152953164464
2013-10,2123.7060301351935
2013-11,2192.22219187173
2013-12,2105.135874078648
2014-01,2035.010319284213
2014-02,2008.0340042277783
2014-03,1964.724372869359
2014-04,1941.9404525161794
2014-05,2036.0724689357078
2014-06,2064.182015039163
2014-07,2289.187349491067
2014-08,2330.293804609296
2014-09,2385.705110520155
2014-10,2494.6576821639615
2014-11,2621.5408641132844
2014-12,2925.3434588122273
2015-01,3147.5552177449777
2015-02,3253.260283126102
2015-03,3693.86401593579
2015-04,4100.653618683368
2015-05,4247.15664987566
2015-06,3901.060770654246
2015-07,3491.8907769247044
2015-08,2985.38303462093
2015-09,2879.697249237397
2015-10,3215.5334434355195
2015-11,3320.937990766875
2015-12,3277.4175161336043
2016-01,2649.7553332548787
2016-02,2582.9783574363464
