Date,ACWI ex SPAIN
2015-12,2341.715614709857
2016-01,2210.141159466424
2016-02,2187.7823592581726
2016-03,2241.9479997805147
2016-04,2263.953329810753
2016-05,2334.8271968385257
2016-06,2329.071344830755
2016-07,2413.793947440647
2016-08,2432.6531411967258
2016-09,2426.5341256060447
2016-10,2444.7445218551807
2016-11,2549.284929761496
2016-12,2618.805713497505
2017-01,2626.3489857492546
2017-02,2747.845851291421
2017-03,2762.488894166231
2017-04,2755.9010267889307
2017-05,2729.3449926747235
2017-06,2704.859901273191
2017-07,2690.159871325495
2017-08,2679.796481927774
2017-09,2748.413320638625
2017-10,2848.296264594437
2017-11,2838.8050114803377
2017-12,2866.043878593385
2018-01,2918.080857149794
2018-02,2857.765919310959
2018-03,2775.042499205808
2018-04,2852.7597474173726
2018-05,2961.904281570205
2018-06,2945.5174410064546
2018-07,3028.5789240638533
2018-08,3072.9454182628374
2018-09,3093.0369754285994
2018-10,2933.5787990914396
2018-11,2979.8753629073617
2018-12,2743.866467976604
2019-01,2950.6089344087272
2019-02,3054.341298747448
2019-03,3139.185279960367
2019-04,3252.7912804817656
2019-05,3080.0581803843456
2019-06,3213.1526933046584
2019-07,3298.5453927800386
2019-08,3257.675165883733
2019-09,3360.9080129845242
2019-10,3375.0885391483425
2019-11,3500.719208992172
2019-12,3560.9879472284815
2020-01,3568.4980663029924
2020-02,3310.56734383391
2020-03,2871.1363679285682
2020-04,3187.7978710349375
2020-05,3277.374532633133
2020-06,3350.752317735683
2020-07,3353.254791574165
2020-08,3520.684550808819
2020-09,3476.719620173435
2020-10,3416.111089456325
2020-11,3734.476655956313
2020-12,3822.322937699772
2021-01,3833.9992045357385
2021-02,3926.8083230649627
2021-03,4166.490834307058
2021-04,4247.09773714444
2021-05,4247.843065336319
2021-06,4440.637819501051
2021-07,4473.584922473472
2021-08,4607.9936406269035
2021-09,4501.304702731698
2021-10,4739.492565989642
2021-11,4759.343710513563
2021-12,4900.141751877836
2022-01,4726.827009485211
2022-02,4596.871556063865
2022-03,4744.590824133271
2022-04,4603.878598954341
2022-05,4541.102320639696
2022-06,4263.388432155668
2022-07,4680.3422229800235
2022-08,4573.251374172872
2022-09,4246.5883294229325
2022-10,4463.425034607665
2022-11,4618.241514712236
2022-12,4280.319379104682
2023-01,4507.715910036972
2023-02,4484.006382377515
2023-03,4515.448885371993
2023-04,4509.175760717196
2023-05,4624.258711357809
2023-06,4782.203411929002
2023-07,4907.210465661219
