Date,EMERGING MARKETS WITH PARTIAL A SHARES
2008-11,1077.760785828023
2008-12,1060.429543520859
2009-01,1077.0459531851125
2009-02,1026.1347901546228
2009-03,1122.6313026525174
2009-04,1311.4394945885992
2009-05,1437.413810800229
2009-06,1432.7524857614183
2009-07,1578.389319449029
2009-08,1551.6809330366175
2009-09,1661.8448487694852
2009-10,1649.2939404688673
2009-11,1690.8576274230982
2009-12,1839.2791008860063
2010-01,1792.6352270311843
2010-02,1833.2995140349879
2010-03,1998.2168066736638
2010-04,2058.0893854215483
2010-05,2034.434667456611
2010-06,2023.2904314657478
2010-07,2062.6245156393998
2010-08,2073.987067183105
2010-09,2144.8964992315045
2010-10,2169.29492127699
2010-11,2255.5037676422567
2010-12,2344.092334317384
2011-01,2232.0824230058333
2011-02,2195.492053043218
2011-03,2262.051123788828
2011-04,2231.313626215036
2011-05,2243.6625326657627
2011-06,2191.8513754993323
2011-07,2203.1694201581677
2011-08,2003.6754918396493
2011-09,1837.6678446746
2011-10,2001.1741082671604
2011-11,1935.6398695082598
2011-12,1983.1456189327755
2012-01,2189.09598063391
2012-02,2270.7716068068466
2012-03,2204.863190706062
2012-04,2193.231101803743
2012-05,2086.638547336533
2012-06,2111.6326621938783
2012-07,2219.2362466044674
2012-08,2161.36101046583
2012-09,2245.7913165984596
2012-10,2216.5439827283335
2012-11,2236.004261777903
2012-12,2315.9844212442845
2013-01,2281.842402372811
2013-02,2339.7952471386398
2013-03,2340.8184547421556
2013-04,2297.973129811824
2013-05,2281.0376305189166
2013-06,2128.9299428322174
2013-07,2107.0993261048566
2013-08,2087.897862292354
2013-09,2166.0424525808676
2013-10,2261.0095604378557
2013-11,2226.416598493919
2013-12,2168.465879169417
2014-01,2073.234603604394
2014-02,2090.5407990337194
2014-03,2157.949222628796
2014-04,2152.265460977013
2014-05,2263.434774770952
2014-06,2317.1076375581015
2014-07,2420.8598774526463
2014-08,2515.2665228410874
2014-09,2431.058462463943
2014-10,2480.8150989522364
2014-11,2469.434898119942
2014-12,2434.19403973481
2015-01,2624.917969354477
2015-02,2722.539369033903
2015-03,2811.3165721655323
2015-04,2913.058565724429
2015-05,2863.5900993329424
2015-06,2741.5859804600045
2015-07,2570.1909808012733
2015-08,2302.7998026916116
2015-09,2243.2424560626823
2015-10,2430.6877746028754
2015-11,2444.6697433421764
2015-12,2325.8517529519813
2016-01,2170.847484913366
2016-02,2158.3718051482633
2016-03,2329.855775681159
2016-04,2330.450926041206
2016-05,2312.850363450345
2016-06,2410.6352639494157
2016-07,2515.6471958396564
2016-08,2592.1341146986474
2016-09,2601.8218832902994
2016-10,2673.35221030238
2018-03,3187.221466997973
2018-04,3230.1719803339715
2018-05,3230.1850405240702
