Date,ACWI ex FINLAND
2015-12,2338.587513953191
2016-01,2206.57420296176
2016-02,2184.001600344759
2016-03,2238.3227885281904
2016-04,2261.3037836933113
2016-05,2331.4318290247447
2016-06,2323.361029241593
2016-07,2408.3002144128827
2016-08,2427.483747504163
2016-09,2421.336602653132
2016-10,2441.17610028296
2016-11,2543.347269626309
2016-12,2613.948160852143
2017-01,2621.7599306567577
2017-02,2742.360617876395
2017-03,2759.3901253850754
2017-04,2753.2778814753083
2017-05,2727.0029037307863
2017-06,2702.070946319976
2017-07,2688.0042242796885
2017-08,2677.1779939215558
2017-09,2745.456948795883
2017-10,2845.0234194083864
2017-11,2834.886395693529
2017-12,2861.4399957225787
2018-01,2914.2717885097995
2018-02,2852.1321155306105
2018-03,2769.5324740969972
2018-04,2847.313610383848
2018-05,2953.479378090701
2018-06,2938.0845782429683
2018-07,3021.3546242541956
2018-08,3063.4258724134334
2018-09,3083.415989308195
2018-10,2924.871666760883
2018-11,2971.744584029375
2018-12,2736.725022819935
2019-01,2942.560696293064
2019-02,3045.9542220646435
2019-03,3129.9736997009963
2019-04,3243.8486943939615
2019-05,3071.4024765287304
2019-06,3203.7468551559546
2019-07,3287.6776315587163
2019-08,3246.7167640763396
2019-09,3350.097508073056
2019-10,3364.3904520822502
2019-11,3489.185241207987
2019-12,3549.304937077724
2020-01,3556.075273390834
2020-02,3299.2002124887813
2020-03,2858.910566402948
2020-04,3172.3260937638893
2020-05,3261.0272928723616
2020-06,3334.438736635878
2020-07,3335.687557682178
2020-08,3501.0801673053415
2020-09,3456.8860848029194
2020-10,3396.7972939641722
2020-11,3716.375712257051
2020-12,3803.553867788617
2021-01,3813.875746518266
2021-02,3907.285352124692
2021-03,4145.6844204077815
2021-04,4225.906219772133
2021-05,4227.47422234455
2021-06,4417.511283584709
2021-07,4448.976704018585
2021-08,4582.665413378276
2021-09,4477.4776395783465
2021-10,4714.556569950691
2021-11,4732.197628632173
2021-12,4872.42087086263
2022-01,4701.183215479956
2022-02,4572.703249066371
2022-03,4718.833573467122
2022-04,4579.984808681367
2022-05,4518.650685409486
2022-06,4241.680927925901
2022-07,4654.617298644109
2022-08,4547.78749603488
2022-09,4222.988702822418
2022-10,4439.673511024088
2022-11,4593.746410981379
2022-12,4258.79721787573
2023-01,4486.691782206081
2023-02,4464.634969079631
2023-03,4495.689623928188
2023-04,4490.023682932083
2023-05,4604.026256639047
2023-06,4762.6794629476335
2023-07,4887.083542141695
