Date,EAFE
1998-12,100.0
1999-01,103.11701272585691
1999-02,104.15941977250937
1999-03,110.35710810132012
1999-04,117.20439883617041
1999-05,112.8042392096636
1999-06,118.54680444778039
1999-07,117.64844431123826
1999-08,119.66980325731983
1999-09,119.9133258937702
1999-10,126.0766018927769
1999-11,136.20439532656766
1999-12,149.1295599178315
2000-01,143.10655158417484
2000-02,149.36769201757895
2000-03,156.13534617265321
2000-04,155.35869646267196
2000-05,148.95485991811208
2000-06,149.78401243141133
2000-07,148.4828098910447
2000-08,156.12906671121266
2000-09,149.66886644796594
2000-10,152.1735258639327
2000-11,142.64560906608563
2000-12,136.99267680537997
2001-01,138.23855076493484
2001-02,129.32449290725924
2001-03,125.62511100510532
2001-04,134.0493650464121
2001-05,135.37213186912172
2001-06,130.04760511066104
2001-07,123.54701535698685
2001-08,116.01427945175634
2001-09,104.02061293268476
2001-10,107.86491566888134
2001-11,112.51642478545595
2001-12,113.81641971019103
2002-01,111.47063638146166
2002-02,111.72581974513682
2002-03,116.82596341379052
2002-04,113.92414916848365
2002-05,111.37243325739288
2002-06,101.20151860789491
2002-07,91.88852001603124
2002-08,91.67363142347185
2002-09,81.2258998109935
2002-10,85.4205418046792
2002-11,88.90880674398132
2002-12,81.45110076717195
2003-01,76.30455483135263
2003-02,74.26279119902902
2003-03,71.96462094775862
2003-04,77.34270330473524
2003-05,77.90207969084948
2003-06,81.76272339830723
2003-07,85.45075570702643
2003-08,89.73354285184115
2003-09,87.22256538529675
2003-10,92.82801869807842
2003-11,92.03897807425628
2003-12,94.30481771586878
2004-01,97.1120088151385
2004-02,99.35432787946675
2004-03,101.05847055029606
2004-04,101.3445485924941
2004-05,99.91638298682523
2004-06,102.52399151256098
2004-07,100.25741473827358
2004-08,99.78221378699911
2004-09,100.20330505532178
2004-10,101.17827228778899
2004-11,103.48116379231791
2004-12,105.62558491437893
2005-01,108.1263405042817
2005-02,110.80008738704375
2005-03,110.36254207250815
2005-04,108.61936192098233
2005-05,113.73692754125547
2005-06,117.58671413697809
2005-07,120.79974981486838
2005-08,122.3559020558359
2005-09,130.39596924638255
2005-10,127.43168901017694
2005-11,132.66505388167536
2005-12,138.77630712452668
2006-01,143.09122529442425
2006-02,145.43912634891444
2006-03,148.08063540483846
2006-04,149.16111646332698
2006-05,140.77633940422112
2006-06,141.46677267519473
2006-07,143.16325937479613
2006-08,146.6904117346284
2006-09,148.4884839752644
2006-10,153.11664370055104
2006-11,151.8804311570461
2006-12,157.47739281494103
2007-01,160.89780880999822
2007-02,159.57920541873105
2007-03,162.46792012842744
2007-04,165.65450073354617
2007-05,171.17260559848992
2007-06,170.81468696050575
2007-07,166.0670973551665
2007-08,164.1833188840137
2007-09,165.83351695128448
2007-10,169.43694365961733
2007-11,161.55294638809724
2007-12,158.5525641374266
2008-01,142.1181324549972
2008-02,140.63631010501592
2008-03,133.3856344545918
2008-04,143.29740043612463
2008-05,145.231041071511
2008-06,131.5623714195391
2008-07,128.5994965353746
2008-08,130.79915941655926
2008-09,117.31902629458173
2008-10,103.74019608298771
2008-11,98.11579586338242
2008-12,94.95913234173962
2009-01,92.91081813187917
2009-02,84.16061969242779
2009-03,85.64858713067152
2009-04,96.93986970311857
2009-05,101.65401911568902
2009-06,102.02823160854274
