Date,ACWI ex ANDEAN
2015-12,2073.5256984970697
2016-01,1956.3645177885462
2016-02,1935.7811219641185
2016-03,1983.5875810887605
2016-04,2003.6661389289634
2016-05,2066.1423876169893
2016-06,2058.619370734509
2016-07,2134.0697036314664
2016-08,2151.020065246749
2016-09,2145.819390372006
2016-10,2162.763604686134
2016-11,2253.2681469423774
2016-12,2316.0814440350146
2017-01,2322.636106018831
2017-02,2429.6276801149593
2017-03,2444.763499747997
2017-04,2439.8987463103404
2017-05,2417.004988071077
2017-06,2394.871161777881
2017-07,2382.1478851235215
2017-08,2372.2466728025693
2017-09,2432.7173943359708
2017-10,2520.587966579757
2017-11,2511.9631030398987
2017-12,2534.8125597167277
2018-01,2581.5323637218135
2018-02,2527.0652737764817
2018-03,2453.8317003862926
2018-04,2522.893353569371
2018-05,2617.2491554291464
2018-06,2603.705614711954
2018-07,2677.369933132511
2018-08,2715.300567397726
2018-09,2732.7898053658414
2018-10,2592.1334036554335
2018-11,2633.179589657646
2018-12,2425.173092423417
2019-01,2607.403618732952
2019-02,2699.0757797854358
2019-03,2773.4640404100483
2019-04,2874.3995368131223
2019-05,2721.847517126472
2019-06,2838.861406315222
2019-07,2913.438403100067
2019-08,2877.8142216707724
2019-09,2969.4264417866734
2019-10,2982.141722440766
2019-11,3092.9234046917986
2019-12,3146.002656140704
2020-01,3152.5537283796257
2020-02,2925.0432711589488
2020-03,2535.336186537383
2020-04,2813.1340907079334
2020-05,2892.3834070686084
2020-06,2957.3044895859657
2020-07,2958.433360365745
2020-08,3105.6946886405253
2020-09,3066.5453692579813
2020-10,3012.7069654681327
2020-11,3296.3017043457116
2020-12,3373.0726379162084
2021-01,3382.700099862358
2021-02,3464.98357746
2021-03,3676.0820687241476
2021-04,3747.9850408935063
2021-05,3749.6864142825907
2021-06,3918.297100030978
2021-07,3946.9867116949986
2021-08,4065.077718563891
2021-09,3971.269237449778
2021-10,4181.270292578791
2021-11,4196.676986873295
2021-12,4321.611514405328
2022-01,4168.976996866704
2022-02,4054.282774898016
2022-03,4183.374070983657
2022-04,4060.919554886593
2022-05,4006.120920034912
2022-06,3761.222674151171
2022-07,4127.034824767416
2022-08,4032.301588560376
2022-09,3744.39752656555
2022-10,3936.347728199264
2022-11,4073.277346030551
2022-12,3776.6448338523987
2023-01,3978.1457789981278
2023-02,3958.7716878156302
2023-03,3986.1264667945698
2023-04,3981.0850332900877
2023-05,4081.4782205982387
2023-06,4221.515089717882
2023-07,4331.266960500247
