Date,ACWI ex SINGAPORE
2015-12,2338.2411338187085
2016-01,2206.708231219961
2016-02,2183.3027211365156
2016-03,2237.0847864609923
2016-04,2260.0260600120905
2016-05,2330.572562855744
2016-06,2321.9996306382445
2016-07,2407.378906805344
2016-08,2426.654703807593
2016-09,2420.637532014586
2016-10,2440.3062691545715
2016-11,2541.9978864529844
2016-12,2613.2457983078507
2017-01,2620.2036601313353
2017-02,2740.822232328919
2017-03,2758.029787363243
2017-04,2752.5170855754063
2017-05,2726.5510926914308
2017-06,2701.4447628041203
2017-07,2687.053261759912
2017-08,2676.3232921403533
2017-09,2744.8852474433374
2017-10,2843.6697246060317
2017-11,2833.1465810740647
2017-12,2859.60257764493
2018-01,2912.405401127183
2018-02,2850.6720688742384
2018-03,2768.131472393832
2018-04,2845.579155223098
2018-05,2952.3330178014908
2018-06,2937.7857942771434
2018-07,3021.024700515264
2018-08,3063.563978886195
2018-09,3083.24853825314
2018-10,2924.644488727375
2018-11,2970.735225118394
2018-12,2735.6390505715044
2019-01,2941.6696781971928
2019-02,3045.2672455668685
2019-03,3129.0982278084766
2019-04,3242.2541204680588
2019-05,3070.411360095968
2019-06,3202.1947142758286
2019-07,3286.1382484834044
2019-08,3245.579802472443
2019-09,3349.081464296978
2019-10,3362.768441052954
2019-11,3487.5804522045964
2019-12,3547.857910226226
2020-01,3555.1701117256725
2020-02,3298.2911067403156
2020-03,2858.9293049201865
2020-04,3172.5129947496143
2020-05,3262.440905582978
2020-06,3335.6017338354113
2020-07,3337.5152247194856
2020-08,3503.605288045195
2020-09,3459.3175290384347
2020-10,3398.703406110167
2020-11,3718.201708869227
2020-12,3805.4119698981362
2021-01,3815.851019926028
2021-02,3908.8815258277045
2021-03,4146.627650492142
2021-04,4227.279849999606
2021-05,4229.316765154393
2021-06,4419.765116431053
2021-07,4451.791729456897
2021-08,4585.743811074152
2021-09,4479.335755118181
2021-10,4716.163606401725
2021-11,4734.225710369016
2021-12,4875.417810206464
2022-01,4703.332857628128
2022-02,4574.089763887033
2022-03,4720.481513597563
2022-04,4581.937357731684
2022-05,4521.186901214802
2022-06,4243.996061790412
2022-07,4656.9526730972775
2022-08,4549.930798377236
2022-09,4224.3985249083125
2022-10,4441.932777140502
2022-11,4595.873476885705
2022-12,4260.742070425632
2023-01,4488.10202396967
2023-02,4466.526509648655
2023-03,4496.987401682469
2023-04,4491.578522505199
2023-05,4605.705673556929
2023-06,4764.554992898113
2023-07,4887.721978645262
