Date,ACWI FM ex JAPAN
2002-05,781.3820688415676
2002-06,693.2566886681071
2002-07,640.0334258029694
2002-08,643.5175834490793
2002-09,566.5494460600861
2002-10,614.4949465567968
2002-11,644.7093883822334
2002-12,581.3179425847762
2003-01,551.7230842900365
2003-02,539.1336803791735
2003-03,533.0698120468146
2003-04,570.661762143563
2003-05,573.4634866222965
2003-06,595.8332707347968
2003-07,619.394430250707
2003-08,645.2572594389349
2003-09,608.7147876629643
2003-10,647.0740787665729
2003-11,639.7095769958231
2003-12,645.1995065042964
2004-01,666.703828266597
2004-02,680.6222753811952
2004-03,675.6870294357052
2004-04,679.0046647588174
2004-05,675.6309184559974
2004-06,689.1288583740785
2004-07,676.4998716656282
2004-08,674.3931179190939
2004-09,676.524881272013
2004-10,676.5722044214193
2004-11,682.3996353015046
2004-12,692.38950135397
2005-01,706.6044911809305
2005-02,719.171684430277
2005-03,719.0025405845886
2005-04,709.295891087624
2005-05,758.4610360948176
2005-06,783.2177138684636
2005-07,811.5815515809495
2005-08,803.5241994499519
2005-09,838.0835953642231
2005-10,821.2011995676443
2005-11,863.5221286288232
2005-12,877.9907850217926
2006-01,894.0226976239776
2006-02,909.8806347776404
2006-03,914.43204196149
2006-04,907.8160666925412
2006-05,859.8177617758946
2006-06,865.6381749043043
2006-07,875.8533482390202
2006-08,897.4595128594988
2006-09,920.458113216609
2006-10,949.2617798760592
2006-11,941.3011443414723
2006-12,967.6612643393058
2007-01,991.6136883246118
2007-02,965.4788850576953
2007-03,980.8778010085865
2007-04,1006.2159874721299
2007-05,1053.6895990204637
2007-06,1047.3283401895085
2007-07,1016.8062853226539
2007-08,1021.3922083691662
2007-09,1035.2261064080512
2007-10,1061.8120163457277
2007-11,1000.0
2007-12,996.0336774353066
2008-01,900.1147563134989
2008-02,880.8533524519274
2008-03,833.2311848434969
2008-04,894.7380617844443
2008-05,911.4896370038608
2008-06,824.7333676514846
2008-07,812.1365113110984
2008-08,843.710989192135
2008-09,772.9724919014641
2008-10,682.2967358014837
2008-11,633.4625181148513
2008-12,596.1096550998599
2009-01,589.9027144264621
2009-02,539.3024972754869
2009-03,562.3486483277711
2009-04,631.8610619508481
2009-05,651.2643822355308
2009-06,652.3228865281021
2009-07,705.3627007765919
2009-08,721.9208273387635
2009-09,746.1191867554732
2009-10,728.5275133565568
2009-11,748.9269086538801
2009-12,800.9966200429608
2010-01,786.6297634154757
2010-02,812.0123669557732
2010-03,873.2797727336551
2010-04,890.942905774869
2010-05,873.5521400597532
2010-06,847.6330043261776
2010-07,865.622760330513
2010-08,855.8137375497325
2010-09,876.9950862590523
2010-10,893.9935826825919
2010-11,930.05550115131
2010-12,968.466134476343
2011-01,963.9876754208101
2011-02,983.2325811493777
2011-03,964.7283548654343
2011-04,964.0708262075832
2011-05,974.0406399749024
2011-06,948.6217307139171
2011-07,937.6299974118637
2011-08,868.6478658602472
2011-09,838.1988159705605
2011-10,901.1319952060666
2011-11,907.3980093653456
2011-12,938.5315838153518
2012-01,985.9431633975921
2012-02,1013.7818182285902
2012-03,1025.0665121360587
2012-04,1022.126594868532
2012-05,997.2021224995888
2012-06,1019.7070842132906
2012-07,1068.8218050609496
2012-08,1069.9875911974286
2012-09,1082.5032867639923
2012-10,1068.8645378547224
2012-11,1078.2153745846495
2012-12,1085.7961869575417
2013-01,1104.4113294215429
2013-02,1144.6309708502067
2013-03,1184.2246647865763
2013-04,1181.5063389826366
2013-05,1205.7894731356832
2013-06,1162.7211545849693
2013-07,1197.3690379059997
2013-08,1181.2593056275023
2013-09,1207.3021737101797
2013-10,1254.901695515605
2013-11,1271.2668963205551
2013-12,1279.2732207110143
2014-01,1255.3045383609442
2014-02,1290.9975099435126
2014-03,1302.001786719117
2014-04,1311.098640548092
2014-05,1360.1207857322283
2014-06,1378.1360986084558
2014-07,1391.696116487331
2014-08,1450.400468416351
2014-09,1461.015620700474
2014-10,1485.9165176109193
2014-11,1520.326406153629
2014-12,1536.078532945232
2015-01,1616.738517615072
2015-02,1717.10985027946
2015-03,1761.9894385208013
2015-04,1737.8222967210195
2015-05,1773.0280597202445
2015-06,1703.522619012927
2015-07,1733.9378070690436
2015-08,1591.7851677752706
2015-09,1545.0397450707474
2015-10,1681.1226400975424
2015-11,1744.7461118606495
2015-12,1663.4414554382104
2016-01,1572.871765481202
2016-02,1559.453643417646
2016-03,1601.1756603790755
2016-04,1613.5423033533123
2016-05,1665.3538663324182
2016-06,1662.0876092946914
2016-07,1719.8413753512202
2016-08,1733.3605696799098
2016-09,1727.6408714377715
2016-10,1737.026624541996
2016-11,1814.5035346502743
2016-12,1866.9814868616318
2017-01,1871.0819294018784
2017-02,1959.8116294168128
2017-03,1974.7412801063883
2017-04,1971.5481793487602
2017-05,1952.0530927366242
2017-06,1933.214442384887
2017-07,1924.3350885260556
2017-08,1917.497203551361
2017-09,1966.161564947835
2017-10,2032.9618086695768
2017-11,2023.8452368065286
2017-12,2044.3767360319769
2018-01,2084.0163172436382
2018-02,2035.4251587781034
2018-03,1976.5340700042486
2018-04,2032.6354481271294
2018-05,2109.854845565817
2018-06,2102.1692696202626
2018-07,2166.221115573627
2018-08,2197.1818267366975
2018-09,2206.670823963906
2018-10,2095.109702472052
2018-11,2130.1659717042
2018-12,1961.778854767062
2019-01,2112.111004033156
2019-02,2190.8502170458237
2019-03,2252.08808717685
2019-04,2337.1693620671504
2019-05,2210.1139374534887
2019-06,2309.837142349259
2019-07,2370.7237002515394
2019-08,2338.752374729032
2019-09,2409.2634024708677
2019-10,2415.387028122627
2019-11,2508.3737300830257
2019-12,2554.551484918042
2020-01,2560.2074884843896
2020-02,2377.626846173777
2020-03,2048.097816475588
2020-04,2281.3443869237462
2020-05,2342.880128541557
2020-06,2401.2399401453986
2020-07,2413.790788006052
2020-08,2531.300983029288
2020-09,2491.667611517967
2020-10,2446.6788930575885
2020-11,2676.4366225112417
2020-12,2740.110142658121
2021-01,2748.903039853997
2021-02,2817.50762789769
2021-03,2992.141452374921
2021-04,3062.453925995282
2021-05,3063.9981617261733
2021-06,3204.956268538474
2021-07,3232.178650411102
2021-08,3328.022199665253
2021-09,3236.9058290554012
2021-10,3426.0722745722737
2021-11,3438.7176792756436
2021-12,3545.060456453562
2022-01,3420.7985241461406
2022-02,3323.9673626328004
2022-03,3435.1700138569286
2022-04,3336.4405756823717
2022-05,3288.780339461004
2022-06,3086.4217028756807
2022-07,3388.729247360609
2022-08,3309.2267135256047
2022-09,3074.3105345915915
2022-10,3236.7849398735043
2022-11,3346.051142396456
2022-12,3094.932697459846
2023-01,3261.7529827132803
2023-02,3247.741412749101
2023-03,3268.210253697811
2023-04,3266.064763633581
2023-05,3342.8035859364254
2023-06,3460.81427522362
2023-07,3552.4258028941813
