Date,ACWI WITH PARTIAL A SHARES
2008-11,1060.7658027097557
2008-12,1003.8707874841901
2009-01,996.2625480144659
2009-02,907.5034062364862
2009-03,940.097765098671
2009-04,1053.9516946194244
2009-05,1086.1212117222763
2009-06,1090.4546794936455
2009-07,1174.260915013808
2009-08,1201.79744945398
2009-09,1234.4258788350994
2009-10,1204.3559542200512
2009-11,1232.8150938017034
2009-12,1317.139747683202
2010-01,1301.0584724749724
2010-02,1342.5608478039799
2010-03,1441.8330846730971
2010-04,1470.4568276102389
2010-05,1443.7122501321571
2010-06,1402.2145251141933
2010-07,1426.1145609547257
2010-08,1411.3464480071236
2010-09,1440.0108456832822
2010-10,1465.9290327118613
2010-11,1531.0466294889236
2010-12,1594.766059328202
2011-01,1585.3099344438053
2011-02,1620.0400740377981
2011-03,1575.8501464285418
2011-04,1569.8661670175686
2011-05,1586.8237582141066
2011-06,1549.2733839396988
2011-07,1538.200590903772
2011-08,1423.7179607113505
2011-09,1384.1250323119255
2011-10,1474.3767318228176
2011-11,1482.6668657132343
2011-12,1534.8962839439926
2012-01,1610.9983626197975
2012-02,1656.6005790402567
2012-03,1675.8684732621302
2012-04,1668.060858931319
2012-05,1627.1476601434085
2012-06,1664.3415571904536
2012-07,1739.0017419725793
2012-08,1736.7672240650213
2012-09,1756.0026205983352
2012-10,1732.245367907552
2012-11,1748.6992249149641
2012-12,1765.267008582611
2013-01,1794.0499325526303
2013-02,1863.251530535799
2013-03,1932.403520201597
2013-04,1937.1113290013714
2013-05,1967.0136217612114
2013-06,1904.3810058741697
2013-07,1953.9784985549795
2013-08,1927.6945434881416
2013-09,1975.4630984395376
2013-10,2046.4033304604002
2013-11,2073.1969024827213
2013-12,2084.499223615497
2014-01,2045.242208868464
2014-02,2094.2652089790945
2014-03,2108.9997807122313
2014-04,2117.346522581043
2014-05,2199.101303932116
2014-06,2233.978730629837
2014-07,2259.2296824654222
2014-08,2346.519675721766
2014-09,2368.4495581804035
2014-10,2405.4375319802534
2014-11,2459.1358268833837
2014-12,2486.2063348967936
2015-01,2624.90067636653
2015-02,2788.8562905956865
2015-03,2870.0578710488207
2015-04,2833.4832171630273
2015-05,2894.6786029324394
2015-06,2781.928331750309
2015-07,2829.770435514575
2015-08,2599.619235147659
2015-09,2516.207927934858
2015-10,2743.0498514030032
2015-11,2846.5553146595958
2015-12,2718.8230796233156
2016-01,2563.9460737216264
2016-02,2537.2196233166787
2016-03,2600.692766871843
2016-04,2627.045286036354
2016-05,2708.489199533369
2016-06,2699.149695991795
2016-07,2797.8101312048375
2016-08,2820.387784006084
2016-09,2813.4431754502784
2016-10,2836.0814977902437
2018-03,3218.9232965471565
2018-04,3309.5588543248614
2018-05,3432.960366470779
