Date,FM CENTRAL & EASTERN EUROPE + CIS
2002-05,344.116817384211
2002-06,341.7323026661963
2002-07,311.47290131291703
2002-08,328.2683933523966
2002-09,317.05782466932976
2002-10,319.4463209704091
2002-11,343.7731694927841
2002-12,335.0028279034099
2003-01,325.26220904480033
2003-02,313.295770607844
2003-03,309.6548614594772
2003-04,327.5928682886037
2003-05,327.6334660264143
2003-06,327.0706426018267
2003-07,341.71289041923137
2003-08,350.1352452218165
2003-09,356.3958460198388
2003-10,363.74637459649364
2003-11,371.12272563450546
2003-12,379.58925746381703
2004-01,398.99474259486556
2004-02,396.1196720568114
2004-03,415.83580075022303
2004-04,438.933173309899
2004-05,422.0051739732377
2004-06,424.18419587154284
2004-07,434.1333274319747
2004-08,449.5838338205885
2004-09,450.57238102840347
2004-10,466.14823322751647
2004-11,480.40804444072154
2004-12,487.5671231908359
2005-01,504.4017582007835
2005-02,529.6614970965679
2005-03,492.65230191994215
2005-04,479.4137542165147
2005-05,495.77002080360955
2005-06,490.2138285192958
2005-07,504.61698797519784
2005-08,505.1510905808362
2005-09,521.6395414341351
2005-10,524.9548435673637
2005-11,541.089104325295
2005-12,575.2499659327328
2006-01,607.1102233082506
2006-02,666.9205193488543
2006-03,689.239967619743
2006-04,725.8700996409575
2006-05,687.1986238510543
2006-06,659.4544305631221
2006-07,697.0159502263629
2006-08,715.6790224840308
2006-09,762.5717019483992
2006-10,823.5404527454685
2006-11,863.1392215347781
2006-12,979.1743717742972
2007-01,987.0441266433113
2007-02,978.535232729415
2007-03,1014.6617133320742
2007-04,1021.6927859998201
2007-05,1029.9624335057458
2007-06,1091.6813064601085
2007-07,1104.9485307285133
2007-08,1057.771029522338
2007-09,1064.3052683071617
2007-10,1043.449470897296
2007-11,1000.0
2007-12,1059.445136311407
2008-01,937.2934911104442
2008-02,924.9222368569617
2008-03,846.3974684975034
2008-04,853.6042650173955
2008-05,900.9794661873456
2008-06,835.0884647189351
2008-07,800.5619612777747
2008-08,745.5471963721574
2008-09,599.7144349402442
2008-10,483.3226768343554
2008-11,440.7125561300685
2008-12,403.7661138327956
2009-01,382.68340554089303
2009-02,357.8889449755631
2009-03,373.5283243260775
2009-04,417.72346646490524
2009-05,502.6354593073069
2009-06,483.18583627157216
2009-07,512.0783254014839
2009-08,533.425507419791
2009-09,564.7326806394074
2009-10,576.281996716448
2009-11,577.0460596903459
2009-12,590.0400950692191
2010-01,631.4252111146146
2010-02,623.9019476351674
2010-03,669.229222047668
2010-04,659.3113781974633
2010-05,609.9357718030222
2010-06,589.2500752257645
2010-07,585.5213068659342
2010-08,576.3278347565399
2010-09,573.2006001220371
2010-10,567.7053847617026
2010-11,590.8953657710493
2010-12,619.4407257362019
2011-01,649.8024974760938
2011-02,660.2977864180772
2011-03,657.09205051032
2011-04,638.428825548657
2011-05,635.3883586397482
