Date,ACWI ex PHILIPPINES
2015-12,2340.0397513601033
2016-01,2208.065164538683
2016-02,2185.010494068499
2016-03,2239.0502698452965
2016-04,2262.066321560428
2016-05,2332.054593445375
2016-06,2323.7748003946435
2016-07,2408.8776604798104
2016-08,2428.001460218555
2016-09,2422.3150663899496
2016-10,2441.7886516012004
2016-11,2544.120635842998
2016-12,2615.0485733167657
2017-01,2622.492558177608
2017-02,2743.308752863172
2017-03,2760.6296423532513
2017-04,2754.8162543905023
2017-05,2728.9838142004696
2017-06,2703.992312631604
2017-07,2689.8827934001433
2017-08,2679.1074236982804
2017-09,2747.3055549539918
2017-10,2846.5629333304455
2017-11,2836.3156059761777
2017-12,2862.584929676552
2018-01,2915.7984422443674
2018-02,2854.2885812532613
2018-03,2771.85341343683
2018-04,2850.133210018823
2018-05,2956.3954057696224
2018-06,2941.111011628308
2018-07,3024.142684438283
2018-08,3066.3635099401718
2018-09,3086.5840788134005
2018-10,2927.452484142334
2018-11,2973.6411661809993
2018-12,2738.7254147564317
2019-01,2944.7156391753338
2019-02,3048.274055874698
2019-03,3132.065392040246
2019-04,3245.772713237003
2019-05,3073.0753744741314
2019-06,3205.586337407276
2019-07,3289.4369675555727
2019-08,3248.3950566351805
2019-09,3352.047210590727
2019-10,3365.9930096216985
2019-11,3490.683446708891
2019-12,3551.048941842798
2020-01,3558.3334112312446
2020-02,3301.2661921157246
2020-03,2861.0007899728266
2020-04,3174.6255374974457
2020-05,3263.8936350374743
2020-06,3337.047702608517
2020-07,3338.7226313821284
2020-08,3504.6279527633897
2020-09,3460.2623801550717
2020-10,3399.2741719687638
2020-11,3719.592488531686
2020-12,3806.6063274539247
2021-01,3817.4825903126707
2021-02,3910.6028926322765
2021-03,4148.9843690135895
2021-04,4229.693529309819
2021-05,4231.396693157485
2021-06,4421.430533148446
2021-07,4453.980286360985
2021-08,4587.268120093518
2021-09,4481.279412987713
2021-10,4718.149563884686
2021-11,4735.299341077188
2021-12,4876.2240871978265
2022-01,4704.321900340224
2022-02,4575.145491345885
2022-03,4721.445370541656
2022-04,4582.964704342601
2022-05,4521.67294011479
2022-06,4244.818214228038
2022-07,4657.86747790111
2022-08,4550.896760960888
2022-09,4226.326221156118
2022-10,4442.895907218169
2022-11,4597.236650078307
2022-12,4262.436349045867
2023-01,4489.995267473804
2023-02,4468.089289923151
2023-03,4498.883827712507
2023-04,4493.112758982024
2023-05,4606.440522937146
2023-06,4764.771391787071
2023-07,4888.872778466988
