Date,EM EASTERN EUROPE ex RUSSIA
2000-12,1000.0
2001-01,1035.2473912688515
2001-02,906.5590053001722
2001-03,861.3814387590816
2001-04,891.2870737965569
2001-05,959.3526771061938
2001-06,880.8907028365581
2001-07,792.1624889862238
2001-08,735.2018683719194
2001-09,682.8830983670204
2001-10,817.9661581655631
2001-11,858.3358190773481
2001-12,882.2096709075934
2002-01,1005.1104854773218
2002-02,950.0694181012956
2002-03,967.0253784311841
2002-04,1011.3367291528433
2002-05,986.2382265737376
2002-06,842.3164817703403
2002-07,801.0205274423568
2002-08,858.6910906262739
2002-09,806.9672473297072
2002-10,873.3047314159304
2002-11,931.6538561186637
2002-12,893.8529510171046
2003-01,846.7160274259707
2003-02,826.8948468056309
2003-03,812.2030446620953
2003-04,889.1077344690165
2003-05,915.8003976064485
2003-06,869.9945749386568
2003-07,958.0375772802594
2003-08,1093.8045725082002
2003-09,1004.3950913466091
2003-10,1049.8162056499616
2003-11,982.612200960737
2003-12,1037.8188100099208
2004-01,1078.5685837133144
2004-02,1153.5943641776018
2004-03,1236.8196009464639
2004-04,1233.0231586877476
2004-05,1238.333530571261
2004-06,1280.085647024474
2004-07,1297.0475996755763
2004-08,1332.178754979805
2004-09,1414.9229929125243
2004-10,1485.317050747662
2004-11,1598.4859258726694
2004-12,1713.0150227910758
2005-01,1759.1248251049258
2005-02,2067.4233273358705
2005-03,1901.6682396129838
2005-04,1759.2697903587423
2005-05,1842.6070736150164
2005-06,2043.0541690444095
2005-07,2221.317068838989
2005-08,2358.5483677433676
2005-09,2590.753546610138
2005-10,2339.362592341545
2005-11,2436.1829115284277
2005-12,2504.5996324244743
2006-01,2654.2032330267784
2006-02,2720.7198299128227
2006-03,2631.8463438690414
2006-04,2800.4941379212555
2006-05,2459.3575360995906
2006-06,2441.4559609992193
2006-07,2725.64258204797
2006-08,2583.299603499855
2006-09,2564.565736697759
2006-10,2777.7593422621885
2006-11,2919.6036148927
2006-12,3064.6621765128175
2007-01,3102.1300933104935
2007-02,2938.601497813412
2007-03,3185.808759071369
2007-04,3367.5437909869497
2007-05,3475.8110938062023
2007-06,3693.2170391206164
2007-07,3662.6598686050743
2007-08,3490.849127485742
2007-09,3609.1605885328017
2007-10,3855.0722281932003
2007-11,3591.5553608195223
2007-12,3597.664412688488
2008-01,3098.711508138777
2008-02,3155.610965288602
2008-03,3140.1893302228564
2008-04,3200.501355418609
2008-05,3383.637496443468
2008-06,3141.70617306308
2008-07,3419.582237541271
2008-08,3200.4552762149706
2008-09,2849.6500346187563
2008-10,2055.786979701194
2008-11,1852.0987485889862
2008-12,1761.77241415759
2009-01,1470.5158340982102
2009-02,1221.6955278072692
2009-03,1355.4330660610135
2009-04,1684.0656653963574
2009-05,1733.5153182906001
2009-06,1820.9314548174013
2009-07,2224.9107471437533
2009-08,2345.5727884692724
2009-09,2331.2847948040567
2009-10,2375.525484110811
2009-11,2474.51946162738
2009-12,2520.294258455998
2010-01,2599.386674663278
2010-02,2516.779543324948
2010-03,2818.9690507354517
2010-04,2867.5031348800103
2010-05,2597.719778367638
2010-06,2417.050338020667
2010-07,2668.965805704141
2010-08,2633.0253245370645
2010-09,2834.284358890751
2010-10,2896.4998870473
2010-11,2730.2377840183526
2010-12,2904.978379328811
2011-01,2959.291816922709
2011-02,2964.1793139851306
2011-03,3029.757531754888
2011-04,3213.3862833879157
2011-05,3173.0690405176497
2011-06,3085.721138117774
2011-07,3004.551146264898
2011-08,2629.6682245836746
2011-09,2234.5777486936104
2011-10,2413.994219977605
2011-11,2287.5632509402503
2011-12,2197.303059387955
2012-01,2487.8802111594346
2012-02,2556.7310513335246
2012-03,2502.3526912507086
2012-04,2449.703230592546
2012-05,2172.7412461405074
2012-06,2455.3458648875003
2012-07,2498.5327554562277
2012-08,2597.2516201666094
2012-09,2718.8947609458605
2012-10,2675.105906134199
2012-11,2722.7425525535423
2012-12,2863.4483372854124
2013-01,2726.025379904328
2013-02,2715.2318248686133
2013-03,2606.694072793234
2013-04,2582.5883849965694
2013-05,2700.612098297286
2013-06,2501.4117103978674
2013-07,2618.593505424383
2013-08,2676.9159957895386
2013-09,2755.24705669345
2013-10,2938.8568794233793
2013-11,2932.989059583846
2013-12,2778.8628535985886
2014-01,2689.1105857222733
2014-02,2875.458683550762
2014-03,2847.428024668366
2014-04,2829.1244085344306
2014-05,2908.6215327365076
2014-06,2867.6900763133854
2014-07,2757.1635175500196
2014-08,2855.6987977831695
2014-09,3030.819987767635
