Date,SELECT OECD COUNTRIES
1998-12,1000.0
1999-01,1057.010234930918
1999-02,1063.880877107025
1999-03,1126.868448820165
1999-04,1192.398032689698
1999-05,1167.1052073077567
1999-06,1234.8381165834044
1999-07,1186.2375681555823
1999-08,1200.1221214998131
1999-09,1179.4323639642741
1999-10,1256.5117113284966
1999-11,1346.8020065249002
1999-12,1461.7522125215528
2000-01,1412.120701369848
2000-02,1438.6320305564527
2000-03,1549.5825927308138
2000-04,1559.0123297878058
2000-05,1497.3183882243707
2000-06,1496.4124356905766
2000-07,1502.3008850492397
2000-08,1617.8664931057276
2000-09,1544.0195977897044
2000-10,1580.7390123018731
2000-11,1445.0891487799988
2000-12,1360.1646083894068
2001-01,1399.7939648588897
2001-02,1294.792497207909
2001-03,1260.0451116706881
2001-04,1350.9454401527744
2001-05,1395.6669447591491
2001-06,1353.4585997780757
2001-07,1292.5363710786642
2001-08,1185.4601491547817
2001-09,1079.7266916903027
2001-10,1112.6262205926778
2001-11,1184.8763874409167
2001-12,1198.2788705973676
2002-01,1201.100427994293
2002-02,1185.6897163363071
2002-03,1227.6648376855571
2002-04,1147.7229341719426
2002-05,1110.0872116561382
2002-06,986.6241843823267
2002-07,909.7106727555365
2002-08,911.6674074141278
2002-09,805.1884808124445
2002-10,863.1164926412465
2002-11,906.072924565612
2002-12,817.5170114742102
2003-01,774.8374988726312
2003-02,758.5072182285816
2003-03,747.4249594591342
2003-04,796.7308993238778
2003-05,799.354554581807
2003-06,833.0966353559382
2003-07,867.017909092346
2003-08,907.6366872378339
2003-09,860.7388923757302
2003-10,913.7063565808098
2003-11,900.0271628449276
2003-12,909.5503278354846
2004-01,937.8930817883177
2004-02,953.6906599744865
2004-03,958.6122923858284
2004-04,963.3295096595107
2004-05,955.0658210377258
2004-06,978.8524798290409
2004-07,956.6367515698267
2004-08,951.7413431731363
2004-09,949.1032971370805
2004-10,949.837235482755
2004-11,957.0831312098082
2004-12,971.9569791926413
2005-01,990.8592408779406
2005-02,1004.4386873935717
2005-03,1006.415831174585
2005-04,991.2609122164174
2005-05,1055.7651143010949
2005-06,1086.3139803896836
2005-07,1120.432829442407
2005-08,1115.8106392639413
2005-09,1168.1228137657265
2005-10,1147.985907710012
2005-11,1205.80264551216
2005-12,1232.2222324575125
2006-01,1250.4860730245564
2006-02,1272.079766413064
2006-03,1281.470926005633
2006-04,1268.7428546021636
2006-05,1203.3224705959594
2006-06,1208.78375925973
2006-07,1218.8906578678825
2006-08,1247.2159192091733
2006-09,1275.6436353265606
2006-10,1312.7269113004224
2006-11,1295.0445897007912
2006-12,1327.9345376707633
2007-01,1363.5279228407012
2007-02,1335.0959952492346
2007-03,1349.4754872450724
2007-04,1375.3405916834477
2007-05,1435.2740941336174
2007-06,1419.1596680131884
2007-07,1368.1359184224625
2007-08,1373.5037527549562
2007-09,1377.893873689981
2007-10,1395.0673666014227
2007-11,1319.64726014086
2007-12,1307.8417151770332
2008-01,1194.0319447798843
2008-02,1158.2944744810422
2008-03,1100.127874220296
2008-04,1178.9934115310546
2008-05,1200.9802709578746
