Date,WORLD
1998-12,100.0
1999-01,105.67739730773147
1999-02,106.43284744439022
1999-03,112.74404246332013
1999-04,119.60276864542303
1999-05,116.91719627764924
1999-06,123.76346307749535
1999-07,118.91226262308234
1999-08,120.29130256012566
1999-09,118.16779745802283
1999-10,125.97061907427224
1999-11,135.2104876452074
1999-12,146.83526831238768
2000-01,141.83939379300037
2000-02,144.54437986716138
2000-03,155.49794156316835
2000-04,156.40222922684356
2000-05,149.8068112929516
2000-06,149.83895856450854
2000-07,150.66101946476317
2000-08,162.15191625182965
2000-09,154.69733787324907
2000-10,158.37954267020274
2000-11,144.87027062183014
2000-12,136.51536233719582
2001-01,140.49868094081324
2001-02,130.08842858489442
2001-03,126.46426833178852
2001-04,135.4528137960336
2001-05,139.9176275944304
2001-06,135.72182036186538
2001-07,129.58720371022744
2001-08,118.85513726420932
2001-09,108.11809324154682
2001-10,111.42347836567586
2001-11,118.73738303790857
2001-12,120.16260793892509
2002-01,120.52848593885388
2002-02,118.93776523529155
2002-03,123.16689942451112
2002-04,115.23818561538877
2002-05,111.40683767221563
2002-06,99.01588824461206
2002-07,91.34806643531194
2002-08,91.50999882321808
2002-09,80.84397875319584
2002-10,86.64563372127155
2002-11,90.92802352170433
2002-12,82.03263086180112
2003-01,77.76801960077212
2003-02,76.13151169939674
2003-03,74.98999374009931
2003-04,79.87213718498316
2003-05,80.15574175857805
2003-06,83.54750639341484
2003-07,86.98688689608977
2003-08,91.12564713023106
2003-09,86.45525468782358
2003-10,91.7645459750489
2003-11,90.36969148368463
2003-12,91.29009495324323
2004-01,94.1977523217698
2004-02,95.79339601175911
2004-03,96.24867378397097
2004-04,96.70336982265617
2004-05,95.85999040436705
2004-06,98.23127047253654
2004-07,96.05271918223654
2004-08,95.61190493094024
2004-09,95.35624706544695
2004-10,95.4045849979219
2004-11,96.14995337213682
2004-12,97.63109831302744
2005-01,99.52990371245482
2005-02,100.88598816422535
2005-03,101.0787898389557
2005-04,99.61382233930088
2005-05,106.07804381026286
2005-06,109.1736323601981
2005-07,112.63942153156273
2005-08,112.13751612579487
2005-09,117.39246105183065
2005-10,115.32334057184111
2005-11,121.12993200487116
2005-12,123.781406680553
2006-01,125.63163535264724
2006-02,127.81833747711742
2006-03,128.75356587902152
2006-04,127.51543751315008
2006-05,120.8936914377921
2006-06,121.45654768621361
2006-07,122.48038508175388
2006-08,125.3392672011091
2006-09,128.20195701621736
2006-10,131.93364915944125
2006-11,130.21346104848337
2006-12,133.59113180476436
2007-01,137.19241693828553
2007-02,134.31280035865083
2007-03,135.78007412611393
2007-04,138.35797858521383
2007-05,144.39048732684097
2007-06,142.8073973182993
2007-07,137.80654651218006
2007-08,138.327811397995
2007-09,138.94974268597102
2007-10,140.80612105130996
2007-11,133.17213234105387
2007-12,132.0141856600873
2008-01,120.4272380368697
2008-02,116.82949650410852
2008-03,110.91228394112902
2008-04,118.9057100420361
2008-05,121.08866000765796
2008-06,109.95288911811484
2008-07,108.34634605990436
2008-08,113.26149517803877
2008-09,104.6439958062388
2008-10,93.96895123844489
2008-11,87.89237201076334
2008-12,82.84752694997216
2009-01,82.0187507003795
2009-02,74.34297238265833
2009-03,76.51990058046357
2009-04,85.348282226675
2009-05,87.24052266777848
2009-06,87.67661243850493
2009-07,94.11589862181687
2009-08,96.85846219769824
2009-09,98.91558131666767
2009-10,96.27131816864662
2009-11,98.5244953993809
2009-12,104.98248473201932
2010-01,103.9080512398457
2010-02,107.36463192680635
2010-03,115.05149992430795
2010-04,117.16238034266067
2010-05,114.91846667159278
2010-06,111.21604747406988
2010-07,113.07090994781187
2010-08,111.6245223934191
2010-09,113.64814108461903
2010-10,115.8143342077323
2010-11,121.04532682728305
2010-12,126.12886110483673
2011-01,126.23669118634778
2011-02,129.7471495177887
2011-03,125.09461167947865
2011-04,124.8152026014012
2011-05,126.2672502928651
2011-06,123.26799540801518
2011-07,122.14818565933608
2011-08,113.37225455112251
2011-09,111.20197003261555
2011-10,118.06324171499779
2011-11,119.4134642386504
2011-12,123.80678955813973
2012-01,128.97330319823615
2012-02,132.44586831120142
2012-03,134.8262750621984
2012-04,134.21052825687215
2012-05,131.40032701691615
2012-06,134.61221983152288
2012-07,140.53275718023124
2012-08,140.85554485788876
2012-09,141.86212320399966
2012-10,139.9322515416772
2012-11,141.2763284426249
2012-12,142.0649216468063
2013-01,145.05460009396432
2013-02,150.93174504114944
2013-03,157.3431789658328
2013-04,158.18475299272066
2013-05,161.12242507103176
2013-06,156.75098653716424
2013-07,161.56867443518334
2013-08,159.30827627878884
2013-09,163.0052450587638
2013-10,168.69559563752247
2013-11,171.51324117175588
2013-12,173.12140743346296
2014-01,170.38352923086958
2014-02,174.77850635767393
2014-03,175.49934247166945
2014-04,176.33210773380475
2014-05,182.86914900337948
2014-06,185.59355676652996
2014-07,186.9292000469407
2014-08,194.1430957459152
2014-09,197.02346880748252
2014-10,199.98362679798205
2014-11,205.10878616246154
2014-12,207.99293823304635
2015-01,219.04443940525795
2015-02,233.3933343623162
2015-03,240.09037346093598
2015-04,235.63200598443407
2015-05,241.86733273743013
2015-06,232.5553800805319
2015-07,238.81120579138
2015-08,219.99004803236792
2015-09,212.78226940965027
2015-10,232.11803934386313
2015-11,241.6870492648979
2015-12,230.9436620613754
2016-01,218.03935242097904
2016-02,215.65259716444336
2016-03,219.72685219108254
2016-04,222.2121801265217
2016-05,230.11348838192708
2016-06,228.11665170926747
2016-07,236.2631006881425
2016-08,237.5348068343868
2016-09,236.76728598688715
2016-10,238.09361485661043
