Date,ZHONG HUA WITH PARTIAL A SHARES
2008-11,1101.4496399092882
2008-12,1086.1918313069446
2009-01,1116.6478999757403
2009-02,1085.9111092261494
2009-03,1150.6592866135202
2009-04,1299.6993608410528
2009-05,1427.8836470531328
2009-06,1478.3765299058869
2009-07,1635.5710447096164
2009-08,1496.4264589899055
2009-09,1554.449196780996
2009-10,1622.5404732913114
2009-11,1618.1988530121416
2009-12,1709.6463817973438
2010-01,1622.243291862452
2010-02,1698.796865023738
2010-03,1806.3394193061426
2010-04,1819.4712864882274
2010-05,1858.1440678395952
2010-06,1893.1563985604466
2010-07,1868.1971282865206
2010-08,1883.0860982938188
2010-09,1935.2396199647728
2010-10,1969.1480809834713
2010-11,2081.0039197586266
2010-12,2013.9418781412105
2011-01,1973.4451790344765
2011-02,1915.419386650852
2011-03,1937.4954661976556
2011-04,1888.8725151120937
2011-05,1957.7894934152978
2011-06,1871.0095069119834
2011-07,1888.8920963142227
2011-08,1730.2100315902105
2011-09,1549.9627878078354
2011-10,1701.095648456399
2011-11,1621.606851194185
2011-12,1719.1992264250227
2012-01,1879.1256700834729
2012-02,1969.7787088597252
2012-03,1856.7852049073642
2012-04,1919.4049727351794
2012-05,1846.9297221380334
2012-06,1850.030628868928
2012-07,1944.1598936633711
2012-08,1862.733384268876
2012-09,1952.6414035089767
2012-10,2019.8698980022011
2012-11,2056.702406768417
2012-12,2107.645206127771
2013-01,2143.712711088208
2013-02,2164.0084599404167
2013-03,2123.31367486869
2013-04,2101.207414015809
2013-05,2119.069935949474
2013-06,1974.002790305797
2013-07,2009.4263382961888
2013-08,2049.2717766226456
2013-09,2104.7384242863523
2013-10,2144.970846311273
2013-11,2218.9763083525113
2013-12,2144.1684863674686
2014-01,2054.9034673040305
2014-02,2069.073341922248
2014-03,2032.6854157137238
2014-04,2006.0125021300007
2014-05,2133.011022823196
2014-06,2178.173348227366
2014-07,2398.5257427298875
2014-08,2433.333475668907
2014-09,2374.6453559197926
2014-10,2515.1470118987613
2014-11,2565.0144154609493
2014-12,2640.9555956313643
2015-01,2916.940746486269
2015-02,2995.0408945925506
2015-03,3207.4099339558243
2015-04,3534.9518015194526
2015-05,3526.177433022399
2015-06,3295.630751781699
2015-07,3044.0390861091632
2015-08,2635.066014414916
2015-09,2592.42002241055
2015-10,2857.071774858059
2015-11,2893.0659783592523
2015-12,2789.95524934531
2016-01,2453.7932267564724
2016-02,2403.836637558272
2016-03,2552.145971956376
2016-04,2542.5134490363507
2016-05,2598.4229543861993
2016-06,2632.087756844107
2016-07,2729.1924702853953
2016-08,2894.604158509753
2016-09,2945.393126353238
2016-10,2969.52187927717
2018-03,3743.831463923472
2018-04,3837.2034598433593
2018-05,4034.9058489188646
