Date,ACWI ex INDONESIA
2015-12,2337.8720736769333
2016-01,2205.6079370738144
2016-02,2182.189201070106
2016-03,2236.585150799789
2016-04,2259.579340232101
2016-05,2329.873169614408
2016-06,2321.1811006066396
2016-07,2406.0099889922953
2016-08,2424.9566029364055
2016-09,2418.9433403189455
2016-10,2438.2277809241123
2016-11,2540.9978945319785
2016-12,2611.5722232997905
2017-01,2619.2928205724893
2017-02,2739.860521326898
2017-03,2756.930870391566
2017-04,2751.1380042190467
2017-05,2725.332550918116
2017-06,2700.1572080270385
2017-07,2686.238110336151
2017-08,2675.4441250566992
2017-09,2743.7949416184665
2017-10,2843.0299330063535
2017-11,2832.9098684012374
2017-12,2858.7837291941464
2018-01,2911.8622909846736
2018-02,2850.3312087661684
2018-03,2768.242691081632
2018-04,2846.7338983774275
2018-05,2952.767821753079
2018-06,2937.8050652626735
2018-07,3020.90372797944
2018-08,3063.141726074314
2018-09,3083.1635310113443
2018-10,2924.1246820146835
2018-11,2969.659456220395
2018-12,2734.7759463393236
2019-01,2940.4451285069995
2019-02,3044.2363004390586
2019-03,3128.009459874165
2019-04,3241.6979640586924
2019-05,3069.238096743405
2019-06,3201.484501364223
2019-07,3285.1511278729986
2019-08,3244.2390979042048
2019-09,3347.9951986941232
2019-10,3362.0001979500307
2019-11,3486.7208458716796
2019-12,3546.663789673349
2020-01,3553.7901055628918
2020-02,3297.4547269203904
2020-03,2858.566441801187
2020-04,3171.7982839647525
2020-05,3260.9618883333214
2020-06,3333.981016511807
2020-07,3335.4427267196925
2020-08,3501.236516308124
2020-09,3457.589675829216
2020-10,3396.385023552632
2020-11,3716.134983034359
2020-12,3803.023998311759
2021-01,3813.765533707579
2021-02,3906.8397663018795
2021-03,4145.359398435879
2021-04,4226.129013944314
2021-05,4227.978968503717
2021-06,4418.378158331711
2021-07,4450.637948769684
2021-08,4583.76611453525
2021-09,4477.401079716228
2021-10,4713.768041969475
2021-11,4731.120994384978
2021-12,4871.90475036678
2022-01,4700.065717075906
2022-02,4570.46521680791
2022-03,4716.333522464971
2022-04,4576.871455642957
2022-05,4516.0445426235365
2022-06,4239.3991595530715
2022-07,4652.100317916374
2022-08,4544.6432165748365
2022-09,4219.267800169192
2022-10,4436.163690485478
2022-11,4591.1790326649625
2022-12,4256.93947939206
2023-01,4484.489416237616
2023-02,4462.346281350044
2023-03,4493.00073172423
2023-04,4486.751484854747
2023-05,4600.013842738614
2023-06,4758.6102328435345
2023-07,4882.76781291076
