Date,WORLD ex AUSTRALIA WITH USA GROSS
2001-09,1000.0
2001-10,1029.5639549843906
2001-11,1096.8432093308147
2001-12,1109.9269529303624
2002-01,1112.7198497359186
2002-02,1097.7453575860095
2002-03,1136.9293816450195
2002-04,1063.3585390086903
2002-05,1026.9840235690517
2002-06,912.5332794713341
2002-07,841.7135781672426
2002-08,842.8480116658325
2002-09,743.7313141301283
2002-10,797.3892832110428
2002-11,837.2099460282641
2002-12,754.8486855123002
2003-01,714.8758849403658
2003-02,699.7906597231487
2003-03,688.7152503690584
2003-04,733.698042330792
2003-05,736.6530230396336
2003-06,767.4642565100572
2003-07,799.4484243560197
2003-08,837.4299633655298
2003-09,793.9571913044509
2003-10,842.2876636316918
2003-11,829.791645899735
2003-12,837.911156198581
2004-01,864.9287990629507
2004-02,879.0132611391386
2004-03,882.7576185451087
2004-04,887.7281929792898
2004-05,880.0475781479621
2004-06,902.2166595632334
2004-07,881.5290893738725
2004-08,877.1853399749447
2004-09,873.9424516997977
2004-10,873.684662325689
2004-11,879.8807293568451
2004-12,893.3485359646335
2005-01,910.0898678744445
2005-02,921.9836661708038
2005-03,924.2103648641945
2005-04,910.7051830060035
2005-05,970.2439432645896
2005-06,997.4201650565482
2005-07,1029.3635369893295
2005-08,1024.7237546491108
2005-09,1071.542249419685
2005-10,1053.686588360128
2005-11,1106.647831969495
2005-12,1130.8465078046786
2006-01,1147.046485410302
2006-02,1167.3693584732841
2006-03,1176.4030545363535
2006-04,1163.424244402563
2006-05,1103.6592860549515
2006-06,1108.5726027544556
2006-07,1117.756463389532
2006-08,1143.7243883973729
2006-09,1170.5905981651833
2006-10,1203.3421440136963
2006-11,1187.1582551786144
2006-12,1217.5366640330951
2007-01,1250.6882119991935
2007-02,1223.0829623736465
2007-03,1235.184139871318
2007-04,1258.09429904324
2007-05,1313.4572010781217
2007-06,1297.6857872789037
2007-07,1251.9173529918883
2007-08,1257.3159113488691
2007-09,1259.2707520207234
2007-10,1274.2525268238458
2007-11,1206.647472520296
2007-12,1197.0690948158122
2008-01,1092.6168965801721
2008-02,1058.69949912271
2008-03,1006.6220844759778
2008-04,1078.142045678153
2008-05,1097.6466857141618
2008-06,996.0584510671098
2008-07,983.0747920784133
2008-08,1028.5861940434506
2008-09,952.1667043874336
2008-10,857.0730099931042
2008-11,801.8541508933312
2008-12,755.2079994585074
2009-01,748.6870935499117
2009-02,677.2808883070317
2009-03,695.170362001223
2009-04,775.3882792170514
2009-05,792.4066326863358
2009-06,794.9066970850786
2009-07,852.797700225137
2009-08,876.4083428390089
2009-09,892.537244148786
2009-10,868.0232635978946
2009-11,888.7037230345375
2009-12,946.9954959747638
2010-01,938.4644522029332
2010-02,968.9313212699632
2010-03,1037.471027049957
2010-04,1056.7807329184382
2010-05,1039.940791624001
2010-06,1005.9531815038488
2010-07,1021.2707979077225
2010-08,1007.9455235014494
2010-09,1024.5903868614328
2010-10,1044.487822752666
2010-11,1092.272287489048
2010-12,1136.7673433600426
2011-01,1139.855495453592
2011-02,1171.0729357255539
2011-03,1127.6469726508506
2011-04,1124.4780672130541
2011-05,1139.0307113854797
2011-06,1111.739665938215
2011-07,1101.8271659068373
2011-08,1021.5060192524907
2011-09,1004.6630031148519
2011-10,1064.1809878552726
2011-11,1078.2849328193515
2011-12,1118.5827048839299
2012-01,1163.6837478645623
2012-02,1195.8589300108247
2012-03,1219.2590722617176
2012-04,1212.3346789138827
2012-05,1189.1165471401623
2012-06,1217.40539189609
2012-07,1268.104272142517
2012-08,1272.1700674222009
2012-09,1281.336018196348
2012-10,1262.317045058929
2012-11,1274.532906597569
2012-12,1281.1427064838056
2013-01,1307.9148043992095
2013-02,1358.902343749164
2013-03,1418.2836580629244
2013-04,1425.067247129593
2013-05,1458.7198155151802
2013-06,1421.1992142566803
2013-07,1466.0479024247845
2013-08,1443.7443965518407
2013-09,1476.194167111909
2013-10,1526.8893564583655
2013-11,1555.7452684645084
2013-12,1572.3209269932006
2014-01,1548.3479143531224
2014-02,1587.0042775694117
2014-03,1591.6225118969185
2014-04,1598.7590646796286
2014-05,1658.550898942515
2014-06,1684.3446380700366
2014-07,1693.97506896545
2014-08,1760.0512232872904
2014-09,1791.5504034187363
2014-10,1815.9241285712174
2014-11,1867.308280241194
2014-12,1893.9559273687523
2015-01,1994.5813336063745
2015-02,2124.209224332611
2015-03,2185.80892559616
2015-04,2145.9743617954528
2015-05,2204.776799546242
2015-06,2121.2916611508394
2015-07,2179.5500373193872
2015-08,2010.5509851185357
2015-09,1944.9623967445432
2015-10,2122.7622588289137
2015-11,2209.582479266315
2015-12,2108.7159761218104
2016-01,1992.3492257604125
2016-02,1970.6542269117251
2016-03,2005.0398276745982
2016-04,2027.0499593218997
2016-05,2100.8940493415175
2016-06,2081.979662693858
2016-07,2154.116894523345
2016-08,2167.37436364684
2016-09,2159.262660559002
2016-10,2171.4938560540536
2016-11,2278.155460962527
2016-12,2346.7926481129825
2017-01,2345.098471609207
2017-02,2451.7460160501805
2017-03,2462.5038932564457
2017-04,2457.1879650137575
2017-05,2436.2203269264446
2017-06,2410.515138165988
2017-07,2387.1591521635173
2017-08,2372.0545614751695
2017-09,2442.126217600669
2017-10,2526.069693320268
2017-11,2523.8462477836715
2017-12,2538.5655221077263
2018-01,2578.2396947782404
2018-02,2524.9858409990798
2018-03,2453.327707298326
2018-04,2526.7556718601336
2018-05,2633.6915676426593
2018-06,2631.9573107680258
2018-07,2709.648952473
2018-08,2761.9864621956244
2018-09,2784.6109055992556
2018-10,2645.7809345441465
2018-11,2679.4551963850727
2018-12,2450.3450457693298
2019-01,2632.291812939066
2019-02,2733.413787504719
2019-03,2810.8462931847153
2019-04,2919.365344075173
2019-05,2764.771094070301
2019-06,2885.723540846565
2019-07,2966.921779563726
2019-08,2941.4434452254827
2019-09,3035.7190505845797
2019-10,3043.372485345752
2019-11,3167.958306963071
2019-12,3207.3034370576856
2020-01,3229.3272782819836
2020-02,2985.958289926425
2020-03,2603.6226204792265
2020-04,2892.4244690671208
2020-05,2987.7316369989476
2020-06,3035.9128619507333
2020-07,3022.6615253306054
2020-08,3190.251787447775
2020-09,3144.9888958130846
2020-10,3067.762921019286
2020-11,3368.6476649402794
2020-12,3432.854266921518
2021-01,3422.9797893197847
2021-02,3514.9747502161104
2021-03,3755.13984477443
2021-04,3838.343578590875
2021-05,3834.3598930512426
2021-06,4015.9059997350314
2021-07,4091.8674670195496
2021-08,4214.88510789047
2021-09,4115.846454762991
2021-10,4357.981841429577
2021-11,4387.784633905818
2021-12,4529.250907222283
2022-01,4355.692443019818
2022-02,4231.43977376167
2022-03,4384.002382792065
2022-04,4238.989110574653
2022-05,4182.067708167345
2022-06,3918.9770975365
2022-07,4339.571933429149
2022-08,4215.166671568439
2022-09,3928.4261874176946
2022-10,4176.19803720534
2022-11,4284.947825156717
2022-12,3957.910012017789
2023-01,4162.408568545059
2023-02,4166.162503400434
2023-03,4198.7489588296785
2023-04,4207.99673871727
2023-05,4321.019653633324
2023-06,4480.207557838977
2023-07,4582.763174558921
