Date,ACWI ex EGYPT
2015-12,2339.648136770357
2016-01,2207.7777147819193
2016-02,2184.712902048849
2016-03,2238.9119894561554
2016-04,2261.725694962224
2016-05,2331.8714168552856
2016-06,2323.8049003285378
2016-07,2408.7596554913252
2016-08,2427.796950409152
2016-09,2421.885076933018
2016-10,2441.265207751257
2016-11,2543.332090897392
2016-12,2614.178981644551
2017-01,2621.7348415637985
2017-02,2742.3471641425945
2017-03,2759.7060931434053
2017-04,2754.048318979961
2017-05,2728.216055561254
2017-06,2703.181856234164
2017-07,2689.0550675571862
2017-08,2678.179038420981
2017-09,2746.4196138925954
2017-10,2845.6166165128307
2017-11,2835.3319930382368
2017-12,2861.718340789894
2018-01,2914.680902512899
2018-02,2853.163114127343
2018-03,2770.5659693107664
2018-04,2848.731433373366
2018-05,2954.8290337634753
2018-06,2939.3645417706744
2018-07,3022.5187782162975
2018-08,3064.76829851602
2018-09,3084.694184876049
2018-10,2925.8694271366303
2018-11,2972.1637570960697
2018-12,2737.643561081068
2019-01,2943.5672993051
2019-02,3046.8602588239287
2019-03,3130.6561719422316
2019-04,3244.2021263472807
2019-05,3071.8593093318373
2019-06,3204.156535928543
2019-07,3287.9954268086003
2019-08,3246.86465145778
2019-09,3350.3059579996498
2019-10,3364.3204209066466
2019-11,3488.7282094659763
2019-12,3548.9741325388227
2020-01,3555.9398451559264
2020-02,3299.096483866313
2020-03,2858.9150325821884
2020-04,3172.2622372802084
2020-05,3261.416079746725
2020-06,3334.6813757528394
2020-07,3336.1232738772746
2020-08,3501.7311120331324
2020-09,3457.473600799409
2020-10,3396.8832331161725
2020-11,3716.856646516248
2020-12,3803.8534187686923
2021-01,3814.4032714703153
2021-02,3907.450097493674
2021-03,4145.434462526962
2021-04,4225.935458955285
2021-05,4227.802743275947
2021-06,4417.720140490606
2021-07,4449.784533998806
2021-08,4583.2121646503
2021-09,4477.408163940704
2021-10,4713.971943422236
2021-11,4731.276522286804
2021-12,4871.844363842493
2022-01,4700.445057326439
2022-02,4571.494875838608
2022-03,4717.594458611433
2022-04,4579.206917265689
2022-05,4518.042191579622
2022-06,4241.200946599086
2022-07,4653.739540095754
2022-08,4547.09252863368
2022-09,4222.4459380485605
2022-10,4438.931079473235
2022-11,4593.283299150662
2022-12,4258.803992898775
2023-01,4486.14724261002
2023-02,4464.140098574195
2023-03,4494.929890069703
2023-04,4489.1414579398715
2023-05,4602.252146509544
2023-06,4760.341674701182
2023-07,4884.336411511002
