Date,AC AP ex JP WITH PARTIAL A SHARES
2008-11,1088.063837485746
2008-12,1081.0326841947726
2009-01,1084.6656837218547
2009-02,1031.5922158455573
2009-03,1133.4235223549713
2009-04,1308.0743109292582
2009-05,1400.8083826731884
2009-06,1428.2240024504606
2009-07,1587.5863354657931
2009-08,1562.3675570552564
2009-09,1681.5055818069602
2009-10,1660.8203992814656
2009-11,1678.0413230866093
2009-12,1818.9589979749621
2010-01,1759.1207896896472
2010-02,1816.0358311515263
2010-03,1969.616438375112
2010-04,2030.5991614930929
2010-05,1964.7504629843058
2010-06,1981.8980720334162
2010-07,2003.0487985988027
2010-08,2019.9897263357043
2010-09,2104.273766425474
2010-10,2123.992107540778
2010-11,2223.234235284297
2010-12,2303.0331919732043
2011-01,2224.259819083638
2011-02,2171.2132558523263
2011-03,2222.132531829761
2011-04,2217.25143827449
2011-05,2236.5624305076412
2011-06,2174.770558000238
2011-07,2202.1864020679004
2011-08,2012.5050260684216
2011-09,1868.2033926621093
2011-10,2034.3710150445308
2011-11,1942.1225461990248
2011-12,2014.5531483096192
2012-01,2201.809873240623
2012-02,2267.8412407822343
2012-03,2208.891620352732
2012-04,2234.597826896296
2012-05,2144.203961705215
2012-06,2172.1217776201543
2012-07,2324.7817649154886
2012-08,2264.1319646575644
2012-09,2349.287299520773
2012-10,2343.445007050163
2012-11,2388.7743879208742
2012-12,2431.7780699573127
2013-01,2425.7829586081575
2013-02,2541.7871466469246
2013-03,2546.209807750428
2013-04,2542.957294845604
2013-05,2479.7588431938348
2013-06,2325.8980219441655
2013-07,2325.1915267986938
2013-08,2326.3526849542636
2013-09,2400.151991594815
2013-10,2500.7682515701345
2013-11,2472.793402223318
2013-12,2412.9136447569867
2014-01,2341.1489189230388
2014-02,2388.529191987043
2014-03,2434.871642829754
2014-04,2444.590772166394
2014-05,2564.091108973603
2014-06,2600.072895125153
2014-07,2757.5051293430765
2014-08,2823.4431271922167
2014-09,2733.067722318961
2014-10,2831.1772622740073
2014-11,2811.118622409109
2014-12,2841.3426901382527
2015-01,3090.736913460363
2015-02,3208.403258626795
2015-03,3349.886418070215
2015-04,3411.4595628300312
2015-05,3398.472411550735
2015-06,3210.645118002377
2015-07,3069.9576624175647
2015-08,2717.8564942330463
2015-09,2666.1834668733823
2015-10,2899.435132553306
2015-11,2957.231116229228
2015-12,2882.6047089230165
2016-01,2654.9254019757163
2016-02,2621.186350374311
2016-03,2789.1575481014797
2016-04,2773.2725606604063
2016-05,2811.041478485055
2016-06,2878.0777731892526
2016-07,3018.1419619100884
2016-08,3097.4872038047365
2016-09,3123.892078900012
2016-10,3149.938210196662
2018-03,3711.0150297990767
2018-04,3813.782117555393
2018-05,3918.0190741307406
