Date,ACWI ex CZECH REPUBLIC
2015-12,2339.300314360681
2016-01,2207.3780259857535
2016-02,2184.3792147892163
2016-03,2238.5345173762926
2016-04,2261.3784956879977
2016-05,2331.5136137036557
2016-06,2323.432623884147
2016-07,2408.4232141734365
2016-08,2427.510305860948
2016-09,2421.583096494991
2016-10,2440.985968022739
2016-11,2542.9008235562064
2016-12,2613.7447110164535
2017-01,2621.2836547445936
2017-02,2741.909428380087
2017-03,2759.23534847817
2017-04,2753.5466538665055
2017-05,2727.717241718816
2017-06,2702.6834006137537
2017-07,2688.543128757014
2017-08,2677.667538209142
2017-09,2745.8767104212943
2017-10,2845.040304037467
2017-11,2834.7421710954227
2017-12,2861.1110400290195
2018-01,2914.0218456362722
2018-02,2852.5344319788796
2018-03,2769.9846924824246
2018-04,2848.1433903506586
2018-05,2954.190262563386
2018-06,2938.7316645937644
2018-07,3021.821263757558
2018-08,3064.0895783063006
2018-09,3083.9807907480103
2018-10,2925.2022890828994
2018-11,2971.465123788502
2018-12,2737.0010538934753
2019-01,2942.8945710837966
2019-02,3046.187054033673
2019-03,3129.984582775062
2019-04,3243.5642488615194
2019-05,3071.2274960425675
2019-06,3203.487700223321
2019-07,3287.3093090152674
2019-08,3246.269762432055
2019-09,3349.705311428575
2019-10,3363.7204543118737
2019-11,3488.0874173952384
2019-12,3548.3182116165394
2020-01,3555.323771226423
2020-02,3298.5797215022167
2020-03,2858.4528973367205
2020-04,3171.7459768536996
2020-05,3260.849203556311
2020-06,3334.073060741632
2020-07,3335.5018050985514
2020-08,3501.095001042819
2020-09,3456.8808063995934
2020-10,3396.2788312859097
2020-11,3716.1201433139026
2020-12,3803.0404397261586
2021-01,3813.6106629066403
2021-02,3906.6162022760163
2021-03,4144.505705203932
2021-04,4224.965362879766
2021-05,4226.753836401446
2021-06,4416.623976501212
2021-07,4448.685545921675
2021-08,4582.060898517899
2021-09,4476.219460728819
2021-10,4712.801112534165
2021-11,4730.094652466519
2021-12,4870.557525710113
2022-01,4699.169823512497
2022-02,4570.244060050578
2022-03,4716.1962441219775
2022-04,4577.814815122393
2022-05,4516.59664843495
2022-06,4239.819317077307
2022-07,4652.256187216476
2022-08,4545.7012008666425
2022-09,4221.186948445353
2022-10,4437.630065724539
2022-11,4591.994219926782
2022-12,4257.610021131991
2023-01,4484.7847820638035
2023-02,4462.713090718226
2023-03,4493.457582939785
2023-04,4487.62214145112
2023-05,4600.820097574684
2023-06,4758.833855162247
2023-07,4882.738476038981
