Date,GOLDEN DRAGON WITH PARTIAL A SHARES
2008-11,1093.3112383156283
2008-12,1069.3571569145079
2009-01,1083.51439208614
2009-02,1076.3519078624738
2009-03,1155.2624229172684
2009-04,1320.7968665939957
2009-05,1443.1149201547187
2009-06,1447.9341623125397
2009-07,1603.8251375412492
2009-08,1488.7954565721316
2009-09,1576.4828710891172
2009-10,1599.575517074081
2009-11,1606.1976713576646
2009-12,1733.9707381011765
2010-01,1654.0472149520413
2010-02,1698.2802357527203
2010-03,1812.5145895539624
2010-04,1845.390609696689
2010-05,1859.63163366658
2010-06,1874.9723000691865
2010-07,1873.4773735038862
2010-08,1890.798064156888
2010-09,1945.1022289207244
2010-10,1974.447117992526
2010-11,2101.7996913331413
2010-12,2107.128241659539
2011-01,2084.0754927899206
2011-02,1980.3530679036394
2011-03,1990.3286525716587
2011-04,1967.0174004284481
2011-05,2033.2834714729386
2011-06,1939.6093006790989
2011-07,1964.0973766226068
2011-08,1794.4141793900153
2011-09,1641.7165606858146
2011-10,1766.2575706077641
2011-11,1675.7903809058992
2011-12,1780.3719961439308
2012-01,1939.6734929476809
2012-02,2034.9785183612332
2012-03,1941.6289985844508
2012-04,1966.6072155034635
2012-05,1922.8979653761178
2012-06,1907.8328199905106
2012-07,2000.9108085242538
2012-08,1944.1429816010009
2012-09,2039.1960018129955
2012-10,2048.368046083403
2012-11,2113.3733145279066
2012-12,2148.418933286624
2013-01,2159.671024785103
2013-02,2198.922421965111
2013-03,2174.3524479709226
2013-04,2165.872142539064
2013-05,2189.127381019547
2013-06,2065.4085427207397
2013-07,2086.4322204823934
2013-08,2118.8308012375173
2013-09,2161.05900632548
2013-10,2214.6160517245135
2013-11,2259.7996515062837
2013-12,2205.2600163745005
2014-01,2131.4179955122872
2014-02,2137.8628941247002
2014-03,2128.4858801034025
2014-04,2112.116961343662
2014-05,2241.4020874572734
2014-06,2305.0227618406598
2014-07,2487.745549662179
2014-08,2552.1533594529014
2014-09,2486.278657402705
2014-10,2615.1477684645433
2014-11,2666.6303006585217
2014-12,2729.6153669673504
2015-01,2999.247762601445
2015-02,3092.432005836207
2015-03,3283.160956380454
2015-04,3531.9819364965533
2015-05,3542.850723022973
2015-06,3328.953617353335
2015-07,3086.6674939316476
2015-08,2705.5154490183936
2015-09,2657.8011468304867
2015-10,2905.1208745669614
2015-11,2940.361622147728
2015-12,2835.780628010008
2016-01,2542.8194961023214
2016-02,2524.9780006017995
2016-03,2663.8430859272617
2016-04,2619.229977979837
2016-05,2691.800358200198
2016-06,2750.2287221843417
2016-07,2868.325646539648
2016-08,3017.2146559520115
2016-09,3072.270604612961
2016-10,3120.270645309392
2018-03,3866.498584681152
2018-04,3917.652276762947
2018-05,4104.56733736431
