Date,WORLD ex EUROPE
1998-12,99.99999999999999
1999-01,107.27234582705515
1999-02,107.96330748919584
1999-03,116.10796467024267
1999-04,123.72987271732086
1999-05,121.6512672312494
1999-06,130.5377409622913
1999-07,124.687187778512
1999-08,125.40326414488082
1999-09,123.06854258699691
1999-10,132.06023660153963
1999-11,141.81294688760977
1999-12,152.5625148867746
2000-01,148.41733311840122
2000-02,147.723199621112
2000-03,162.31373784096982
2000-04,163.40582095296668
2000-05,155.1820600464393
2000-06,156.0937411034185
2000-07,156.0059678978024
2000-08,171.38213029133047
2000-09,163.0153072271328
2000-10,166.20502432750297
2000-11,150.4349700331821
2000-12,138.29457949137753
2001-01,143.66693734405618
2001-02,133.26314822950587
2001-03,130.1457505802668
2001-04,139.5323850820005
2001-05,146.59125947448285
2001-06,142.6063859815477
2001-07,135.18881854837997
2001-08,122.67904550801829
2001-09,112.27488588999809
2001-10,115.0487701662149
2001-11,123.64962747433795
2001-12,124.11269551787927
2002-01,125.72955653495876
2002-02,123.62671613276324
2002-03,127.49150389890121
2002-04,117.8469496626638
2002-05,114.14168462453163
2002-06,100.26231114669889
2002-07,93.68615836231515
2002-08,93.93254231593156
2002-09,83.8289559213773
2002-10,89.08026742490763
2002-11,93.66696901379291
2002-12,84.05882871598807
2003-01,80.27760476552953
2003-02,79.09655343902125
2003-03,78.27606153910213
2003-04,81.94210745189518
2003-05,81.95947619574248
2003-06,85.6800880738866
2003-07,89.2063310500149
2003-08,94.31706643624509
2003-09,88.99795673836614
2003-10,94.19981191793522
2003-11,91.77202120033299
2003-12,92.00700187056954
2004-01,95.1169770694278
2004-02,96.22715757592671
2004-03,97.72552274526716
2004-04,97.65084102644417
2004-05,96.48547997780007
2004-06,99.15705246648514
2004-07,96.75172401456558
2004-08,96.46648758964182
2004-09,95.4043787405092
2004-10,95.00564827420006
2004-11,94.94172713632177
2004-12,96.24223869822043
2005-01,97.93780483440767
2005-02,98.48845029516666
2005-03,98.95032718636037
2005-04,97.6360306630632
2005-05,104.6004128609947
2005-06,107.41829226205795
2005-07,110.76410679396707
2005-08,109.92981119046814
2005-09,115.17924242766895
2005-10,113.52364675388192
2005-11,120.07885417106333
2005-12,122.05754786370878
2006-01,122.83127741196728
2006-02,124.86163959959022
2006-03,124.85296016382712
2006-04,122.49466526169489
2006-05,115.72023360068611
2006-06,116.06687121057202
2006-07,116.56440478658769
2006-08,118.99617276513733
2006-09,121.91737864851395
2006-10,125.12069325763382
2006-11,122.87184490467102
2006-12,125.37110214259967
2007-01,129.12526692846203
2007-02,126.33883803733134
2007-03,126.61846172440976
2007-04,127.70957159302029
2007-05,133.91614309941514
2007-06,131.9424986601472
2007-07,127.26939152717188
2007-08,128.4413016550859
2007-09,128.84601614116863
2007-10,129.5572060589806
2007-11,121.96599594474519
2007-12,121.21710316820251
2008-01,112.30850179643697
2008-02,107.78769138807539
2008-03,101.61135422633205
2008-04,109.27280096213138
2008-05,111.80601267380656
2008-06,101.92940441113952
2008-07,100.66425425601818
2008-08,106.56136826752504
2008-09,100.14385473713259
2008-10,91.06283831667041
2008-11,85.32608080619349
2008-12,79.7674840070617
2009-01,79.8391569670295
2009-02,72.34950285242978
2009-03,74.651446057888
2009-04,82.36204726562855
2009-05,83.11801792797183
2009-06,84.0940420064108
2009-07,89.5415739473159
2009-08,91.30357279639118
2009-09,92.98252763414231
2009-10,90.23965355731075
2009-11,92.85106111278272
2009-12,99.07440124483324
2010-01,98.89902709170599
2010-02,103.72875742240231
2010-03,111.01947644901065
2010-04,114.32837614688195
2010-05,113.39287668309133
2010-06,108.56102703076823
2010-07,108.9227977743455
2010-08,107.51513818308874
2010-09,108.77389614325526
2010-10,110.57511704941822
2010-11,118.36237690761865
2010-12,122.86372220674187
2011-01,122.14345131097642
2011-02,125.65658699078851
2011-03,121.07350093712405
2011-04,118.95115845920718
2011-05,120.92865230470214
2011-06,118.23084500128837
2011-07,117.95844768546728
2011-08,110.95293859102289
2011-09,109.94473736876105
2011-10,116.02201902626031
2011-11,118.33606477289172
2011-12,123.39830682893047
2012-01,128.69914222064511
2012-02,131.49088762226083
2012-03,134.79224631744276
2012-04,134.70546636702167
2012-05,133.72332425104068
2012-06,135.73004675208907
2012-07,141.78243439442468
2012-08,141.21061853889708
2012-09,142.1249467281619
2012-10,139.10604878673982
2012-11,139.7792817290535
2012-12,140.08992703052354
2013-01,142.64518519030378
2013-02,150.12893999943012
2013-03,157.96179345806868
2013-04,158.08165942489384
2013-05,160.88287545420806
2013-06,157.92152343790414
2013-07,161.62641052132653
2013-08,158.87618324249658
2013-09,161.31836275440463
2013-10,166.73612335327994
2013-11,169.9150708211454
2013-12,171.44564840259926
2014-01,168.84877279254036
2014-02,171.76818496877885
2014-03,173.25615938371976
2014-04,173.06235351382102
2014-05,180.14734388368436
