Date,ACWI ex GREECE
2015-12,2347.947590242802
2016-01,2215.735486020137
2016-02,2192.6943801670263
2016-03,2246.9652721896473
2016-04,2269.8906579078866
2016-05,2340.1493406713107
2016-06,2332.303640935458
2016-07,2417.617434629414
2016-08,2436.7323998830193
2016-09,2430.8421751122214
2016-10,2450.3000968001434
2016-11,2552.4709013642823
2016-12,2623.5951759559134
2017-01,2631.2659255942485
2017-02,2752.34662784724
2017-03,2769.7325443960917
2017-04,2763.9492442766114
2017-05,2737.922009179563
2017-06,2712.7290838598437
2017-07,2698.574823847497
2017-08,2687.658091657387
2017-09,2756.310712327408
2017-10,2855.8953624676965
2017-11,2845.5836586523756
2017-12,2871.9173708891412
2018-01,2924.9771528919614
2018-02,2863.306132210558
2018-03,2780.555705367839
2018-04,2858.8524603732512
2018-05,2965.507991381031
2018-06,2949.9513200421693
2018-07,3033.410657989742
2018-08,3075.9383831087916
2018-09,3095.9981594261603
2018-10,2936.6055157749765
2018-11,2983.096716148675
2018-12,2747.7248891243257
2019-01,2954.434158364393
2019-02,3058.0951944518824
2019-03,3142.196197654102
2019-04,3256.1689553531073
2019-05,3083.0875391288478
2019-06,3215.8485514738986
2019-07,3299.980726155357
2019-08,3258.8016977659704
2019-09,3362.609535175111
2019-10,3376.622501024818
2019-11,3501.4633534352274
2019-12,3561.946116293566
2020-01,3569.0132806305987
2020-02,3311.432447543476
2020-03,2869.640446905681
2020-04,3184.173942614224
2020-05,3273.6229664191387
2020-06,3347.185056832559
2020-07,3348.5887769043316
2020-08,3514.8455625156485
2020-09,3470.446452357777
2020-10,3409.672657652318
2020-11,3730.7271627443324
2020-12,3818.0280382127544
2021-01,3828.6992801231104
2021-02,3922.053433092801
2021-03,4160.861362417409
2021-04,4241.629877029444
2021-05,4243.455090885119
2021-06,4434.090828169168
2021-07,4466.3019454088
2021-08,4600.207535206891
2021-09,4493.9853636965345
2021-10,4731.522520066573
2021-11,4748.9506183991
2021-12,4890.035899711516
2022-01,4717.866030494225
2022-02,4588.417273215181
2022-03,4735.0483685426025
2022-04,4596.0796550233645
2022-05,4534.695570592208
2022-06,4256.9049431931335
2022-07,4670.984712117465
2022-08,4563.934368934376
2022-09,4238.109658174638
2022-10,4455.288499236214
2022-11,4610.246312936301
2022-12,4274.4384095279165
2023-01,4502.498856845057
2023-02,4480.237787263513
2023-03,4511.270870854736
2023-04,4505.435120246555
2023-05,4618.767036960864
2023-06,4777.310871783849
2023-07,4901.6819936874435
