Date,ACWI ex FRANCE
2015-12,2347.279331604243
2016-01,2213.7428898098538
2016-02,2190.950137405856
2016-03,2246.325094787593
2016-04,2268.927605888279
2016-05,2339.183182839903
2016-06,2335.20689392382
2016-07,2419.7072263764076
2016-08,2439.5528073749597
2016-09,2433.081550910472
2016-10,2451.7369276723066
2016-11,2556.251541159951
2016-12,2624.6122034613036
2017-01,2634.056798793709
2017-02,2757.4855706365047
2017-03,2770.4115868351173
2017-04,2761.1271772071577
2017-05,2732.258839146428
2017-06,2708.8264290856036
2017-07,2694.668056466749
2017-08,2683.1805671234265
2017-09,2749.2268417347996
2017-10,2849.131290147602
2017-11,2840.5824853502104
2017-12,2868.904465368344
2018-01,2920.6105947487354
2018-02,2859.7319444606583
2018-03,2776.3171410615682
2018-04,2850.65457891543
2018-05,2960.9035247780325
2018-06,2945.808501740268
2018-07,3028.4866137593767
2018-08,3073.940883092842
2018-09,3093.038069581969
2018-10,2935.942295959056
2018-11,2985.7416454506765
2018-12,2747.6305811742604
2019-01,2956.3178949402804
2019-02,3058.593264081284
2019-03,3143.615461363302
2019-04,3256.199178814159
2019-05,3082.976634141938
2019-06,3213.6777125865465
2019-07,3300.8618821038176
2019-08,3258.9196255014363
2019-09,3362.350445901797
2019-10,3375.449503962891
2019-11,3501.1348632031345
2019-12,3562.2901844098087
2020-01,3572.1460086716475
2020-02,3315.1788065217943
2020-03,2877.439399061479
2020-04,3198.637637273408
2020-05,3287.8299680699943
2020-06,3358.856184542673
2020-07,3362.6812642207965
2020-08,3531.005344010699
2020-09,3487.7964286479278
2020-10,3429.1053902856456
2020-11,3742.010137603533
2020-12,3831.6131719778687
2021-01,3845.349840248144
2021-02,3936.1454492359885
2021-03,4175.886422404442
2021-04,4254.726642546548
2021-05,4252.184129224594
2021-06,4447.507682738859
2021-07,4478.475545807685
2021-08,4615.369279849876
2021-09,4508.612807278161
2021-10,4747.766788830803
2021-11,4767.853380257929
2021-12,4905.347370502133
2022-01,4731.125051235924
2022-02,4604.0164990268595
2022-03,4754.944012581161
2022-04,4613.093390387754
2022-05,4549.055532907049
2022-06,4272.911596496756
2022-07,4689.218747325892
2022-08,4585.380485519262
2022-09,4256.748164824745
2022-10,4471.003473527068
2022-11,4621.580514278348
2022-12,4280.041542742726
2023-01,4503.158747570297
2023-02,4477.082452610191
2023-03,4507.890041712324
2023-04,4497.248993555304
2023-05,4620.237938519332
2023-06,4777.765792735581
2023-07,4904.398820233512
