Date,CROATIA SMALL CAP
2010-11,1000.0
2010-12,1083.2189220972734
2011-01,1151.2618958797357
2011-02,1144.3498786886862
2011-03,1148.5683618841942
2011-04,1110.959443801852
2011-05,1150.604189578585
2011-06,1115.4241331026496
2011-07,1028.5040704796804
2011-08,951.2969572516968
2011-09,826.3384127917111
2011-10,790.4047934582683
2011-11,743.6294550954033
2011-12,747.877704912218
2012-01,775.4401483724891
2012-02,785.0225167070851
2012-03,796.66604515803
2012-04,791.2211126214796
2012-05,732.5162472697913
2012-06,737.1240981928731
2012-07,742.5036884684451
2012-08,745.882840236035
2012-09,798.938407430223
2012-10,831.756476548823
2012-11,852.9051766510833
2012-12,882.241756233558
2013-01,935.2193257992438
2013-02,980.8630289705878
2013-03,1021.8435501301659
2013-04,996.3202197816456
2013-05,964.1031371803952
2013-06,988.6230102959943
2013-07,1035.5346283074966
2013-08,927.2331180577232
2013-09,917.5621032111341
2013-10,892.4455431411609
2013-11,893.7423970185295
2013-12,898.7122715268546
2014-01,940.0810676131221
2014-02,927.6198159925859
2014-03,923.8969316751775
2014-04,925.8065543623557
2014-05,935.1436740919864
2014-06,986.3004206764118
2014-07,995.7308468106279
2014-08,1027.695678580515
2014-09,1072.4816939207046
2014-10,1025.1229568314143
2014-11,998.9067142406309
2014-12,987.2794547786768
2015-01,980.8090843074488
2015-02,982.9545868550331
2015-03,969.6059385494991
2015-04,1012.1581622066523
2015-05,1003.2607647806378
2015-06,994.1436105670259
2015-07,1021.137516447509
2015-08,1010.2707292384831
2015-09,994.0601534087969
2015-10,1067.0948991758635
2015-11,1018.8111114242288
2015-12,1014.8858673817354
2016-01,981.3607603446759
2016-02,977.4286347026704
2016-03,1036.426442331181
2016-04,1052.2114799165936
2016-05,1088.4884361181305
2016-06,1055.7746245248923
2016-07,1108.5701251236067
2016-08,1144.0822119067316
2016-09,1187.1808870895807
2016-10,1198.3618126674266
2016-11,1204.0635969841153
2016-12,1188.570503036235
2017-01,1263.5879573888278
2017-02,1295.6088031019317
2017-03,1035.7329902729812
2017-04,980.660998857325
2017-05,946.6542242381538
2017-06,970.7821282783026
2017-07,905.126805785711
2017-08,926.6770552519629
2017-09,864.7799802391019
2017-10,888.8627607042393
2017-11,888.183974161224
2017-12,880.9574224322484
2018-01,906.3726909971056
2018-02,879.3694949957013
2018-03,870.1931485803867
2018-04,876.5443863364027
2018-05,930.5037429385651
2018-06,934.0369948728347
2018-07,947.8120042343959
2018-08,936.1175792074466
2018-09,927.3511888967744
2018-10,912.954272308957
2018-11,895.24277475465
2018-12,880.1565623816991
2019-01,909.93366254178
2019-02,923.7068677401419
2019-03,933.6667141701821
2019-04,970.6335063641886
2019-05,992.7860341135084
2019-06,988.0189884976177
2019-07,993.5464631948048
2019-08,964.6455307369499
2019-09,1033.3443108324102
2019-10,1039.123268684316
2019-11,1052.6502177869363
2019-12,1070.7378646844343
2020-01,1063.545657343222
2020-02,998.6338577558419
2020-03,748.7544502373974
2020-04,793.205248986982
2020-05,868.6566696597604
2020-06,844.7704334519257
2020-07,854.0055743500723
2020-08,875.8821897369571
2020-09,898.7084402591889
2020-10,880.6229220942868
2020-11,956.3325407155144
2020-12,982.6317337152334
2021-01,989.621984775833
2021-02,1003.036185203494
2021-03,1041.6670076821388
2021-04,1043.4841241029453
2021-05,1081.3248709405802
2021-06,1112.6981696039404
2021-07,1097.2477419821587
2021-08,1112.5151434993827
2021-09,1130.9773264622345
2021-10,1171.4514019427477
2021-11,1136.1734028120136
2021-12,1192.2374372948912
2022-01,1238.4124461410734
2022-02,1128.3237072895483
2022-03,1180.9570456328536
2022-04,1194.9445345105003
2022-05,1173.6960659268323
2022-06,1149.9931644133171
2022-07,1124.8266093880245
2022-08,1153.2230202581352
2022-09,1078.9812732013552
2022-10,1105.4122899144893
2022-11,1066.2976990230688
2022-12,1109.5041415348503
2023-01,1189.9490153419038
2023-02,1228.5689784160004
2023-03,1227.609393743521
2023-04,1239.4216175435945
2023-05,1262.3702963110197
2023-06,1356.7507201455933
2023-07,1395.912440066671
