Date,AUSTRIA SMALL CAP
2000-12,100.0
2001-01,102.46427162233036
2001-02,109.44291208370218
2001-03,103.7770814783756
2001-04,102.59267040407404
2001-05,100.24334247782518
2001-06,100.70848832119555
2001-07,103.05382678032429
2001-08,98.15064425550233
2001-09,86.6566015749573
2001-10,80.89233660421205
2001-11,82.55906421029763
2001-12,84.51452765452443
2002-01,87.96726546052668
2002-02,93.3078822626144
2002-03,94.78824279584207
2002-04,99.03068391605973
2002-05,99.57282695039287
2002-06,95.80849051759489
2002-07,89.0813628774136
2002-08,88.08784170598865
2002-09,85.9124093933363
2002-10,85.32470546655662
2002-11,86.87413738526328
2002-12,88.07478683341566
2003-01,91.67456250314781
2003-02,91.7648693347279
2003-03,92.2888470864314
2003-04,98.13281687908257
2003-05,103.00285193830213
2003-06,104.1663726136637
2003-07,105.74428834161859
2003-08,106.84157015336406
2003-09,106.48447280389323
2003-10,108.13778158130584
2003-11,110.92915227799679
2003-12,114.94095160106954
2004-01,122.80302842761105
2004-02,123.31012277966977
2004-03,129.5064500721508
2004-04,132.57935023578386
2004-05,131.60722187623648
2004-06,137.0806201225467
2004-07,136.95698279674397
2004-08,139.3591406505301
2004-09,141.42223941237856
2004-10,144.05663455197387
2004-11,155.47771333575605
2004-12,161.77064875572535
2005-01,168.74427326652403
2005-02,184.04617281759784
2005-03,178.88091031246273
2005-04,185.48716310803806
2005-05,193.92109073220436
2005-06,203.49724994229007
2005-07,214.3264776660616
2005-08,215.83847470874574
2005-09,226.89977217270976
2005-10,212.37811302695206
2005-11,227.2734269580252
2005-12,244.45527557690568
2006-01,260.84423867723154
2006-02,268.22254727777243
2006-03,279.7539994705051
2006-04,301.31990091980344
2006-05,269.060513668429
2006-06,273.6468471281352
2006-07,277.2888594926494
2006-08,277.0097303913852
2006-09,285.2956078272521
2006-10,306.5915311934701
2006-11,313.03138213822683
2006-12,329.018233656493
2007-01,350.7715292491418
2007-02,351.2962292930382
2007-03,388.2433747390961
2007-04,396.78636518495006
2007-05,405.55845433245275
2007-06,382.92614591198435
2007-07,360.8390467739136
2007-08,352.05262732189414
2007-09,334.2098272410315
2007-10,374.3587877339226
2007-11,329.30120433474116
