Date,BELGIUM SMALL CAP
2000-12,100.0
2001-01,102.33390734667319
2001-02,105.16465503319085
2001-03,98.14133446991609
2001-04,101.70937039528468
2001-05,103.08109251810005
2001-06,98.84167372770324
2001-07,98.68797162491312
2001-08,92.80968489804935
2001-09,80.05604215405806
2001-10,80.00222338924411
2001-11,83.59046505314319
2001-12,88.20984254565566
2002-01,89.88832638398132
2002-02,88.29959029274026
2002-03,89.05663605617656
2002-04,88.78221104247156
2002-05,86.9551779943603
2002-06,83.47369403156178
2002-07,79.6014543060481
2002-08,77.86235219568665
2002-09,71.61765592448806
2002-10,76.1515869289262
2002-11,75.47118494153138
2002-12,75.80704796579289
2003-01,75.3150630039068
2003-02,69.77984700753683
2003-03,70.25461984202298
2003-04,80.17057232578965
2003-05,83.00117425941365
2003-06,87.54125252660849
2003-07,89.6751354953277
2003-08,95.30711448841262
2003-09,94.18143382758856
2003-10,97.62096960865291
2003-11,100.0875237237148
2003-12,100.52542315271837
2004-01,106.74580386787098
2004-02,108.12664292118563
2004-03,104.43382106391479
2004-04,104.24791653060994
2004-05,106.89390946110527
2004-06,112.92581275048431
2004-07,112.8170422726589
2004-08,115.38025611147604
2004-09,115.99728952715583
2004-10,120.42737698380652
2004-11,128.02788223353355
2004-12,128.2148515024386
2005-01,132.87307663850964
2005-02,142.78177454992021
2005-03,143.5181176267062
2005-04,142.16601285033065
2005-05,141.8144595977713
2005-06,146.23444569667183
2005-07,151.19096759582345
2005-08,153.3126015004823
2005-09,159.49818110961894
2005-10,155.49613195813237
2005-11,153.43585848816264
2005-12,158.31479575348894
2006-01,166.0118939973959
2006-02,171.08310930004663
2006-03,174.57723048879967
2006-04,182.64604285059772
2006-05,171.37232328181983
2006-06,176.44693073172584
2006-07,175.05814827723708
2006-08,176.68963974833795
2006-09,180.86433427238984
2006-10,185.43837809000607
2006-11,184.80887216813596
2006-12,191.24797435864076
2007-01,195.95942267186064
2007-02,201.68526351251376
2007-03,211.6265386602474
2007-04,214.96946128701717
2007-05,229.36886204896422
2007-06,230.7747107798079
2007-07,226.37727107056182
2007-08,222.04311176682103
2007-09,211.40476195546537
2007-10,217.58991515373256
2007-11,207.69502293035205
2007-12,206.57771136003242
2008-01,185.50075662275762
2008-02,186.48825551826775
2008-03,179.99388214451366
2008-04,183.10045945780868
2008-05,189.42200357981292
2008-06,173.68463575049398
2008-07,166.2394510936561
2008-08,175.91831789625863
2008-09,154.02710313033342
2008-10,119.75093207124544
2008-11,105.64755597412113
2008-12,101.17637372334082
2009-01,103.269369323756
2009-02,98.30494494179919
2009-03,95.86122935939431
2009-04,118.26478165865039
2009-05,124.06859387070726
2009-06,125.02912129408367
2009-07,133.38267929764143
2009-08,148.7065508927792
2009-09,155.55231020424375
2009-10,155.0618706236585
2009-11,156.0913530411089
2009-12,160.89748949396818
2010-01,166.50651692309447
2010-02,169.04249782321168
2010-03,182.13271194262828
2010-04,180.66697795693332
2010-05,174.0414957793193
2010-06,170.93481993237498
2010-07,181.9430030155522
2010-08,181.96996170057176
2010-09,194.18170584991768
2010-10,206.8231307100863
2010-11,199.11446921201838
2010-12,213.39431180362476
2011-01,212.26135104195606
2011-02,216.91612434225425
2011-03,220.7491424825106
2011-04,222.6883254004125
2011-05,221.85161384253175
2011-06,217.70976695474766
2011-07,206.8708313421075
2011-08,194.25162333388414
2011-09,179.3179031483665
2011-10,182.80018685578588
2011-11,176.32750046763974
2011-12,179.4606715804731
2012-01,188.6005482390734
2012-02,193.8562983983864
2012-03,200.0928702183077
2012-04,195.97035381590683
2012-05,188.3217764325471
2012-06,189.0117878293089
2012-07,195.94215089782156
2012-08,194.84371159642566
2012-09,205.82980856835837
2012-10,207.51444180714137
2012-11,207.1363531172913
2012-12,216.23379614639364
2013-01,222.6230766247509
2013-02,225.9656990829078
2013-03,220.75696041002618
2013-04,223.74279724618233
2013-05,226.07333855550308
2013-06,216.9472507848076
2013-07,221.96748856436685
2013-08,217.28292324655848
2013-09,227.30982205607728
2013-10,236.20123961041787
2013-11,234.13047584646318
2013-12,239.26958813721265
2014-01,240.01670880541383
2014-02,252.00754927052876
2014-03,258.5732464683569
2014-04,260.7412509946978
2014-05,260.73986924655895
2014-06,255.20591376132361
2014-07,258.89805710367744
2014-08,261.7844381437935
2014-09,259.1799796146196
2014-10,257.21212758477367
2014-11,265.91453152696306
2014-12,273.6312203930952
2015-01,288.9658851244359
2015-02,303.33238916132365
2015-03,307.07333038490555
2015-04,312.3434164799962
2015-05,330.8373521922246
2015-06,320.5009418260625
2015-07,341.20531735455796
2015-08,316.6157501395403
2015-09,304.7639192654111
2015-10,325.7882433082946
2015-11,327.40075608412553
2015-12,338.22541160936777
2016-01,313.68422839483486
2016-02,310.75598611704095
2016-03,318.99356938017524
2016-04,318.0949156355686
2016-05,340.9128282641157
2016-06,328.85880609205884
2016-07,336.74541167207974
2016-08,334.0302751262633
2016-09,345.5748104977913
2016-10,343.48913191503954
2016-11,339.2023995296326
2016-12,358.3112836711215
2017-01,354.61672557313653
2017-02,366.7975643288212
2017-03,387.48573240786993
2017-04,391.54709813772087
2017-05,395.1681540150489
