Date,LEBANON SMALL CAP
2010-11,1000.0
2010-12,1021.513569686403
2011-01,1038.602647772121
2011-02,1018.970179297543
2011-03,996.9056601627059
2011-04,974.0143467959504
2011-05,973.4260776298366
2011-06,935.6665764818466
2011-07,939.7346870431021
2011-08,927.8269042266891
2011-09,996.9532135021548
2011-10,937.9819073918097
2011-11,965.1535668747212
2011-12,1019.6065567822005
2012-01,992.5071418573825
2012-02,995.5315174550472
2012-03,1048.7982162664543
2012-04,1061.6377431768385
2012-05,1122.2180452460134
2012-06,1052.643996340036
2012-07,1096.1579890492194
2012-08,1083.8210524779838
2012-09,1038.8676627722189
2012-10,1025.4768257849323
2012-11,1027.967910312628
2012-12,1027.1320425617484
2013-01,1000.7881538998163
2013-02,1085.1380370722675
2013-03,1004.3505623085352
2013-04,1010.8283593464828
2013-05,1018.348181629475
