Date,BULGARIA SMALL CAP
2010-11,1000.0
2010-12,987.5435163639444
2011-01,979.763099400139
2011-02,1175.6870444482586
2011-03,1118.9209608364063
2011-04,1120.835116627014
2011-05,1097.0729455124485
2011-06,1037.7270803091874
2011-07,1043.8071076684953
2011-08,948.8999601839527
2011-09,906.1922554903574
2011-10,854.5627025742759
2011-11,717.5725710633694
2011-12,758.1598411793921
2012-01,775.5730040448042
2012-02,751.3929769110558
2012-03,732.1652724951081
2012-04,736.9197841674506
2012-05,602.6436585482929
2012-06,622.811707015354
2012-07,733.2344965633501
2012-08,739.3158039667157
2012-09,740.8174861647107
2012-10,727.3302511943848
2012-11,724.072914633655
2012-12,708.4423252918914
2013-01,918.6192544722753
2013-02,916.051055140057
2013-03,923.6339631031165
2013-04,940.3988743581036
2013-05,997.8128599593322
2013-06,1107.4469587401188
2013-07,1081.1506247721466
2013-08,1115.337993764565
2013-09,1112.8862705392933
2013-10,1099.9889833761315
2013-11,1082.0992130131492
2013-12,1100.9863365525164
2014-01,1212.4804945847297
2014-02,1263.8484382924753
2014-03,1253.687458629737
2014-04,1327.1986108416907
2014-05,1335.015473597727
2014-06,1237.6500087978447
2014-07,1218.604976668439
2014-08,1239.5854269546548
2014-09,1218.6007647253875
2014-10,1168.5183467374466
2014-11,1161.2686492897467
2014-12,1183.0536027774533
2015-01,1146.9738232488814
2015-02,1162.0065640560176
2015-03,1141.217003569769
2015-04,1177.921259308214
2015-05,1146.7633220479213
2015-06,1132.277773341304
2015-07,1107.6112331430618
2015-08,1039.3570126415862
2015-09,1032.6916016773755
2015-10,1066.4103594806177
2015-11,1007.4818871358035
2017-05,1000.0
2017-06,1049.071983
2017-07,1030.461371
2017-08,1134.653201
2017-09,1088.956425
2017-10,1066.600994
2017-11,1013.399828
2017-12,1079.25319
2018-01,1471.914416
2018-02,1411.678565
2018-03,1363.415894
2018-04,1435.8964311634102
2018-05,1345.2124550917845
2018-06,1369.3754965308494
2018-07,1365.599814902425
2018-08,1328.3248780365964
2018-09,1328.2417568893943
2018-10,1247.5795967941644
2018-11,1179.2834332217708
