Date,CANADA SMALL CAP
2000-12,100.0
2001-01,103.19133385508292
2001-02,99.51994019711077
2001-03,103.98238657081053
2001-04,114.29424087171134
2001-05,124.82123441528752
2001-06,123.17904487829598
2001-07,115.93561481567734
2001-08,110.66009531194472
2001-09,101.86838371619224
2001-10,106.28339745863717
2001-11,112.59023077227259
2001-12,120.60974632386844
2002-01,128.88849108998718
2002-02,129.46866521624594
2002-03,137.18081086414426
2002-04,133.0073124470176
2002-05,137.50359969317822
2002-06,120.10373352444878
2002-07,105.89671498861765
2002-08,106.14719251748406
2002-09,98.73107940793872
2002-10,102.31092422693573
2002-11,104.0443102454965
2002-12,99.4099198414132
2003-01,99.34672259873345
2003-02,98.95252125031281
2003-03,94.14666649178308
2003-04,98.57321510573686
2003-05,104.47657800076378
2003-06,111.42944491598463
2003-07,116.20675841630475
2003-08,126.76930865792036
2003-09,123.48845354569667
2003-10,133.55456429368076
2003-11,136.04379936630554
2003-12,137.60540194656735
2004-01,136.05813079585815
2004-02,142.61754121831262
2004-03,147.09211391452627
2004-04,137.56013343777386
2004-05,141.34702679912272
2004-06,144.0750499586047
2004-07,140.97978227790642
2004-08,137.48953488167078
2004-09,143.80781398223212
2004-10,144.9160979161624
2004-11,150.37707476989192
2004-12,149.61378787807536
2005-01,151.76608424675808
2005-02,158.89832146414935
2005-03,160.2793195657366
2005-04,149.4261212627432
2005-05,160.8042016956706
2005-06,167.90445160900663
2005-07,171.64581712073846
2005-08,177.94363086626998
2005-09,188.0595727666037
2005-10,175.1648304857519
2005-11,186.1755118106319
2005-12,195.79049948040588
2006-01,210.73605565934884
2006-02,211.07806082323552
2006-03,215.2532633898803
2006-04,224.38973383339388
2006-05,213.52106526747914
2006-06,204.74656520015947
2006-07,205.06537048498947
2006-08,212.76104264890307
2006-09,202.41987601544076
2006-10,214.7092620021034
2006-11,215.84275951639086
2006-12,216.56939569475676
2007-01,223.44022297349278
2007-02,225.41422819894177
2007-03,233.84682933622847
2007-04,239.95244968336047
2007-05,263.1040656394796
2007-06,261.5883920688317
2007-07,251.74645108513081
2007-08,237.1934656400518
2007-09,255.16249076878907
2007-10,277.975452305828
2007-11,230.54382095917805
2007-12,238.03921448690798
2008-01,213.95229074325962
2008-02,228.69109819501375
2008-03,201.94724282183597
2008-04,212.7803142628776
2008-05,224.38542623676983
2008-06,213.87026699768865
2008-07,196.93194337435767
2008-08,203.5659960061858
2008-09,168.20896233498615
2008-10,124.49212461023043
2008-11,113.2982028808326
2008-12,108.66324376140216
2009-01,119.12652780500832
2009-02,110.8175174380752
2009-03,112.17169694569392
2009-04,130.53276514960908
2009-05,148.12178225930083
2009-06,140.52178977575988
2009-07,156.43028330276152
2009-08,160.4446865495872
2009-09,177.10156328887024
2009-10,176.67723073316478
2009-11,188.2601685910738
2009-12,208.71229345784505
2010-01,206.55299593599787
2010-02,224.43274747095774
2010-03,245.81989349975808
2010-04,260.67256014551043
2010-05,257.6398221478794
2010-06,246.16039589790188
2010-07,250.35972366493453
2010-08,255.9280672317085
2010-09,264.4974623384482
2010-10,275.6184016271663
2010-11,306.75729389466625
2010-12,325.19986558268164
2011-01,314.5661227414884
2011-02,332.96135340518236
