Date,UNITED ARAB EMIRATES SMALL CAP
2002-05,197.6705423636796
2002-06,193.92195533176638
2002-07,196.60102583221283
2002-08,210.24731511400668
2002-09,206.9861025054124
2002-10,205.7346860170885
2002-11,212.18187407379517
2002-12,202.68682809433378
2003-01,200.89390416568594
2003-02,198.042381706225
2003-03,182.5585774283474
2003-04,192.06676365037953
2003-05,185.85366634697738
2003-06,177.87467093348124
2003-07,221.97191249857215
2003-08,245.10877160372198
2003-09,258.56884606643763
2003-10,270.0010701068118
2003-11,262.6758363800478
2003-12,258.0707504538773
2004-01,288.7750994716298
2004-02,295.98205848182636
2004-03,278.80795870409065
2004-04,281.75989017903595
2004-05,297.76869089729837
2004-06,302.24944467904334
2004-07,331.95044404127566
2004-08,325.4710389834197
2004-09,351.60392639374095
2004-10,322.15664761050283
2004-11,336.51408932932486
2004-12,396.16282418453466
2005-01,436.44633201613254
2005-02,508.3008333694727
2005-03,606.7831475641367
2005-04,882.8267743051656
2005-05,999.03054410287
2005-06,1340.6856220471363
2005-07,1121.766993724025
2005-08,1435.3746625591916
2005-09,1565.5496029397436
2005-10,1642.081399932427
2005-11,1589.9226641205141
2005-12,1488.4976745415092
2006-01,1378.8776837610194
2006-02,1352.6027843589893
2006-03,1201.7255234323686
2006-04,1019.0688032555546
2006-05,857.8174635376596
2006-06,827.8117475272801
2006-07,803.149963023529
2006-08,865.7278300542728
2006-09,917.2803715517796
2006-10,891.0116629864441
2006-11,777.0533716327894
2006-12,762.8841611441395
2007-01,735.3732569115426
2007-02,747.5212101116762
2007-03,715.8521423542212
2007-04,783.0970577637904
2007-05,893.6614083859263
2007-06,908.7326543227434
2007-07,915.2649752540797
2007-08,925.0940138062924
2007-09,908.3291869447628
2007-10,1064.3517009888517
2007-11,1000.0
2007-12,1094.1234879556155
2008-01,1078.853352480065
2008-02,1132.1461610424435
2008-03,937.4618720382135
2008-04,1027.8993916941681
2008-05,1085.7737441936767
2008-06,1038.356900203566
2008-07,1022.8074930531757
2008-08,993.1206061971044
2008-09,927.7315946294824
2008-10,802.4548805241495
2008-11,622.0324789197331
2008-12,475.7085805363227
2009-01,517.130398629727
2009-02,523.7694019809338
2009-03,530.6466762500839
2009-04,571.3080024017913
2009-05,585.290183915185
2009-06,591.3709944912351
2009-07,630.8144646286888
2009-08,557.1398025336281
2009-09,579.1621255831453
2009-10,539.458868393648
2009-11,465.3968077619916
2009-12,486.1233695136841
2010-01,458.8685412476117
2010-02,464.58303814475533
2010-03,484.34083173588294
2010-04,473.3656674837933
2010-05,476.1745660609691
2010-06,413.0508278166246
2010-07,404.5055043776497
2010-08,393.7795461008412
2010-09,413.71884772314445
2010-10,442.9645911677339
2010-11,437.37162944077414
2010-12,429.380318333629
2011-01,389.13235962370175
2011-02,342.2321154569624
2011-03,375.26068447834683
2011-04,376.42192684388607
2011-05,373.1179637868463
2011-06,352.7113225128282
2011-07,360.92787561454946
2011-08,348.3451070196133
2011-09,362.29612653448714
2011-10,342.99256403179356
2011-11,349.356013277827
2011-12,352.153734931243
2012-01,383.9631753805867
2012-02,519.2978641417386
2012-03,488.6407143980163
2012-04,492.4136581598937
2012-05,482.1109315912599
2012-06,472.3438571560602
2012-07,496.93901911106275
2012-08,492.5254753664101
2012-09,500.5155003705999
2012-10,530.4820037465095
2012-11,520.0215697649359
2012-12,539.8357341330312
2013-01,587.654204480288
2013-02,640.7049638350443
2013-03,621.1165963300932
2013-04,679.5543053150406
2013-05,870.2528568858775
2013-06,856.8793663124193
2013-07,1034.4294851039003
2013-08,995.1603215279874
2013-09,1072.8865511734991
2013-10,1144.5437488108805
2013-11,1151.6282323105015
2013-12,1334.8512112182143
2014-01,1547.754277652095
2014-02,1612.706686374912
2014-03,1599.5365705686716
2014-04,1673.5066210046307
2014-05,1708.4322486108495
2014-06,1266.6788660125621
2014-07,1578.2702434233415
2014-08,1577.606194480108
2014-09,1626.7297706181862
2014-10,1479.7715989346184
2014-11,1534.3049044804789
2014-12,1437.8642610367522
2015-01,1543.084860242992
2015-02,1558.2122264975778
2015-03,1459.1076953098686
2015-04,1673.8430376949204
2015-05,1539.0356089815123
2015-06,1570.657324006396
2015-07,1633.1336313477877
2015-08,1419.9898767357618
2015-09,1430.4677447757115
2015-10,1384.234417041544
2015-11,1303.172549244931
2015-12,1311.7289905575772
2016-01,1170.7233688996878
2016-02,1331.530632894442
2016-03,1322.4261492688154
2016-04,1343.5912253907395
2016-05,1374.3875668271926
2016-06,1409.4662443707987
2016-07,1452.442754221967
2016-08,1426.3439587566106
2016-09,1413.142691401027
2016-10,1406.0692362941106
2016-11,1464.4249574691044
2016-12,1537.7833774077399
2017-01,1578.6861074974834
2017-02,1452.1106720461364
2017-03,1369.356349638604
2017-04,1343.6084832325964
2017-05,1225.8479074191805
2017-06,1265.9980260263408
2017-07,1292.4824224242143
2017-08,1259.2357073363494
2017-09,1275.4961337117231
2017-10,1340.9679467477306
2017-11,1259.338480137452
2017-12,1321.7267139712837
2018-01,1311.5048167464447
2018-02,1298.94261772013
2018-03,1274.056357551241
2018-04,1299.2445667425607
2018-05,1360.83446164522
2018-06,1212.5043178624112
2018-07,1240.9474973963897
2018-08,1207.9176787707538
2018-09,1175.8143752082087
2018-10,1228.8869721134597
2018-11,1138.048331784829
2018-12,1064.5954065618066
2019-01,1097.5007623873137
2019-02,1051.1611379358994
2019-03,1045.2737919689107
2019-04,1098.8201690001472
2019-05,1003.062809827876
2019-06,962.8706522363144
2019-07,1108.623772139701
2019-08,1070.6527327013446
2019-09,1081.7354310334163
2019-10,1073.951039373969
2019-11,1071.1904622969632
2019-12,1075.191617032766
2020-01,1035.212403412974
2020-02,990.2548200813777
2020-03,731.0833195367375
2020-04,917.4489959350989
2020-05,842.0456482175591
2020-06,890.8765362740579
2020-07,871.8150087194443
2020-08,890.9737415595171
2020-09,888.7229018491636
2020-10,894.5182509033543
2020-11,925.9432229545386
2020-12,972.6205463993822
2021-01,1036.5305569732773
2021-02,948.1007990898514
2021-03,1029.7177598965993
2021-04,1024.7317708737264
2021-05,1067.056200397937
2021-06,1091.3005479186786
2021-07,1100.9096144487507
2021-08,1196.3556255689625
2021-09,1149.766563743655
2021-10,1180.4272316430854
2021-11,1366.4169516268475
2021-12,1383.678129946471
2022-01,1385.8182788160989
2022-02,1396.503339117649
2022-03,1463.171357342306
2022-04,1688.1820825595332
2022-05,1536.3397528263606
2022-06,1568.8196476959229
2022-07,1613.1799994171618
2022-08,1663.6580751141473
2022-09,1674.2372667031198
2022-10,1623.7859303468415
2022-11,1526.9603565569287
2022-12,1454.399470075166
2023-01,1415.771763056977
2023-02,1500.0936696542512
2023-03,1475.9074300403042
2023-04,1517.271035503279
2023-05,1581.693335657223
2023-06,1607.1151912237312
2023-07,1733.8876644740917
