Date,SOUTH AFRICA SMALL CAP
1998-12,182.7171340095229
1999-01,191.51493058447053
1999-02,202.8398558651274
1999-03,225.7805477271455
1999-04,244.6989813935928
1999-05,224.93297244073307
1999-06,244.25296950964952
1999-07,223.50418898484256
1999-08,224.81590799798593
1999-09,215.60818278611163
1999-10,221.39420475582958
1999-11,242.30170466043253
1999-12,273.05951752085286
2000-01,290.7885936881963
2000-02,275.7845139123938
2000-03,251.53252276883222
2000-04,234.68406331850815
2000-05,214.48156030899622
2000-06,227.11006228589258
2000-07,224.3639363764716
2000-08,242.79423205015118
2000-09,229.49199455743678
2000-10,211.82139852235545
2000-11,195.2375665201719
2000-12,194.4586944502299
2001-01,207.4816766685921
2001-02,206.57461897302522
2001-03,196.74706735510838
2001-04,208.28169866847242
2001-05,224.5265620213998
2001-06,235.0025350315957
2001-07,217.05333916339893
2001-08,214.50164865076945
2001-09,190.71735021510113
2001-10,186.00259338262097
2001-11,183.8707345848635
2001-12,159.4567459948886
2002-01,168.55123756913176
2002-02,164.72259850399817
2002-03,167.76735845689666
2002-04,185.01743934552428
2002-05,208.30101101933343
2002-06,183.49606267069132
2002-07,176.93861496012602
2002-08,173.55826455536814
2002-09,171.96855285710686
2002-10,191.3017606157695
2002-11,217.76589153301055
2002-12,225.0904870126862
2003-01,216.1338508340439
2003-02,217.0648982058496
2003-03,203.36725883145465
2003-04,214.18165050169148
2003-05,206.439056635128
2003-06,232.28909912099928
2003-07,257.9608060164624
2003-08,278.9616171223456
2003-09,272.8589435084149
2003-10,294.1663886358819
2003-11,323.6555139306979
2003-12,313.23427633283507
2004-01,306.94513220847205
2004-02,324.6623693303964
2004-03,349.18295680707
2004-04,322.0772832433303
2004-05,330.68498228712934
2004-06,351.11734923511295
2004-07,355.7081241175457
2004-08,347.42751279085235
2004-09,375.8957270582536
2004-10,416.8984267119135
2004-11,469.96594670915186
2004-12,492.2278375554713
2005-01,489.98186684102757
2005-02,510.52278324989874
2005-03,471.05592607439104
2005-04,478.2367857584383
2005-05,476.0198637647337
2005-06,504.8966286543077
2005-07,556.2226809228845
2005-08,576.6387572346997
2005-09,627.7162423648774
2005-10,589.666865627797
2005-11,645.3588355659301
2005-12,711.0822268233774
2006-01,794.7277267226572
2006-02,822.8816216097327
2006-03,856.8177811607311
2006-04,857.8315691604183
2006-05,714.1733541450019
2006-06,630.2728133592212
2006-07,666.1121004596661
2006-08,674.45572070488
2006-09,645.5579210569048
2006-10,722.2892331431781
2006-11,759.6867121631559
2006-12,819.7300904522554
2007-01,857.3883451390592
2007-02,864.5494382137033
2007-03,903.652643210981
2007-04,982.9820665270981
2007-05,1000.0
2007-06,976.4263096422994
2007-07,941.3418391824458
2007-08,931.3022220618083
2007-09,963.4148802477561
2007-10,1058.865083412476
2007-11,954.3326285210918
2007-12,949.6608143919406
2008-01,739.8112048068624
2008-02,765.6817938690039
2008-03,672.0699513073071
2008-04,730.0649696739238
2008-05,708.5852052400697
2008-06,628.4612946666131
2008-07,677.7906768491004
2008-08,722.7524495778517
2008-09,652.8488884066592
2008-10,537.3893923340315
2008-11,513.3908887939222
2008-12,550.6473884147081
2009-01,532.1629039864021
2009-02,508.36326292208724
2009-03,523.6992531258804
2009-04,620.4474141203611
2009-05,632.8555359667721
2009-06,678.5485721557059
2009-07,721.7307558044228
2009-08,748.3788615773748
2009-09,772.2973455939574
2009-10,768.6910912432409
2009-11,772.051569387762
2009-12,849.5220932634084
2010-01,844.2765246431246
2010-02,861.2591107031786
2010-03,960.4473041360536
2010-04,1001.6873176373861
2010-05,1004.6746959558908
2010-06,1001.005529807787
2010-07,1047.5210683002674
2010-08,1048.9281748376118
2010-09,1102.5022755257512
2010-10,1129.0769365833848
2010-11,1210.1407647018764
2010-12,1304.5018432900565
2011-01,1134.3406689741194
2011-02,1164.6404142013898
2011-03,1159.5144650135842
2011-04,1176.570287903442
2011-05,1161.3788904464334
2011-06,1164.18735492515
2011-07,1201.6528915480465
2011-08,1131.358235674247
2011-09,1031.600388653512
2011-10,1048.9710789801763
2011-11,1075.5258449537916
2011-12,1144.6761838919404
2012-01,1219.2557680227444
2012-02,1286.158892284626
2012-03,1283.7095218876987
2012-04,1313.192834308536
2012-05,1246.2329947496323
2012-06,1308.2930512170676
2012-07,1382.608322781042
2012-08,1353.810637580139
2012-09,1372.084076554007
2012-10,1301.5261366282002
2012-11,1297.3140463061384
2012-12,1386.8356427436713
2013-01,1290.8287074949346
2013-02,1352.1434426493445
2013-03,1390.204161123187
