Date,NETHERLANDS SMALL CAP
2000-12,100.0
2001-01,104.34161097728006
2001-02,103.80714083080784
2001-03,95.73746070731188
2001-04,101.74667234437146
2001-05,104.23380271167676
2001-06,98.20965632954729
2001-07,94.74729932337722
2001-08,90.74373409940576
2001-09,76.33828705596322
2001-10,83.57437476857561
2001-11,89.37595127803559
2001-12,92.74816209673418
2002-01,94.52615504203258
2002-02,95.94026047850409
2002-03,101.77350526434765
2002-04,97.74009077393715
2002-05,92.93220456157594
2002-06,83.65527782026379
2002-07,73.08610958608035
2002-08,69.53068088553343
2002-09,56.95179992464645
2002-10,63.18251439005675
2002-11,65.6297910063705
2002-12,62.70868413548488
2003-01,56.82043759271535
2003-02,50.85073760451791
2003-03,50.527747590950355
2003-04,57.93187212107581
2003-05,62.904573834161724
2003-06,67.26376762400997
2003-07,68.84842228317937
2003-08,74.94000858568538
2003-09,73.15060878798286
2003-10,78.34265517316993
2003-11,78.88997560418812
2003-12,79.867975296376
2004-01,87.89388154474884
2004-02,92.84492076933297
2004-03,91.79971480537515
2004-04,89.68231504797087
2004-05,87.53827072018775
2004-06,90.52722510080542
2004-07,86.23090447332126
2004-08,85.02435283425854
2004-09,87.56875222280046
2004-10,86.04722237766038
2004-11,90.99213660596389
2004-12,93.87453398905133
2005-01,98.23877989543891
2005-02,103.52505810081678
2005-03,101.17320887140558
2005-04,97.29647908007985
2005-05,105.78269386677405
2005-06,113.53344139416991
2005-07,120.41635630808844
2005-08,121.80830674296992
2005-09,127.5351570012838
2005-10,120.85048114584866
2005-11,127.12913778901921
2005-12,133.66539936042827
2006-01,145.4275969626522
2006-02,155.68999063433952
2006-03,162.14892586781028
2006-04,165.7250996125909
2006-05,150.1980036212478
2006-06,149.13116017857564
2006-07,148.8672088751584
2006-08,146.8045552119142
2006-09,148.08375142048658
2006-10,152.0036194808434
2006-11,154.29759064943778
2006-12,165.2079148873901
2007-01,171.7738750940756
2007-02,170.01234083123347
2007-03,177.25753370142291
2007-04,186.2946377008202
2007-05,192.0547043681648
2007-06,189.57449138632492
2007-07,191.04123198347673
2007-08,182.44840593488388
2007-09,173.65553658929716
2007-10,182.8770253448089
2007-11,165.54872830727342
2007-12,162.22501244966585
2008-01,144.004381565469
2008-02,154.99532817067333
2008-03,152.83568585732834
2008-04,160.73795133861825
2008-05,165.06974764877305
2008-06,144.21771354308282
2008-07,137.32150327743892
2008-08,143.1654125175113
2008-09,122.70365403974769
2008-10,98.4718957233464
2008-11,84.3861712319201
2008-12,87.0621696416026
2009-01,86.25019370475744
2009-02,79.02052076674033
2009-03,81.34954437539932
2009-04,95.88158098728697
2009-05,104.05841225040776
2009-06,104.90818013414322
2009-07,113.2832303771555
2009-08,128.67875043187368
2009-09,134.53374665603238
2009-10,130.91430703509766
2009-11,134.4530495048129
2009-12,141.72395349514247
2010-01,143.08790171351967
2010-02,141.84507689573843
2010-03,152.44337398095394
2010-04,153.33120261290946
2010-05,141.55001015112333
2010-06,139.38447014248806
2010-07,143.25425257063276
2010-08,139.5015544999406
2010-09,155.17008486828408
2010-10,162.33842529510508
2010-11,161.91761574701675
2010-12,178.31768517758096
2011-01,173.36857599087045
2011-02,175.00194202048093
2011-03,178.93289452178763
2011-04,182.80130213281092
2011-05,179.63079569064516
2011-06,169.11538308318214
2011-07,154.38098751869725
2011-08,138.31045643050152
2011-09,130.79569177468937
2011-10,135.23380226778832
2011-11,124.301998511268
2011-12,128.9392898745907
2012-01,140.14003453850515
2012-02,148.84509040208923
2012-03,152.01956619142973
2012-04,143.12344511859786
2012-05,133.83524505625732
2012-06,137.00707597949312
2012-07,135.5783960820825
2012-08,136.53525385574932
2012-09,138.53982461579406
2012-10,142.46461329129255
2012-11,142.71431326182278
2012-12,150.0479454902065
2013-01,154.90006339109584
2013-02,149.8263522481068
2013-03,150.16489520959894
2013-04,152.88566003084455
2013-05,159.44694124017929
2013-06,150.01582106195826
2013-07,160.63384711136928
2013-08,159.11899477175345
2013-09,169.81536167738167
2013-10,179.0643491822434
2013-11,179.2756873960395
2013-12,180.3145277869496
2014-01,181.13115129576275
2014-02,181.50602783037053
2014-03,184.18316092701363
2014-04,182.45569485696913
2014-05,183.29572113636016
2014-06,179.8912195282781
2014-07,170.34501488579374
2014-08,170.7352715379893
2014-09,167.5791907165117
2014-10,142.16827753915962
2014-11,148.13485858917514
2014-12,148.35710300849053
2015-01,156.6597396577599
2015-02,172.01101260475525
2015-03,180.31920171867623
2015-04,180.9119197426358
2015-05,180.6353083514855
2015-06,171.85633021304133
2015-07,177.98716326340238
2015-08,166.4317460300271
2015-09,159.14555135391345
2015-10,177.76783008831327
2015-11,179.5942560605244
2015-12,175.18758148712408
2016-01,166.4985875541816
2016-02,165.68968612450473
2016-03,170.944888825563
2016-04,171.141605301974
2016-05,173.49178958962196
2016-06,159.1208029698293
2016-07,166.5877052109963
2016-08,171.28080096778365
2016-09,174.60188585989087
2016-10,175.8762336548041
2016-11,175.0267141242352
2016-12,184.98607346987615
2017-01,187.70479874629908
2017-02,191.66822247162335
2017-03,198.93192224029565
2017-04,209.8631048607448
2017-05,212.2306970050019
2017-06,209.95008577420552
2017-07,214.2998040035637
2017-08,210.12700753890255
2017-09,223.1835077595512
