Date,ZIMBABWE SMALL CAP
2010-11,1000.0
2010-12,888.2694206836036
2011-01,1030.0057199136713
2011-02,1033.2039568977245
2011-03,1464.1022039588377
2011-04,1420.7499794070045
2011-05,1453.0796018020849
2011-06,1494.770984998301
2011-07,1500.6061077370423
2011-08,1467.7326296173085
2011-09,1539.837370003736
2011-10,1306.9894448501686
2011-11,1418.888530161689
2011-12,1457.3652004919381
2012-01,1387.1838645200833
2012-02,1442.040642095975
2012-03,1356.5532364382125
2012-04,1261.0047542595805
2012-05,1344.019198576377
2012-06,1273.7430076549372
2012-07,1373.4748708137517
2012-08,1306.3360821684266
2012-09,1516.7149333114469
2012-10,1594.1637956133366
2012-11,1474.1148513264532
2012-12,1445.12372602079
2013-01,1670.8872919517964
2013-02,1734.3984181469475
2013-03,1641.0675822650687
2013-04,1623.3355480756197
2013-05,1866.7860625011085
2013-06,1790.1154419413463
2013-07,2021.6163798826997
2013-08,1632.7878942795571
2013-09,1721.8084738616922
2013-10,1775.1345887423251
2013-11,1609.6324671650668
2013-12,1551.1348439047065
2014-01,1581.9297013508487
2014-02,1516.4620474040366
2014-03,1318.761601798835
2014-04,1298.3758860050111
2014-05,1338.8715004624069
2014-06,1437.1908655352122
2014-07,1473.182911619204
2014-08,1539.1762344989288
2014-09,1577.9310556409348
2014-10,1508.2999758422127
2014-11,1372.4244056515809
2014-12,1394.1942941361815
2015-01,1518.8389505813584
2015-02,1591.6305060448037
2015-03,1548.29001068893
2015-04,1496.0005490858505
2015-05,1523.16930700976
2015-06,1458.5910628079992
2015-07,1520.8042125723919
2015-08,1430.5167979821672
2015-09,1400.1950862985234
2015-10,1443.6161749128487
2015-11,1097.334415483349
2015-12,999.2781737090768
2016-01,834.3876404546049
2016-02,772.3092281148558
2016-03,717.1276897600364
2016-04,807.9092075450355
2016-05,820.4086572316402
2016-06,799.8032486253458
2016-07,788.1849095122669
2016-08,816.1416441669911
2016-09,877.8920097488882
2016-10,1156.4147455101845
2016-11,1394.0487358807407
2016-12,1463.746384557071
2017-01,1427.8758864738093
2017-02,1426.9616565384638
2017-03,1402.1115296846706
2017-04,1426.4280229882283
2017-05,1633.939485639065
2017-06,1850.7120496665275
2017-07,1803.4682627298296
2017-08,1876.8266385399595
2017-09,3889.25125169915
2017-10,4066.6528722748426
2017-11,3105.1808463003595
2017-12,2958.8577089364967
2018-01,2316.1606927684793
2018-02,2083.575636093043
2018-03,1844.9249886933017
2018-04,1950.8379524864574
2018-05,2396.5689554066207
2018-06,2304.9994128561325
2018-07,2589.981125112836
2018-08,2727.0152717193087
2018-09,2614.1569136828916
2018-10,3685.933411875267
2018-11,3643.9491504854595
2018-12,3273.675531795151
2019-01,3579.817022622298
2019-02,3376.493319586787
2019-03,2911.516288416235
2019-04,3187.154045201415
2019-05,4403.286579748942
2019-06,4940.673618972765
2019-07,4333.908620543855
2019-08,3485.355547137539
2019-09,6780.037058125232
2019-10,409.1178553657828
2019-11,449.5948098528226
2019-12,404.47719024309805
2020-01,616.4609091416072
2020-02,773.8356680241443
2020-03,565.514836560364
2020-04,613.9203242804277
2020-05,1557.2934817310004
2020-06,710.4752726636867
2020-07,504.22332371929974
2020-08,289.5732356941874
2020-09,325.6281493443107
2020-10,316.1292970173672
2020-11,338.53810164773876
2020-12,574.9365532276739
2021-01,853.4763443005967
2021-02,974.8104566359847
2021-03,1230.8513308303388
2021-04,1122.531029175125
2021-05,1353.7573529794572
2021-06,1425.7208248955758
2021-07,1537.0648960357742
2021-08,1908.240829524442
2021-09,2902.271423074401
2021-10,3705.7653585942235
2021-11,3145.94129699451
2021-12,2965.9420910719255
2022-01,3563.302786048094
2022-02,4291.684784868969
2022-03,4100.723327408882
2022-04,7387.5256671048965
2022-05,2966.288576103234
2022-06,2125.4348452212957
2022-07,1797.4721907546032
2022-08,1123.6314377537528
2022-09,936.0726907697797
2022-10,1166.7626541232798
2022-11,1066.1055668338543
2022-12,723.3295283536077
2023-01,807.3182509763623
2023-02,943.1837727651642
2023-03,1165.576432763249
2023-04,1061.0427988605952
2023-05,1648.8143018394055
