Date,ISRAEL SMALL CAP
1998-12,350.58952666965877
1999-01,363.4994259434585
1999-02,395.0024741253819
1999-03,444.85923251255235
1999-04,480.30020489640395
1999-05,515.4078212245416
1999-06,587.484656280468
1999-07,579.2965581154634
1999-08,530.7827276318708
1999-09,541.6298984135915
1999-10,538.9523443509023
1999-11,663.6292321621294
1999-12,759.5863166558562
2000-01,860.5365950628053
2000-02,1109.3309342972257
2000-03,923.2057608409447
2000-04,876.36219162021
2000-05,880.905373128301
2000-06,892.8395607468916
2000-07,859.3629064111744
2000-08,990.2052266532246
2000-09,945.9619767352427
2000-10,786.8088573327753
2000-11,742.2610117533078
2000-12,704.2351998384589
2001-01,658.2548014083853
2001-02,656.030774676528
2001-03,586.6788991799597
2001-04,655.8164116306057
2001-05,684.6861773850133
2001-06,655.1608645258825
2001-07,634.8096001236541
2001-08,580.4399333828379
2001-09,481.77345117848023
2001-10,506.7976158111888
2001-11,558.3326101010665
2001-12,638.953447933219
2002-01,600.3698831198961
2002-02,560.2107115791762
2002-03,526.1583367914513
2002-04,451.96997178887256
2002-05,444.4744798642609
2002-06,391.38881054924144
2002-07,414.6917856748831
2002-08,416.72527551773084
2002-09,359.8495069377876
2002-10,351.83646905256967
2002-11,414.0839033613161
2002-12,360.60595557543365
2003-01,335.8527383502649
2003-02,344.03955607110015
2003-03,367.43453401582497
2003-04,423.4428591494463
2003-05,464.23622708165976
2003-06,502.5833514471183
2003-07,487.71299469149756
2003-08,497.44575709492335
2003-09,496.3805975044561
2003-10,552.6422780579925
2003-11,594.4813669420749
2003-12,586.0283552277746
2004-01,623.9321198341178
2004-02,621.33431984357
2004-03,629.601304635529
2004-04,625.6254574265075
2004-05,611.6506465969607
2004-06,658.5384748368687
2004-07,623.8441928430514
2004-08,595.2380058402268
2004-09,613.2815353352814
2004-10,584.6971290163863
2004-11,620.2716174854642
2004-12,650.7809868216063
2005-01,677.7653980840228
2005-02,695.1455314794066
2005-03,688.652574713845
2005-04,691.1335675221223
2005-05,751.2838711132669
2005-06,713.4351220757962
2005-07,751.3333994487622
2005-08,747.116660447836
2005-09,774.9373925675832
2005-10,771.1810383837285
2005-11,799.8802687955742
2005-12,827.6152071050445
2006-01,846.8407061986168
2006-02,832.4437482722383
2006-03,831.6118862544085
2006-04,866.1243078383615
2006-05,837.8972671351888
2006-06,794.2912282928484
2006-07,782.2522569584218
2006-08,803.3435959966449
2006-09,839.5498360348879
2006-10,907.2952600711232
2006-11,899.0304269073066
2006-12,886.3097061730127
2007-01,918.1041151871541
2007-02,920.4090919555221
2007-03,925.6465610743999
2007-04,975.9923487892528
2007-05,1000.0
2007-06,956.6566587986172
2007-07,930.3110421481978
2007-08,915.5407695770829
2007-09,943.4770827345818
2007-10,980.8616683164644
2007-11,917.6686247781327
