Date,BANGLADESH SMALL CAP
2010-11,1000.0
2010-12,930.4696632560205
2011-01,783.8474548828012
2011-02,548.0632551782109
2011-03,609.1281046523341
2011-04,543.9513683881446
2011-05,538.8896681963355
2011-06,581.8197131900573
2011-07,623.1339754126952
2011-08,603.3833890578661
2011-09,595.5744832241253
2011-10,490.52002983401195
2011-11,541.0407698504519
2011-12,520.5245498879065
2012-01,380.7685122656963
2012-02,439.8572511750195
2012-03,456.93259636985323
2012-04,473.6410538780327
2012-05,480.7309625173427
2012-06,449.0795775931993
2012-07,411.94925890265654
2012-08,425.3330664259788
2012-09,457.36174610280165
2012-10,427.81251533226106
2012-11,398.99581717141876
2012-12,403.6899883415054
2013-01,397.2575754522761
2013-02,399.62131636511947
2013-03,376.80186717465574
2013-04,338.3172880516352
2013-05,394.5392691820201
2013-06,419.7511356481544
2013-07,379.32914252795
2013-08,383.5752310694507
2013-09,351.2232031421454
2013-10,358.79895720592475
2013-11,388.6713520172098
2013-12,383.4456398403022
2014-01,445.4842141127402
2014-02,422.90348607041693
2014-03,400.8828072058842
2014-04,414.8590747759755
2014-05,409.73721288288345
2014-06,410.2382539918937
2014-07,419.615660853196
2014-08,433.1456884878112
2014-09,498.602166001336
2014-10,512.1287200113064
2014-11,482.3151599593344
2014-12,497.894035694103
2015-01,523.5250571275767
2015-02,529.6447206280121
2015-03,522.1752308743082
2015-04,443.6494226321198
2015-05,538.10561070569
2015-06,530.9627209594659
2015-07,567.6771851407385
2015-08,547.3987527137089
2015-09,571.2579288573811
2015-10,550.7562871695881
2015-11,574.8363732089443
2015-12,574.4695863089254
2016-01,569.5608873863964
2016-02,561.5203622409765
2016-03,528.3966704524245
2016-04,518.3439561151513
2016-05,567.1786353247845
2016-06,586.3009389790532
2016-07,593.0537506866732
2016-08,588.4397909546562
2016-09,603.1907761789809
2016-10,605.7647502599655
2016-11,649.1546806797148
2016-12,680.1119921865939
2017-01,750.3740061265277
2017-02,769.9394785442781
2017-03,797.4568083443249
2017-04,718.9310656584069
2017-05,700.7215859007049
2017-06,727.0866885864549
2017-07,727.8432563052149
2017-08,740.4379452924212
2017-09,741.6038672354211
2017-10,732.0231275518307
2017-11,745.3559780017703
2017-12,728.9457771365722
2018-01,659.8370594853163
2018-02,640.991626457618
2018-03,613.3729738951683
2018-04,637.5348103576899
2018-05,618.9914016277221
2018-06,616.4512015660257
2018-07,582.4385844828029
2018-08,634.5214764302428
2018-09,600.8921902123782
2018-10,616.0249720254919
2018-11,611.4852957044463
2018-12,625.2618062986054
2019-01,674.3175112804486
2019-02,653.4461645913415
2019-03,632.0187940563635
2019-04,603.2341784103342
2019-05,638.3086787724702
2019-06,628.0179662635143
2019-07,614.4371500801254
2019-08,611.7345713800324
2019-09,598.8288231583838
2019-10,554.7862490194797
2019-11,572.7602361778003
2019-12,530.6163498843771
2020-01,556.5775849950605
2020-02,554.8943888964855
2020-03,500.4604737489921
2020-04,501.6760745542416
2020-05,493.3765693557704
2020-06,494.4332983125
2020-07,505.23920845751366
2020-08,596.6499527873775
2020-09,603.1375532003493
2020-10,593.4886521994999
2020-11,601.1271751737947
2020-12,690.0740241334339
2021-01,752.6455468408651
2021-02,711.651809862507
2021-03,717.6575146477876
2021-04,729.0806287887641
2021-05,774.0213501691128
2021-06,797.0807685077154
2021-07,821.501355038689
2021-08,899.1380071966013
2021-09,1006.6689414317315
2021-10,996.6150068350419
2021-11,973.2084599707938
2021-12,966.9901622579018
2022-01,989.6365823791139
2022-02,957.316673739273
2022-03,960.3814836522242
2022-04,1014.6654239644876
2022-05,952.8962600377918
2022-06,920.4337689595144
2022-07,877.4257880398635
2022-08,958.5016465912279
2022-09,931.4854117432222
2022-10,881.7857635442715
2022-11,850.6712485979892
2022-12,805.691121124476
2023-01,774.659819790565
2023-02,790.9268647192687
2023-03,764.6319714020459
2023-04,765.6171464278339
2023-05,791.3207374191147
2023-06,766.500115101775
2023-07,753.249371862614
