Date,QATAR DOMESTIC SMALL CAP
2002-05,283.6130263332366
2002-06,274.157452988389
2002-07,304.27240343220865
2002-08,319.1820872139232
2002-09,302.9474330601379
2002-10,296.7968937191518
2002-11,295.2768531460251
2002-12,294.44020042418975
2003-01,310.3710774018957
2003-02,279.3860013000857
2003-03,293.24088304199535
2003-04,308.3000267414267
2003-05,282.06534672056785
2003-06,330.9569890007052
2003-07,378.38729172325594
2003-08,410.3935111904203
2003-09,359.1953084258199
2003-10,370.55158443799303
2003-11,388.5751856334836
2003-12,363.2021304749683
2004-01,390.7762062411078
2004-02,470.88947173361504
2004-03,598.2828822228437
2004-04,628.5378143432886
2004-05,570.5095757765897
2004-06,523.2264500545937
2004-07,525.4427195191223
2004-08,542.5997323923989
2004-09,500.6416297698359
2004-10,509.37622751716833
2004-11,514.1451810702208
2004-12,532.6285207834512
2005-01,680.7582472024023
2005-02,894.8885290546032
2005-03,1505.5488109278278
2005-04,963.6596119081238
2005-05,932.2274130419153
2005-06,1194.3761079179276
2005-07,1167.8128097785382
2005-08,1444.9342346876
2005-09,1555.8391557410764
2005-10,1650.495126019251
2005-11,1372.9827168342215
2005-12,1405.0800039448823
2006-01,1234.1289046056122
2006-02,982.248360761548
2006-03,1049.4761207433942
2006-04,1037.2793074283334
2006-05,882.9906431925733
2006-06,904.8280360502034
2006-07,935.7273854416738
2006-08,919.710164718143
2006-09,910.9312624818169
2006-10,850.9486838087736
2006-11,721.116541125615
2006-12,852.9741326328226
2007-01,794.7070621630123
2007-02,750.5063617633353
2007-03,732.7088713729895
2007-04,779.9431001384025
2007-05,845.8633276225489
2007-06,842.5566237490262
2007-07,867.6408458790955
2007-08,872.9811313825367
2007-09,879.5196301724272
2007-10,987.5749998728392
2007-11,1000.0000000000007
2007-12,1064.934736810138
2008-01,1034.045114874205
2008-02,1126.574051225289
2008-03,1008.0072960491163
2008-04,1185.2686984986317
2008-05,1260.426465351733
2008-06,1355.3226118875964
2008-07,1412.917374425559
2008-08,1358.0679551055323
2008-09,1293.52996945431
2008-10,988.7163154500529
2008-11,786.7175685816316
2008-12,773.2911366047645
2009-01,663.8905107818576
2009-02,676.5967408624841
2009-03,681.6152153031718
2009-04,865.8537777623111
2009-05,869.8572552885859
2009-06,839.2975322478497
2009-07,867.2102091451297
2009-08,880.2268330273953
2009-09,909.2177957291071
2009-10,889.0047687949274
2009-11,860.0792281863064
2009-12,877.5249968768264
2010-01,886.2489889679533
2010-02,914.196797093485
2010-03,1054.7273018183841
2010-04,1091.157239741999
2010-05,1099.253654671553
2010-06,1098.980266010448
2010-07,1045.5804412876316
2010-08,1115.3178416307235
2010-09,1090.121438299881
2010-10,1057.8556672447094
