Date,JAMAICA SMALL CAP
2010-11,1000.0
2010-12,969.2529060823954
2011-01,961.9893141754749
2011-02,1004.1427142992223
2011-03,934.2834112434228
2011-04,943.6845322722054
2011-05,969.1773578161163
2011-12,1014.3165739125299
2012-01,927.6113087183948
2012-02,910.5368044442017
2012-03,942.7299880992606
2012-04,1013.7610923685977
2012-05,1033.9497160214328
2012-06,990.0796670108191
2012-07,956.103070081523
2012-08,972.599593525945
2012-09,866.3872818961299
2012-10,921.5947099067819
2012-11,839.5820105143783
2012-12,847.6331732728376
2013-01,831.0219872676764
2013-02,727.1773084676366
2013-03,628.4864560124114
2013-04,783.0190875128342
2013-05,898.5678292419005
2016-05,1000.0
2016-06,997.0257627432181
2016-07,970.5493822615649
2016-08,966.2391024522598
2016-09,1005.2650009164967
2016-10,975.8037804122
2016-11,1166.770885052598
2016-12,1325.4427050644701
2017-01,1359.5439733687426
2017-02,1655.9243443713276
2017-03,1542.0640753403354
2017-04,1473.8556649085858
2017-05,1502.06524032914
2017-11,1000.0
2017-12,971.9668927535961
2018-01,938.980504930118
2018-02,974.3295581258291
2018-03,976.3871436240454
2018-04,1041.1725514314219
2018-05,1060.8608372886029
2018-06,1047.8844131705255
2018-07,987.3899000568246
2018-08,970.3395909243404
2018-09,1064.9273216563126
2018-10,1138.4009571693484
2018-11,1218.492664314379
2018-12,1196.5707373022992
2019-01,1150.8652046646444
2019-02,1220.7915463730676
2019-03,1362.3552800049183
2019-04,1271.0346060128902
2019-05,1441.0745907769092
2019-06,1378.4737434543151
2019-07,1508.1661686757361
2019-08,1493.973282059498
2019-09,1411.9656596459624
2019-10,1319.770280725875
2019-11,1432.3834727182443
2019-12,1452.6785032778664
2020-01,1304.5419259832393
2020-02,1313.7597632422865
2020-03,1047.9455260124294
2020-04,961.9999756039928
2020-05,997.6965581337729
2020-06,985.5913696073951
2020-07,891.768696262156
2020-08,841.0093670347575
2020-09,911.5427251352679
2020-10,917.6188367639556
2020-11,1003.1984942052521
2020-12,1040.488472536295
2021-01,948.6796709405462
2021-02,963.6819798467469
2021-03,1075.8285801035195
2021-04,1113.050220739078
2021-05,1146.3648227877293
2021-06,1223.8078656329928
2021-07,1176.8475617263784
2021-08,1212.1998963439257
2021-09,1243.1567592873112
2021-10,1176.0974172659617
2021-11,1157.1442749690532
2021-12,1150.1612108986703
2022-01,1145.178173188876
2022-02,1216.0419686141124
2022-03,1280.731889071821
2022-04,1475.8441197411366
2022-05,1491.9111789285234
2022-06,1499.7590547711054
2022-07,1471.0756496398108
2022-08,1459.0846384878391
2022-09,1439.1787629022058
2022-10,1346.0732450104326
2022-11,1236.3910873395498
2022-12,1255.3263649797896
2023-01,1169.6568562575696
2023-02,1169.4657677646717
2023-03,1183.380220775818
2023-04,1160.8611252228352
2023-05,1171.0277372410833
2023-06,1176.8254263265146
2023-07,1112.9950109907936
