Date,SERBIA SMALL CAP
2010-11,1000.0
2010-12,1022.7704055748135
2011-01,1123.7818795889818
2011-02,1164.0826186539666
2011-03,1165.3665524693965
2011-04,1140.693539756482
2011-05,1132.4461609838158
2011-06,1061.6601263924686
2011-07,978.3203151734484
2011-08,875.1179457879191
2011-09,757.4664066439298
2011-10,758.0505365231487
2011-11,667.4678717662207
2011-12,674.6137978850552
2012-01,729.5141079203379
2012-02,748.7557534450092
2012-03,745.7554026012015
2012-04,697.137231961539
2012-05,587.6827978159031
2012-06,565.2502648253972
2012-07,563.7390790365589
2012-08,581.3202532173631
2012-09,606.4466475685747
2012-10,658.0317376085895
2012-11,677.7581215320722
2012-12,705.4158373171036
2013-01,767.57943100174
2013-02,746.6401241220578
2013-03,783.502942564097
2013-04,757.1964866078727
2013-05,696.6213316312297
2013-06,632.2878366397841
2013-07,665.4567360541107
2013-08,697.6837503110279
2013-09,733.6671974689076
2013-10,748.7755391283632
2013-11,782.7401226814418
2013-12,801.5810895722451
2014-01,816.1527498923152
2014-02,841.6644769742727
2014-03,922.4415869757321
2014-04,914.5692641667194
2014-05,957.0033739736095
2014-06,900.0031953196794
2014-07,960.7567024527041
2014-08,1065.4803503674589
2014-09,1180.0911133713585
2014-10,1177.5876715297768
2014-11,1235.478655367746
2014-12,1232.081659390108
2015-01,1226.2006578194412
2015-02,1282.913503886319
2015-03,1425.2545448190558
2015-04,1617.4620072668379
2015-05,1745.482925967901
2015-06,1622.8788643678251
2015-07,1702.0786502176277
2015-08,1589.6269866019077
2015-09,1504.6222847005254
2015-10,1517.2630243794756
2015-11,1473.4953693080665
2015-12,1651.3508485794396
2016-01,1571.563590002244
2016-02,1453.6786904011917
2016-03,1542.3522010716838
2016-04,1687.0597144120788
2016-05,1808.845343747494
2016-06,1882.0847019215553
2016-07,1930.7089500643478
2016-08,1960.8822665219975
2016-09,1958.1344100497633
2016-10,2123.3879841264484
2016-11,2228.500418433844
2016-12,2240.1117868162187
2017-01,2025.5639346381345
2017-02,2074.5565459086024
2017-03,2322.0720306528874
2017-04,2147.32000596185
2017-05,2318.5052387587757
2017-06,2355.32821714268
2017-07,2454.20053509751
2019-11,999.1382115274806
2019-12,1174.7577976864666
2020-01,1261.3958557697442
2020-02,1235.348389502884
2020-03,883.4144093876
2020-04,997.9230030981773
2020-05,1059.2583155951222
2020-06,1074.4916400424208
2020-07,1059.1371078333898
2020-08,1087.704702844889
2020-09,1090.9699623036315
2020-10,1078.1473088149253
2020-11,1092.5430823537529
2020-12,1219.6704040421344
2021-01,1176.7296424968245
2021-02,1177.8400025390274
2021-03,1177.2221933251878
2021-04,1178.1796942333667
