Date,INDIA DOMESTIC SMALL CAP
2015-05,1557.5192850822486
2015-06,1495.3605539501286
2015-07,1591.9962797531157
2015-08,1426.839306441898
2015-09,1463.7550092508318
2015-10,1501.7958314545162
2015-11,1548.4423743673105
2015-12,1540.2665029745426
2016-01,1384.4669147585055
2016-02,1212.9247868104267
2016-03,1337.4669304053098
2016-04,1381.0374948329315
2016-05,1432.5711003340286
2016-06,1504.007542620728
2016-07,1590.234931992022
2016-08,1664.1383069063277
2016-09,1687.6659578650429
2016-10,1796.1146070058667
2016-11,1651.1867389177721
2016-12,1636.6583934651344
2017-01,1712.4336014247874
2017-02,1896.2546699555799
2017-03,2029.2470002600437
2017-04,2126.653601504814
2017-05,2009.993985300326
2017-06,2017.3550012383712
2017-07,2047.0147633787262
2017-08,2020.7031461256076
2017-09,1994.54488074924
2017-10,2201.119299160481
2017-11,2214.871306594278
2017-12,2345.5027502257876
2018-01,2210.570966880219
2018-02,2143.9226695019406
2018-03,2011.207208075629
2018-04,2163.079268112707
2018-05,2083.1105274127135
2018-06,1936.1279330807663
2018-07,2009.6208554012005
2018-08,2038.4619019109589
2018-09,1694.0721913228404
2018-10,1682.752595761878
2018-11,1829.4191699829416
2018-12,1848.1412346400696
2019-01,1721.4103132660089
2019-02,1715.4724575446662
2019-03,1966.699861772725
2019-04,1912.5622805824332
2019-05,1963.9446233812537
2019-06,1882.2424981227707
2019-07,1754.8956114478067
2019-08,1695.0107834146381
2019-09,1793.4112681433855
2019-10,1826.077971904471
2019-11,1862.7048137347142
2019-12,1831.9941253531852
2020-01,1967.1126086347303
2020-02,1848.3013607965866
2020-03,1213.2190535054917
2020-04,1409.5251177941998
2020-05,1359.0316301250946
2020-06,1513.7613431971254
2020-07,1544.1010643004706
2020-08,1686.383970206052
2020-09,1767.8021899666335
2020-10,1780.5174947408689
2020-11,1983.081006397336
2020-12,2074.7388060689823
2021-01,2108.115517715946
2021-02,2347.1308616468455
2021-03,2490.868358729301
2021-04,2454.966748851956
2021-05,2626.261357694483
2021-06,2794.4782816841307
2021-07,2945.2543071822506
2021-08,3020.4335860842484
2021-09,3230.799076152786
2021-10,3211.540669574007
2021-11,3226.284348441007
2021-12,3356.414912146473
2022-01,3348.806575533364
2022-02,3061.209792946822
2022-03,3241.0809586754635
2022-04,3404.326826549695
2022-05,3076.5935604793244
2022-06,2938.4462119765544
2022-07,3281.5991917373835
2022-08,3500.4326364429785
2022-09,3486.9986521208875
2022-10,3436.3790799868557
2022-11,3413.0615299022797
2022-12,3164.5425426786287
2023-01,3082.173298209384
2023-02,3063.7570245630645
2023-03,2971.3756234100174
2023-04,3088.8668943988073
2023-05,3333.396129049608
2023-06,3505.469315460989
2023-07,3688.669239293294
