Date,UKRAINE SMALL CAP
2010-11,1000.0
2010-12,1202.367811886318
2011-01,1425.6367953605072
2011-02,1228.287201533922
2011-03,1183.3144720878324
2011-04,1008.3005002872371
2011-05,914.4835266451046
2011-06,881.5490442756816
2011-07,955.3337754567264
2011-08,627.9511969988631
2011-09,623.702886256118
2011-10,407.27147443136545
2011-11,477.20835275793377
2011-12,447.4251911163827
2012-01,497.5574873844579
2012-02,516.0935577180567
2012-03,509.68176829615925
2012-04,491.49258990793277
2012-05,361.19515997784157
2012-06,342.97403375423124
2012-07,394.5652829794807
2012-08,337.8050885864622
2012-09,363.6326829950254
2012-10,310.33114087238846
2012-11,273.6426593977974
2012-12,293.46361562741475
2013-01,270.0672278212492
2013-02,286.7370142124212
2013-03,256.57263189447485
2013-04,209.4531911216963
2013-05,218.89777004263357
2013-06,231.67114613407546
2013-07,250.39009138156828
2013-08,240.36870302001591
2013-09,233.75130352398426
2013-10,231.74899571891729
2013-11,229.83049712691337
2013-12,216.20860499186483
2014-01,196.7125297173008
2014-02,208.83362859359735
2014-03,171.43065926229235
2014-04,193.76465003403933
2014-05,230.22913105467097
2014-06,234.62361443057227
2014-07,254.8650769881122
2014-08,228.0145026063239
2014-09,227.26662807785794
2014-10,240.55012708384103
2014-11,202.9402550875759
2014-12,202.8957226941888
2015-01,201.73249109524343
2015-02,134.74393565853535
2015-03,158.89194267523447
2015-04,178.38616663993838
2015-05,173.19113717769108
2015-06,170.41107036062573
2015-07,163.35776289013032
2015-08,152.5333561017682
2015-09,120.09893152589157
2015-10,110.4204073614652
2015-11,90.99940813954072
2015-12,87.48649347738595
2016-01,74.16905913952758
2016-02,71.8113880890657
2016-03,73.58594743992506
2016-04,80.02059084079693
2016-05,83.03730185931362
2016-06,89.34620770363685
2016-07,92.48508231563125
2016-08,91.32929676593562
2016-09,95.41385897983679
2016-10,96.9789692408677
2016-11,94.3408644958253
2016-12,95.78212073831126
2017-01,109.78594827507379
2017-02,116.8385260864
2017-03,121.4926743577897
2017-04,127.709823
2017-05,122.033912
2017-06,128.047733
2017-07,126.373287
2017-08,113.716287
2017-09,114.465452
2017-10,115.507628
2017-11,118.513576
2017-12,125.413158
2018-01,140.750733
2018-02,143.088037
2018-03,150.515212
2018-04,156.4962771814048
2018-05,155.03032816288388
2018-06,144.22728338424474
2018-07,43.19195845266156
2018-08,42.95258714999803
2018-09,41.21340617132036
2018-10,43.88594605884529
2018-11,42.1955170720548
2018-12,34.99416322573921
2019-01,36.207506027899306
2019-02,39.49597826835405
2019-03,35.990523947605276
2019-04,36.26719882928323
2019-05,34.50809809479941
2019-06,34.28459037816812
2019-07,34.89209490764974
2019-08,32.75379908250864
2019-09,30.937988854142024
2019-10,27.93061402452966
